,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,facebook,0,,492,HTTP/1.1,GET,,https://www.facebook.com/,,22311,,,"text/html; charset=""utf-8""",0,1536,HTTP/1.1,,200,OK,157.240.1.35,2019-10-31T18:53:03.672+02:00,882,0,,565,4,98,0,483,213
1,,facebook,0,,516,HTTP/1.1,GET,,https://facebook.com/security/hsts-pixel.gif,,44,,,image/gif,0,1365,HTTP/1.1,,200,OK,31.13.90.36,2019-10-31T18:53:04.497+02:00,659,0,,508,0,0,0,441,149
2,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yi/l/0,cross/P8NOgidjcn0.css?_nc_x=Ij3Wp8lg5Kz",,29737,,,text/css; charset=utf-8,0,613,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.717+02:00,859,0,,784,0,14,0,717,59
3,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/pqxDEt5G53n.css?_nc_x=Ij3Wp8lg5Kz",,6228,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.718+02:00,878,0,,784,9,0,0,705,84
4,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/ArmnpEpVyQ-.css?_nc_x=Ij3Wp8lg5Kz",,36351,,,text/css; charset=utf-8,0,613,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.718+02:00,934,0,,785,7,50,0,704,90
5,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yS/l/0,cross/i5saGV-wB9m.css?_nc_x=Ij3Wp8lg5Kz",,6457,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.720+02:00,861,0,,782,0,0,0,712,78
6,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/gaeN3_uXOK3.css?_nc_x=Ij3Wp8lg5Kz",,1473,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.722+02:00,910,0,,783,6,4,0,706,114
7,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/M5nWEIpQKjs.css?_nc_x=Ij3Wp8lg5Kz",,3480,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.728+02:00,919,0,,789,6,9,0,709,112
8,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/xl7W5o1XT5V.css?_nc_x=Ij3Wp8lg5Kz",,2223,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.795+02:00,71,-1,,-1,-1,6,0,-1,64
9,,facebook,0,,475,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/0,cross/YpknrHfmPh0.css?_nc_x=Ij3Wp8lg5Kz",,7896,,,text/css; charset=utf-8,0,612,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.802+02:00,91,-1,,-1,-1,16,0,-1,74
10,,facebook,0,,451,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/WeSOwib7ON4.js?_nc_x=Ij3Wp8lg5Kz,,82524,,,application/x-javascript; charset=utf-8,0,629,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:04.814+02:00,217,-1,,-1,-1,135,0,-1,81
11,,facebook,0,,462,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3ixz04/ye/l/en_US/RurNco6JI3g.js?_nc_x=Ij3Wp8lg5Kz,,342113,,,application/x-javascript; charset=utf-8,0,630,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:05.269+02:00,1618,-1,,-1,-1,1539,0,-1,78
12,,facebook,0,,500,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/luGkgjkEm1Q.png,,233667,,,image/png,0,555,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:05.279+02:00,1688,0,,152,0,1385,2,86,148
13,,facebook,0,,500,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/y6/r/Ky6paUs4-HC.png,,13702,,,image/png,0,554,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:05.286+02:00,672,0,,160,0,2,2,85,507
14,,facebook,0,,500,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/saHur4CihCa.png,,3563,,,image/png,0,553,HTTP/1.1,,200,OK,31.13.90.6,2019-10-31T18:53:05.292+02:00,732,0,,169,0,0,0,93,561
