,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,har_a3,2019-12-17T14:07:38.809+02:00,POST,https://www.facebook.com/api/graphql/,HTTP/1.1,735,789,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1399,128,,,-1,-1,0,107,0,-1,-1,31.13.92.36,,107,,
1,har_a3,2019-12-17T14:07:38.815+02:00,POST,https://www.facebook.com/pages/messaging/show_online_indicator/?page_id=585952358125188,HTTP/1.1,785,552,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,781,1470,,,-1,-1,0,107,0,-1,-1,31.13.92.36,,108,value,
2,har_a3,2019-12-17T14:07:38.819+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-0/s370x247/1476313_585975371456220_361965972_n.png?_nc_cat=103&_nc_ohc=SIw9GO_HESAAQnYSdf4pHHSpqU5ZSVe0PI8tewpcat1zfHnU-eGt1qbnw&_nc_ht=scontent.ftlv5-1.fna&oh=ba0b2e09cdb6735d296ffe135a516cbd&oe=5E705EE1,HTTP/1.1,618,0,,200,OK,HTTP/1.1,0,image/png,,,505,45933,,,-1,-1,0,7,16,-1,-1,212.199.140.17,,24,value,
3,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t31.0-1/cp0/c12.0.74.74a/p74x74/1405057_585963398124084_1613467428_o.png?_nc_cat=100&_nc_ohc=a0vAXAOQiGEAQnmIdT5mkg57VPoZ1l_Umeqr1uCO-CvExWiiYxArPk_lQ&_nc_ht=scontent.ftlv5-1.fna&oh=8e8e607c29652d90e87cb2342b413985&oe=5E80625C,HTTP/1.1,635,0,,200,OK,HTTP/1.1,0,image/png,,,503,9124,,,-1,-1,0,7,0,-1,-1,212.199.140.17,,7,value,
4,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://www.facebook.com/xti.php?xt=39.%7B%22page_id%22%3A585952358125188%2C%22content_type%22%3A4%2C%22log_impression%22%3Atrue%2C%22referrer%22%3Anull%2C%22ui_id%22%3A%22u_x_2%22%7D&ui=1,HTTP/1.1,820,0,,200,OK,HTTP/1.1,0,image/gif,,,1176,44,,,-1,-1,0,106,0,-1,-1,31.13.92.36,,106,value,
5,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-0/p110x80/14484921_1083771755009910_8446864120928984242_n.png?_nc_cat=100&_nc_ohc=oCvWl4gaEiwAQmlkeCDaIE_ZkZ3ZF5VL8Ys3ibmmRQorIQ0H6YNCSg8YA&_nc_ht=scontent.ftlv5-1.fna&oh=f68ab3943e963d585a65c6e57c77a7e5&oe=5E820B07,HTTP/1.1,629,0,,200,OK,HTTP/1.1,0,image/png,,,528,37292,,,-1,-1,0,10,6,-1,-1,212.199.140.17,,17,value,
6,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-0/s168x128/10622719_729509773769445_255809435376113013_n.jpg?_nc_cat=107&_nc_ohc=37Grm8RfkWMAQkLAHlwwMKcRbXMojKpd83Xi8vCm-Z9zbzOpIkf47tdKw&_nc_ht=scontent.ftlv5-1.fna&oh=c97bfd1e615ea8523cacbaa2044c4f2b&oe=5EB45700,HTTP/1.1,628,0,,200,OK,HTTP/1.1,0,image/jpeg,,,505,6945,,,-1,-1,0,15,0,-1,-1,212.199.140.17,,15,value,
7,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-0/p110x80/10500335_681557475231342_5334165749099536898_n.jpg?_nc_cat=104&_nc_ohc=fC17vz2DFx0AQlikj20TOabj_hx5GucRCnzdHJtWwmT53FYwhyzfTHOvg&_nc_ht=scontent.ftlv5-1.fna&oh=f56a7ef546953e38a0abcda483360406&oe=5EAF233B,HTTP/1.1,628,0,,200,OK,HTTP/1.1,0,image/jpeg,,,505,3978,,,-1,-1,0,8,0,-1,-1,212.199.140.17,,8,value,
8,har_a3,2019-12-17T14:07:38.820+02:00,GET,https://www.facebook.com/xti.php?xt=39.%7B%22page_id%22%3A585952358125188%2C%22content_type%22%3A5%2C%22log_impression%22%3Atrue%2C%22referrer%22%3Anull%2C%22ui_id%22%3A%22u_x_3%22%7D&ui=1,HTTP/1.1,820,0,,200,OK,HTTP/1.1,0,image/gif,,,1176,44,,,-1,-1,0,102,0,-1,-1,31.13.92.36,,102,value,
9,har_a3,2019-12-17T14:07:38.860+02:00,GET,https://www.facebook.com/MachineLearningIsrael/,HTTP/1.1,1032,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,,No response received
10,har_a3,2019-12-17T14:07:38.933+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,950,3287,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,,No response received
11,har_a3,2019-12-17T14:07:38.973+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,947,1688,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,,No response received
