,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.blocked,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,har_a2,2019-12-10T10:07:45.754+02:00,GET,https://www.facebook.com/,HTTP/1.1,482,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33097,,,925,0,71,1046,4,221,148,185.60.218.35,,1491,,
1,har_a2,2019-12-10T10:07:45.755+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,464,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,-1,-1,-1,-1,3,109,4,216.58.208.45,,117,value,
2,har_a2,2019-12-10T10:07:46.745+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=X5-y2ZdcCikAQnjep0K7-HuNi3WCgf3NIool7IOw_9VZRxFDHlXcUDUzg&_nc_ht=scontent.ftlv5-1.fna&oh=c9f782f3ab2b117a8b93a4bc8480f3b9&oe=5E7AA9E8,HTTP/1.1,624,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,486,0,71,489,8,5,0,212.199.140.17,,576,value,
3,har_a2,2019-12-10T10:07:46.765+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=-YMTLnSoTSQAQk0ryXQ3K2qzGbhzB0Og0rwOG_xCZGjpft9KNWWjnb59g&_nc_ht=scontent.ftlv5-1.fna&oh=7b031b691fb1fda44c92eb4273fcd119&oe=5E7A1536,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,525,0,15,528,11,6,0,212.199.140.17,,562,value,
4,har_a2,2019-12-10T10:07:46.791+02:00,GET,https://scontent.ftlv5-1.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=0112fD2bhycAQkjNHhwJU3xEgbvG6ux_0KTaJJ3CCeNIQ49uJB7YEE7gg&_nc_ht=scontent.ftlv5-1.fna&oh=069086fefba5b30a20398b6e1abda675&oe=5E89B2B5,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,-1,-1,-1,-1,0,6,0,212.199.140.17,,7,value,
5,har_a2,2019-12-10T10:07:46.848+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/F8qX9CenMvG.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,39760,,,552,0,10,678,5,74,87,31.13.90.6,,855,value,
6,har_a2,2019-12-10T10:07:46.875+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,611,5466,,,571,0,8,685,0,89,0,31.13.90.6,,784,value,
7,har_a2,2019-12-10T10:07:46.893+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yS/l/0,cross/bkAu9TObImi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,15250,,,582,0,67,706,1,76,13,31.13.90.6,,864,value,
8,har_a2,2019-12-10T10:07:46.899+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/pZf38NqrlFs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,20312,,,632,0,19,718,7,78,9,31.13.90.6,,833,value,
9,har_a2,2019-12-10T10:07:46.901+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Q_Qtc1cmjHk.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,611,6953,,,649,0,20,728,6,74,1,31.13.90.6,,830,value,
10,har_a2,2019-12-10T10:07:46.973+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/jRBqzHugMVR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,13197,,,-1,-1,-1,-1,1,106,32,31.13.90.6,,140,value,
11,har_a2,2019-12-10T10:07:47.002+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/28QpKGcBASO.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,610,572,,,-1,-1,-1,-1,0,76,0,31.13.90.6,,78,value,
12,har_a2,2019-12-10T10:07:47.002+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/lZ86cv9aR90.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,26016,,,-1,-1,-1,-1,0,114,65,31.13.90.6,,180,value,
13,har_a2,2019-12-10T10:07:47.004+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y-/r/JXON5khFcag.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,83300,,,-1,-1,-1,-1,0,107,122,31.13.90.6,,230,value,
14,har_a2,2019-12-10T10:07:47.285+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,image/gif,,,551,522,,,134,0,0,266,21,47,0,31.13.90.6,,337,,
15,har_a2,2019-12-10T10:07:47.568+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/5YJdjtFYsEy.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,553,15015,,,-1,-1,-1,-1,0,68,0,31.13.90.6,,69,,
16,har_a2,2019-12-10T10:07:47.637+02:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,506,0,,200,OK,HTTP/1.1,0,image/gif,,,1365,44,,,451,0,114,628,1,119,10,31.13.90.36,,874,,
17,har_a2,2019-12-10T10:07:47.674+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,552,1163,,,-1,-1,-1,-1,0,68,0,31.13.90.6,,70,,
18,har_a2,2019-12-10T10:07:47.753+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/gh2BKTXkCxb.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,553,16481,,,-1,-1,-1,-1,0,74,13,31.13.90.6,,88,,
19,har_a2,2019-12-10T10:07:48.286+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyl-4/ya/l/en_US/FVeO__S_7QH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,84726,,,-1,-1,-1,-1,1,63,134,31.13.90.6,,199,value,
20,har_a2,2019-12-10T10:07:48.286+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yc/r/q2aGRli6cJS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,71110,,,-1,-1,-1,-1,0,70,129,31.13.90.6,,200,value,
21,har_a2,2019-12-10T10:07:48.291+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iwOb4/y2/l/en_US/oGm0j0KmNl1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,45098,,,-1,-1,-1,-1,1,134,25,31.13.90.6,,162,value,
22,har_a2,2019-12-10T10:07:48.293+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqiV4/yg/l/en_US/i2NfcZ_M9mN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,53120,,,-1,-1,-1,-1,0,104,31,31.13.90.6,,137,value,
23,har_a2,2019-12-10T10:07:48.685+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iidW4/y-/l/en_US/FTlx24msgmk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,19119,,,-1,-1,-1,-1,0,67,87,31.13.90.6,,154,value,
24,har_a2,2019-12-10T10:07:48.688+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNq44/yc/l/en_US/uHVTQaAq74K.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,97352,,,-1,-1,-1,-1,0,72,142,31.13.90.6,,214,value,
25,har_a2,2019-12-10T10:07:48.688+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/E9Mk8QCCThk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,627,4254,,,-1,-1,-1,-1,0,98,47,31.13.90.6,,145,value,
26,har_a2,2019-12-10T10:07:48.689+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i8594/yT/l/en_US/yqcGSezrmzF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,627,5360,,,-1,-1,-1,-1,0,142,8,31.13.90.6,,151,value,
27,har_a2,2019-12-10T10:07:48.693+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iYXl4/yI/l/en_US/CSM_QaqTSsW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,627,6940,,,-1,-1,-1,-1,0,141,0,31.13.90.6,,142,value,
28,har_a2,2019-12-10T10:07:48.695+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSRX4/yz/l/en_US/juZKaOZI_AA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,91508,,,753,0,74,847,0,92,239,31.13.90.6,,1255,value,
