,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T13:20:49.910+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,36751,,,194,2,1975,76,2016,83,0,157.240.1.35,,2373,,
1,facebook,2019-10-11T13:20:51.812+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,108,1,1511,24,1530,58,0,157.240.1.23,,1722,value,
2,facebook,2019-10-11T13:20:51.812+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,129,2,1495,26,1529,7,0,157.240.1.23,,1696,value,
3,facebook,2019-10-11T13:20:51.816+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,136,0,1506,25,1533,34,0,157.240.1.23,,1732,value,
4,facebook,2019-10-11T13:20:51.821+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,108,0,1520,27,1538,53,0,157.240.1.23,,1728,value,
5,facebook,2019-10-11T13:20:51.832+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,108,0,1515,24,1549,8,0,157.240.1.23,,1692,value,
6,facebook,2019-10-11T13:20:51.834+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,118,0,1524,24,1552,1,0,157.240.1.23,,1696,value,
7,facebook,2019-10-11T13:20:51.988+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,90,0,-1,-1,-1,39,-1,157.240.1.23,,130,value,
8,facebook,2019-10-11T13:20:51.989+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,90,0,-1,-1,-1,17,-1,157.240.1.23,,108,value,
9,facebook,2019-10-11T13:20:51.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,92,0,-1,-1,-1,125,-1,157.240.1.23,,219,value,
10,facebook,2019-10-11T13:20:52.189+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,86,0,170,0,192,67,0,157.240.1.23,,348,,
11,facebook,2019-10-11T13:20:52.196+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,84,0,176,0,200,1,0,157.240.1.23,,286,,
12,facebook,2019-10-11T13:20:52.302+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,105,0,-1,-1,-1,153,-1,157.240.1.23,,260,,
13,facebook,2019-10-11T13:20:52.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,81,0,-1,-1,-1,6,-1,157.240.1.23,,89,,
14,facebook,2019-10-11T13:20:52.443+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,82,0,-1,-1,-1,1,-1,157.240.1.23,,84,,
15,facebook,2019-10-11T13:20:52.466+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,101,0,124,0,161,33,0,157.240.1.23,,296,,
16,facebook,2019-10-11T13:20:52.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yM/l/he_IL/yKDjRJ3j-0V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347826,,,105,0,-1,-1,-1,171,-1,157.240.1.23,,276,value,
17,facebook,2019-10-11T13:20:52.959+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,102,0,-1,-1,-1,11,-1,157.240.1.23,,114,value,
18,facebook,2019-10-11T13:20:52.962+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,98,0,-1,-1,-1,16,-1,157.240.1.23,,115,value,
19,facebook,2019-10-11T13:20:52.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,104,0,-1,-1,-1,0,-1,157.240.1.23,,105,value,
20,facebook,2019-10-11T13:20:52.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,89,0,-1,-1,-1,9,-1,157.240.1.23,,99,value,
21,facebook,2019-10-11T13:20:52.964+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,94,0,-1,-1,-1,4,-1,157.240.1.23,,99,value,
22,facebook,2019-10-11T13:20:53.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,90,0,-1,-1,-1,64,-1,157.240.1.23,,155,value,
23,facebook,2019-10-11T13:20:53.071+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,85,0,-1,-1,-1,2,-1,157.240.1.23,,88,value,
24,facebook,2019-10-11T13:20:53.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/6xd4_k7oTaN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2589,,,98,0,-1,-1,-1,1,-1,157.240.1.23,,100,value,
25,facebook,2019-10-11T13:20:53.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/IcegZpKBN66.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13339,,,94,0,-1,-1,-1,5,-1,157.240.1.23,,99,value,
26,facebook,2019-10-11T13:20:53.083+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,92,0,-1,-1,-1,6,-1,157.240.1.23,,99,value,
27,facebook,2019-10-11T13:20:53.102+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,111,0,-1,-1,-1,0,-1,157.240.1.35,,112,,
28,facebook,2019-10-11T13:20:53.163+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,87,0,-1,-1,-1,7,-1,157.240.1.23,,95,value,
29,facebook,2019-10-11T13:20:53.184+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,86,0,-1,-1,-1,1,-1,157.240.1.23,,88,value,
30,facebook,2019-10-11T13:20:53.186+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,102,0,-1,-1,-1,6,-1,157.240.1.23,,110,value,
31,facebook,2019-10-11T13:20:53.186+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,100,0,-1,-1,-1,8,-1,157.240.1.23,,109,value,
32,facebook,2019-10-11T13:20:53.232+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,111,0,-1,-1,-1,1,-1,157.240.1.35,,113,,
33,facebook,2019-10-11T13:20:53.390+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,98,0,-1,-1,-1,1,-1,157.240.1.23,,99,,
34,facebook,2019-10-11T13:20:54.327+03:00,GET,https://cx.atdmt.com/?f=AYzN51L_8p232mhfMCt9Sz_e4Z71-lE77hv_fluPmi-TG_Q8a1ayjLaxY1dM-e-_xrxX0l7Zo-cyAvRSyS5ETZ5-&c=336362072&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,197,0,838,18,874,0,0,157.240.1.6,,1091,value,
35,facebook,2019-10-11T13:20:54.883+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,96,0,-1,-1,-1,72,-1,157.240.1.23,,170,value,
36,facebook,2019-10-11T13:20:54.935+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,171,0,2647,0,2677,0,0,157.240.1.35,,2850,,
37,facebook,2019-10-11T13:20:55.612+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43638,,,194,0,2158,0,2179,125,0,157.240.1.35,,2500,value,
