,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-12T14:35:36.635+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21725,,,2,191,1814,75,0,69,1852,31.13.92.36,,2191,
1,facebook,2019-10-12T14:35:40.180+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/wK5C20bCw3h.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39766,,,1,120,3101,29,0,82,3140,31.13.92.14,,3373,value
2,facebook,2019-10-12T14:35:40.227+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,96,3116,30,0,4,3175,31.13.92.14,,3307,value
3,facebook,2019-10-12T14:35:40.227+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,0,94,3139,30,0,78,3177,31.13.92.14,,3381,value
4,facebook,2019-10-12T14:35:40.227+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,1,108,3149,29,0,61,3187,31.13.92.14,,3388,value
5,facebook,2019-10-12T14:35:40.227+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,1,102,3152,34,0,3,3190,31.13.92.14,,3331,value
6,facebook,2019-10-12T14:35:40.243+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/b0zD_QTiHWR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1964,,,0,106,3135,30,0,0,3193,31.13.92.14,,3333,value
7,facebook,2019-10-12T14:35:40.337+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,0,93,-1,-1,-1,3,-1,31.13.92.14,,98,value
8,facebook,2019-10-12T14:35:40.352+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,93,-1,-1,-1,35,-1,31.13.92.14,,130,value
9,facebook,2019-10-12T14:35:40.352+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,0,127,-1,-1,-1,139,-1,31.13.92.14,,267,value
10,facebook,2019-10-12T14:35:40.602+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,94,182,0,0,86,198,31.13.92.14,,380,
11,facebook,2019-10-12T14:35:40.787+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,0,104,-1,-1,-1,148,-1,31.13.92.14,,253,
12,facebook,2019-10-12T14:35:40.896+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,1,109,150,0,0,9,172,31.13.92.14,,293,
13,facebook,2019-10-12T14:35:40.897+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,1,99,121,0,0,1,169,31.13.92.14,,271,
14,facebook,2019-10-12T14:35:40.904+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y1/l/he_IL/K4FWtS53aRe.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348170,,,0,124,-1,-1,-1,160,-1,31.13.92.14,,285,value
15,facebook,2019-10-12T14:35:40.910+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,110,151,0,0,49,185,31.13.92.14,,348,
16,facebook,2019-10-12T14:35:41.345+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,0,126,-1,-1,-1,3,-1,31.13.92.14,,130,value
17,facebook,2019-10-12T14:35:41.345+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,0,110,-1,-1,-1,74,-1,31.13.92.14,,185,value
18,facebook,2019-10-12T14:35:41.346+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,0,106,-1,-1,-1,12,-1,31.13.92.14,,119,value
19,facebook,2019-10-12T14:35:41.347+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,0,123,-1,-1,-1,1,-1,31.13.92.14,,125,value
20,facebook,2019-10-12T14:35:41.347+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/y9/l/he_IL/eZ3Wzg2ia3y.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15966,,,0,115,-1,-1,-1,41,-1,31.13.92.14,,157,value
21,facebook,2019-10-12T14:35:41.348+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,0,111,-1,-1,-1,3,-1,31.13.92.14,,115,value
22,facebook,2019-10-12T14:35:41.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/JtEASjbVJQJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38506,,,0,102,-1,-1,-1,74,-1,31.13.92.14,,177,value
23,facebook,2019-10-12T14:35:41.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yO/l/he_IL/GpZZ63FC-zA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4086,,,0,100,-1,-1,-1,3,-1,31.13.92.14,,104,value
24,facebook,2019-10-12T14:35:41.480+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,0,109,-1,-1,-1,6,-1,31.13.92.14,,116,value
25,facebook,2019-10-12T14:35:41.480+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,115,-1,-1,-1,1,-1,31.13.92.14,,117,value
26,facebook,2019-10-12T14:35:41.508+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,1,102,-1,-1,-1,7,-1,31.13.92.14,,111,value
27,facebook,2019-10-12T14:35:41.508+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,121,4448,0,0,0,4484,31.13.92.36,,4608,
28,facebook,2019-10-12T14:35:41.511+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,119,-1,-1,-1,0,-1,31.13.92.36,,120,
29,facebook,2019-10-12T14:35:41.539+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5874,,,0,94,-1,-1,-1,3,-1,31.13.92.14,,99,value
30,facebook,2019-10-12T14:35:41.633+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,124,-1,-1,-1,0,-1,31.13.92.14,,125,
