,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T16:04:19.965+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32131,,,0,2291,90,75,2250,2,230,31.13.92.36,,2689,,
1,facebook,2019-10-12T16:04:22.945+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,0,2605,28,2,2568,1,135,31.13.92.14,,2772,value,
2,facebook,2019-10-12T16:04:22.945+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,0,2604,5,0,2565,1,143,31.13.92.14,,2755,value,
3,facebook,2019-10-12T16:04:22.961+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,2615,50,0,2572,0,135,31.13.92.14,,2802,value,
4,facebook,2019-10-12T16:04:22.961+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,2616,18,0,2575,0,116,31.13.92.14,,2752,value,
5,facebook,2019-10-12T16:04:22.976+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,0,2628,19,0,2592,0,89,31.13.92.14,,2738,value,
6,facebook,2019-10-12T16:04:22.976+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,0,2629,40,0,2588,0,96,31.13.92.14,,2766,value,
7,facebook,2019-10-12T16:04:23.114+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,-1,3,-1,-1,0,92,31.13.92.14,,97,value,
8,facebook,2019-10-12T16:04:23.114+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81238,,,-1,-1,106,-1,-1,0,110,31.13.92.14,,218,value,
9,facebook,2019-10-12T16:04:23.378+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,252,65,0,223,0,98,31.13.92.14,,417,,
10,facebook,2019-10-12T16:04:23.384+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,257,1,0,228,0,101,31.13.92.14,,361,,
11,facebook,2019-10-12T16:04:23.500+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,124,-1,-1,0,108,31.13.92.14,,234,,
12,facebook,2019-10-12T16:04:23.550+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,-1,-1,5,-1,-1,0,97,31.13.92.14,,103,,
13,facebook,2019-10-12T16:04:23.610+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,168,2,0,143,0,109,31.13.92.14,,281,,
14,facebook,2019-10-12T16:04:23.619+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,0,176,53,0,145,0,109,31.13.92.14,,340,,
15,facebook,2019-10-12T16:04:23.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yo/l/he_IL/O_fKht9azy1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99946,,,-1,-1,74,-1,-1,0,114,31.13.92.14,,189,value,
16,facebook,2019-10-12T16:04:23.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yA/l/he_IL/ZKeeFEM7Rh0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,163248,,,-1,-1,201,-1,-1,0,94,31.13.92.14,,295,value,
17,facebook,2019-10-12T16:04:23.648+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y2/r/tL-1IuxbSOs.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52387,,,-1,-1,118,-1,-1,0,103,31.13.92.14,,222,value,
18,facebook,2019-10-12T16:04:23.648+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,-1,-1,47,-1,-1,0,114,31.13.92.14,,162,value,
19,facebook,2019-10-12T16:04:25.781+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,-1,5,-1,-1,0,116,31.13.92.14,,122,value,
20,facebook,2019-10-12T16:04:25.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,-1,-1,14,-1,-1,0,144,31.13.92.14,,159,value,
21,facebook,2019-10-12T16:04:25.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yR/l/he_IL/4kh6bTj4uVF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35505,,,-1,-1,25,-1,-1,0,136,31.13.92.14,,163,value,
22,facebook,2019-10-12T16:04:25.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/y5/l/he_IL/yVqCJSIATX8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27599,,,-1,-1,59,-1,-1,1,121,31.13.92.14,,181,value,
23,facebook,2019-10-12T16:04:25.784+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,-1,0,-1,-1,0,159,31.13.92.14,,160,value,
24,facebook,2019-10-12T16:04:25.794+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,-1,-1,29,-1,-1,0,126,31.13.92.14,,156,value,
25,facebook,2019-10-12T16:04:25.807+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2369,0,31,2339,0,138,31.13.92.36,,2540,,
