,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-09-28T18:59:16.712+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1505,31854,,,6624,188,0,19,6501,231,3,157.240.1.35,,7067,,
1,facebook,2019-09-28T18:59:19.717+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,1495,219,0,1048,1396,105,1,157.240.1.23,,2870,value,
2,facebook,2019-09-28T18:59:19.733+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,1508,5,0,1048,1407,110,1,157.240.1.23,,2674,value,
3,facebook,2019-09-28T18:59:19.743+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,1522,204,0,1047,1420,101,1,157.240.1.23,,2877,value,
4,facebook,2019-09-28T18:59:19.745+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,1523,99,0,1048,1422,106,1,157.240.1.23,,2780,value,
5,facebook,2019-09-28T18:59:19.765+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,1544,3,0,1049,1444,99,1,157.240.1.23,,2697,value,
6,facebook,2019-09-28T18:59:19.774+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,1553,4,0,1046,1457,96,1,157.240.1.23,,2703,value,
7,facebook,2019-09-28T18:59:19.855+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,-1,-1,-1,101,0,157.240.1.23,,102,value,
8,facebook,2019-09-28T18:59:19.873+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,7,-1,-1,-1,89,0,157.240.1.23,,97,value,
9,facebook,2019-09-28T18:59:19.881+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,4,-1,-1,-1,89,0,157.240.1.23,,94,value,
10,facebook,2019-09-28T18:59:19.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,463,-1,-1,-1,94,0,157.240.1.23,,558,value,
11,facebook,2019-09-28T18:59:20.270+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,286,385,0,0,166,547,0,157.240.1.23,,1219,,
12,facebook,2019-09-28T18:59:20.274+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,298,0,0,0,172,837,0,157.240.1.23,,1137,,
13,facebook,2019-09-28T18:59:21.045+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,448,-1,-1,-1,95,0,157.240.1.23,,544,value,
14,facebook,2019-09-28T18:59:21.116+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/FCL54XJbMl1.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,98852,,,-1,776,-1,-1,-1,88,0,157.240.1.23,,865,,
15,facebook,2019-09-28T18:59:21.207+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/4VKqg5G-mwJ.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14156,,,-1,15,-1,-1,-1,405,0,157.240.1.23,,421,,
16,facebook,2019-09-28T18:59:21.383+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/8qvpTissqcf.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1506,,,637,1,0,0,503,106,1,157.240.1.23,,746,,
17,facebook,2019-09-28T18:59:21.496+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/kXi20P20rol.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17241,,,-1,96,-1,-1,-1,93,0,157.240.1.23,,190,,
