,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T19:58:29.209+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31912,,,314,42,5697,2,5736,69,0,157.240.1.35,,6165,,
1,facebook,2019-10-08T19:58:33.445+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,171,31,3678,1,3715,53,0,31.13.92.14,,3972,value,
2,facebook,2019-10-08T19:58:33.456+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,141,26,3687,1,3724,15,0,31.13.92.14,,3910,value,
3,facebook,2019-10-08T19:58:33.456+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,140,27,3690,0,3727,40,0,31.13.92.14,,3937,value,
4,facebook,2019-10-08T19:58:33.459+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,158,28,3684,1,3727,49,0,31.13.92.14,,3965,value,
5,facebook,2019-10-08T19:58:33.467+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,89,26,3692,0,3737,69,0,31.13.92.14,,3924,value,
6,facebook,2019-10-08T19:58:33.473+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,151,28,3699,0,3742,10,0,31.13.92.14,,3932,value,
7,facebook,2019-10-08T19:58:33.657+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,86,-1,-1,0,-1,27,-1,31.13.92.14,,115,value,
8,facebook,2019-10-08T19:58:33.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,101,-1,-1,1,-1,137,-1,31.13.92.14,,239,value,
9,facebook,2019-10-08T19:58:33.661+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,113,-1,-1,1,-1,4,-1,31.13.92.14,,118,value,
