,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-09-28T18:54:04.001+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1505,36423,,,4520,182,0,247,198,4410,5,157.240.1.35,,5155,,
1,facebook,2019-09-28T18:54:08.346+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,3678,217,0,71,90,3547,1,157.240.1.23,,4060,value,
2,facebook,2019-09-28T18:54:08.353+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,3681,10,0,69,103,3550,1,157.240.1.23,,3867,value,
3,facebook,2019-09-28T18:54:08.359+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,3699,401,0,69,104,3567,1,157.240.1.23,,4275,value,
4,facebook,2019-09-28T18:54:08.364+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,3698,303,0,71,115,3569,1,157.240.1.23,,4191,value,
5,facebook,2019-09-28T18:54:08.372+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,3708,1,0,72,113,3579,1,157.240.1.23,,3898,value,
6,facebook,2019-09-28T18:54:08.377+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,3714,1,0,71,116,3586,1,157.240.1.23,,3906,value,
7,facebook,2019-09-28T18:54:08.476+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,2,-1,-1,109,-1,1,157.240.1.23,,112,value,
8,facebook,2019-09-28T18:54:08.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,1,-1,-1,93,-1,0,157.240.1.23,,95,value,
9,facebook,2019-09-28T18:54:08.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,3,-1,-1,89,-1,0,157.240.1.23,,93,value,
10,facebook,2019-09-28T18:54:08.594+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,400,-1,-1,98,-1,0,157.240.1.23,,500,value,
11,facebook,2019-09-28T18:54:09.701+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,379,1,0,0,110,289,1,157.240.1.23,,492,,
12,facebook,2019-09-28T18:54:09.701+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,419,243,0,0,90,323,1,157.240.1.23,,755,,
