,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,facebook,0,,477,HTTP/1.1,GET,value,http://www.drivemeinsane.com/cgi-bin/newgetmesgxml2.cgi?instance=1858713948&RANDOM=.0.1161041117443482,,0,,,text/html;charset=UTF-8,0,148,HTTP/1.1,,200,OK,50.23.33.202,2019-10-05T12:00:58.088+03:00,212,-1,,-1,-1,1,0,-1,210
1,,facebook,0,,420,HTTP/1.1,GET,,https://www.facebook.com/,,31874,,,"text/html; charset=""utf-8""",0,1536,HTTP/1.1,,200,OK,157.240.1.35,2019-10-05T12:00:59.078+03:00,1624,0,,1337,44,64,2,1298,175
2,,facebook,0,,550,HTTP/1.1,GET,value,http://www.drivemeinsane.com/cgi-bin/getstatexml.cgi?cam=5&cookiename=Anonymous_User33668744&pagename=Main&instance=98286649&RANDOM=.0.8240526570480835,,595,,,text/xml,0,142,HTTP/1.1,,200,OK,50.23.33.202,2019-10-05T12:00:59.224+03:00,398,-1,,-1,-1,174,1,-1,222
3,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/ovYa_VLUwxs.css?_nc_x=Ij3Wp8lg5Kz",,41073,,,text/css; charset=utf-8,0,581,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.347+03:00,1097,0,,881,33,33,13,847,135
4,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/hEWw67cimD4.css?_nc_x=Ij3Wp8lg5Kz",,4746,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.349+03:00,1079,0,,881,31,2,14,839,149
5,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yx/l/0,cross/ruQ0UxgWrhv.css?_nc_x=Ij3Wp8lg5Kz",,37018,,,text/css; charset=utf-8,0,581,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.368+03:00,1113,0,,907,35,23,2,861,144
6,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/8xikMkJaS9q.css?_nc_x=Ij3Wp8lg5Kz",,13081,,,text/css; charset=utf-8,0,581,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.369+03:00,1090,0,,907,33,27,4,871,117
7,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yf/l/0,cross/qcVWVqIHGw9.css?_nc_x=Ij3Wp8lg5Kz",,16814,,,text/css; charset=utf-8,0,581,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.385+03:00,1071,0,,924,27,22,0,877,94
8,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/-zy6OvBY62a.css?_nc_x=Ij3Wp8lg5Kz",,3058,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.389+03:00,1094,0,,925,28,2,0,881,138
9,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",,1089,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.560+03:00,107,-1,,-1,-1,1,0,-1,104
10,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yk/l/0,cross/8pSX35veXt5.css?_nc_x=Ij3Wp8lg5Kz",,5297,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.560+03:00,107,-1,,-1,-1,6,0,-1,100
11,,facebook,0,,425,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/yC/r/Qnomb5q_hFP.js?_nc_x=Ij3Wp8lg5Kz,,80930,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.561+03:00,160,-1,,-1,-1,70,0,-1,89
12,,facebook,0,,413,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,,42565,,,image/png,0,522,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.749+03:00,314,0,,175,0,46,1,150,90
13,,facebook,0,,413,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,,522,,,image/gif,0,520,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.753+03:00,271,0,,177,0,1,0,157,91
14,,facebook,0,,474,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/FCL54XJbMl1.png,,98852,,,image/png,0,522,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.860+03:00,190,-1,,-1,-1,103,0,-1,85
15,,facebook,0,,474,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/4VKqg5G-mwJ.png,,14156,,,image/png,0,522,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.892+03:00,90,-1,,-1,-1,2,0,-1,87
16,,facebook,0,,474,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/kXi20P20rol.png,,17241,,,image/png,0,522,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.995+03:00,254,0,,153,0,12,1,106,87
17,,facebook,0,,474,HTTP/1.1,GET,,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/8qvpTissqcf.png,,1506,,,image/png,0,521,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:00.996+03:00,244,0,,155,0,3,0,117,85
18,,facebook,0,,449,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/6UXqTaA54Jp.css?_nc_x=Ij3Wp8lg5Kz",,5226,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.184+03:00,97,-1,,-1,-1,0,0,-1,95
19,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/ya/l/he_IL/yXejJImNHOX.js?_nc_x=Ij3Wp8lg5Kz,,344563,,,application/x-javascript; charset=utf-8,0,598,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.326+03:00,278,-1,,-1,-1,178,0,-1,99
20,,facebook,0,,490,HTTP/1.1,GET,,https://facebook.com/security/hsts-pixel.gif,,48,,,image/gif,0,1333,HTTP/1.1,,200,OK,157.240.1.35,2019-10-05T12:01:01.342+03:00,652,0,,522,21,2,0,490,105
21,,facebook,0,,425,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,,9894,,,application/x-javascript; charset=utf-8,0,596,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.742+03:00,116,-1,,-1,-1,16,0,-1,99
22,,facebook,0,,425,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,,2484,,,application/x-javascript; charset=utf-8,0,596,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.743+03:00,109,-1,,-1,-1,2,0,-1,106
23,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,,10448,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.745+03:00,105,-1,,-1,-1,5,0,-1,98
24,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3iQHc4/yy/l/he_IL/Lx0G7YftRCr.js?_nc_x=Ij3Wp8lg5Kz,,22754,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.746+03:00,121,-1,,-1,-1,4,0,-1,116
25,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,,26739,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.746+03:00,130,-1,,-1,-1,4,0,-1,125
26,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,,21732,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.746+03:00,123,-1,,-1,-1,22,0,-1,101
27,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,,10642,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.910+03:00,102,-1,,-1,-1,3,0,-1,97
28,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,,1582,,,application/x-javascript; charset=utf-8,0,596,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.911+03:00,94,-1,,-1,-1,6,0,-1,88
29,,facebook,0,,436,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3i9mW4/yL/l/he_IL/ITf9rpXAEA-.js?_nc_x=Ij3Wp8lg5Kz,,231042,,,application/x-javascript; charset=utf-8,0,598,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.912+03:00,266,-1,,-1,-1,162,0,-1,103
30,,facebook,0,,425,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,,12193,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,157.240.1.23,2019-10-05T12:01:01.913+03:00,98,-1,,-1,-1,2,0,-1,95
