,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T19:09:32.343+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31830,,,1437,28,2,314,1476,81,0,31.13.92.36,,1904,,
1,facebook,2019-10-11T19:09:33.637+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,744,29,0,122,780,89,0,31.13.92.14,,1022,value,
2,facebook,2019-10-11T19:09:33.647+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,756,29,0,127,792,3,0,31.13.92.14,,954,value,
3,facebook,2019-10-11T19:09:33.647+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,756,28,0,118,793,84,0,31.13.92.14,,1026,value,
4,facebook,2019-10-11T19:09:33.653+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,762,33,1,89,798,64,0,31.13.92.14,,986,value,
5,facebook,2019-10-11T19:09:33.654+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,771,30,3,122,799,0,0,31.13.92.14,,956,value,
6,facebook,2019-10-11T19:09:33.659+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,777,27,0,122,805,27,0,31.13.92.14,,983,value,
7,facebook,2019-10-11T19:09:33.807+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,0,110,-1,7,-1,31.13.92.14,,118,value,
8,facebook,2019-10-11T19:09:33.807+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,-1,0,99,-1,121,-1,31.13.92.14,,222,value,
9,facebook,2019-10-11T19:09:34.019+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,170,0,0,101,202,65,0,31.13.92.14,,370,,
10,facebook,2019-10-11T19:09:34.023+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,173,0,0,99,205,1,0,31.13.92.14,,306,,
11,facebook,2019-10-11T19:09:34.127+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,0,91,-1,151,-1,31.13.92.14,,243,,
12,facebook,2019-10-11T19:09:34.191+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,-1,0,90,-1,10,-1,31.13.92.14,,102,,
13,facebook,2019-10-11T19:09:34.265+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,124,0,1,97,146,1,0,31.13.92.14,,246,,
14,facebook,2019-10-11T19:09:34.272+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,120,0,0,95,152,33,0,31.13.92.14,,281,,
15,facebook,2019-10-11T19:09:34.360+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yl/l/he_IL/oLXEoP-22nD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348779,,,-1,-1,0,101,-1,161,-1,31.13.92.14,,264,value,
16,facebook,2019-10-11T19:09:34.772+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y5/l/he_IL/oCzfxaJWeI7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17358,,,-1,-1,0,108,-1,14,-1,31.13.92.14,,124,value,
17,facebook,2019-10-11T19:09:34.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,-1,0,125,-1,64,-1,31.13.92.14,,190,value,
18,facebook,2019-10-11T19:09:34.774+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,-1,-1,0,104,-1,25,-1,31.13.92.14,,130,value,
19,facebook,2019-10-11T19:09:34.774+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,-1,0,104,-1,17,-1,31.13.92.14,,123,value,
20,facebook,2019-10-11T19:09:34.775+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,-1,-1,0,108,-1,21,-1,31.13.92.14,,130,value,
21,facebook,2019-10-11T19:09:34.906+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,-1,-1,0,105,-1,32,-1,31.13.92.14,,138,value,
22,facebook,2019-10-11T19:09:34.906+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,-1,-1,1,102,-1,3,-1,31.13.92.14,,107,value,
23,facebook,2019-10-11T19:09:34.910+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,-1,0,92,-1,7,-1,31.13.92.14,,100,value,
24,facebook,2019-10-11T19:09:34.913+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,-1,-1,0,97,-1,62,-1,31.13.92.14,,160,value,
25,facebook,2019-10-11T19:09:34.925+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,1,185,-1,0,-1,31.13.92.36,,187,,
26,facebook,2019-10-11T19:09:34.968+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,0,94,-1,1,-1,31.13.92.14,,96,value,
27,facebook,2019-10-11T19:09:35.018+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,-1,0,123,-1,5,-1,31.13.92.14,,129,value,
28,facebook,2019-10-11T19:09:35.019+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,-1,0,120,-1,4,-1,31.13.92.14,,125,value,
29,facebook,2019-10-11T19:09:35.116+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,185,-1,0,-1,31.13.92.36,,187,,
30,facebook,2019-10-11T19:09:35.183+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,87,-1,0,-1,31.13.92.14,,88,,
31,facebook,2019-10-11T19:09:36.607+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,-1,0,103,-1,4,-1,31.13.92.14,,109,value,
32,facebook,2019-10-11T19:09:36.692+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,2588,0,0,198,2614,0,0,31.13.92.36,,2815,,
33,facebook,2019-10-11T19:09:38.363+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43435,,,3161,37,0,332,3190,102,0,31.13.92.36,,3663,value,
34,facebook,2019-10-11T19:09:38.715+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,94,-1,1,-1,31.13.92.14,,95,value,
35,facebook,2019-10-11T19:09:38.715+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,-1,0,99,-1,69,-1,31.13.92.14,,169,value,
36,facebook,2019-10-11T19:09:38.716+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,-1,0,94,-1,18,-1,31.13.92.14,,113,value,
37,facebook,2019-10-11T19:09:38.779+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,-1,0,127,-1,23,-1,31.13.92.14,,151,value,
38,facebook,2019-10-11T19:09:38.849+03:00,GET,https://cx.atdmt.com/?f=AYwGEQA9TgDio2CObqymhtRr2zhF2hRTLqiMs84nvuEj_V2Br91S2gdHAAVOLij2lalDd6IPyuyH-Vs3xxdE6gBx&c=1113332999&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,3468,32,0,125,3496,0,0,31.13.92.2,,3655,value,
39,facebook,2019-10-11T19:09:44.692+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3095,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,146,-1,0,-1,31.13.92.36,,147,,
40,facebook,2019-10-11T19:09:44.737+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,5986,0,0,94,6019,2,0,216.58.205.228,,6117,,
41,facebook,2019-10-11T19:09:44.954+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,-1,0,110,-1,157,-1,31.13.92.14,,268,value,
42,facebook,2019-10-11T19:09:44.954+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,-1,0,96,-1,32,-1,31.13.92.14,,129,value,
43,facebook,2019-10-11T19:09:44.954+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,-1,0,104,-1,0,-1,31.13.92.14,,105,value,
44,facebook,2019-10-11T19:09:44.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,-1,0,97,-1,57,-1,31.13.92.14,,156,value,
45,facebook,2019-10-11T19:09:47.783+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,2861,28,0,103,2890,134,0,172.217.22.35,,3157,,
46,facebook,2019-10-11T19:09:48.046+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=l00wrosj1xyz,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9598,,,-1,-1,0,114,-1,30,-1,216.58.205.228,,146,value,
47,facebook,2019-10-11T19:09:48.207+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,0,95,-1,61,-1,172.217.22.35,,158,,
48,facebook,2019-10-11T19:09:48.363+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,123,0,0,89,154,151,0,172.217.22.35,,397,,
49,facebook,2019-10-11T19:09:48.631+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,-1,0,103,-1,3,-1,216.58.205.228,,106,,
