,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,response._error
0,facebook,2019-09-28T19:20:36.187+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,98,1,-1,-1,-1,-1,154,157.240.1.23,,254,
1,facebook,2019-09-28T19:20:36.193+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,111,0,-1,-1,-1,-1,296,157.240.1.23,,409,
2,facebook,2019-09-28T19:20:36.202+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,174,1,-1,-1,-1,-1,159,157.240.1.23,,335,
3,facebook,2019-09-28T19:20:36.203+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,175,2,-1,-1,-1,-1,173,157.240.1.23,,350,
4,facebook,2019-09-28T19:20:36.205+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,188,1,-1,-1,-1,-1,204,157.240.1.23,,394,
5,facebook,2019-09-28T19:20:36.318+03:00,GET,https://www.facebook.com/,HTTP/1.1,,549,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1637,31761,,,197,1,-1,-1,-1,-1,250,157.240.1.35,,449,
6,facebook,2019-09-28T19:20:36.447+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,0,,unknown,0,,,,-1,-1,,,0,1,-1,-1,-1,-1,0,157.240.1.23,,1,No response received
7,facebook,2019-09-28T19:20:36.550+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,157.240.1.23,,0,No response received
8,facebook,2019-09-28T19:20:36.564+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,0,,unknown,0,,,,-1,-1,,,0,1,-1,-1,-1,-1,0,157.240.1.23,,1,No response received
9,facebook,2019-09-28T19:20:37.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,114,2,0,444,648,0,992,157.240.1.23,,1758,
