,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:14:08.551+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31891,,,1,3,1584,217,82,1628,0,31.13.92.36,,1933,,
1,facebook,2019-10-08T16:14:10.199+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,1,1190,118,65,1227,0,31.13.92.14,,1412,value,
2,facebook,2019-10-08T16:14:10.207+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,1,1196,96,5,1234,0,31.13.92.14,,1338,value,
3,facebook,2019-10-08T16:14:10.221+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,2,0,1218,102,61,1246,0,31.13.92.14,,1414,value,
4,facebook,2019-10-08T16:14:10.229+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,0,1,1220,102,2,1257,0,31.13.92.14,,1363,value,
5,facebook,2019-10-08T16:14:10.232+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,1,1,1224,99,8,1259,0,31.13.92.14,,1371,value,
6,facebook,2019-10-08T16:14:10.249+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,1,1,1248,102,1,1276,0,31.13.92.14,,1382,value,
7,facebook,2019-10-08T16:14:10.318+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,-1,90,1,-1,-1,31.13.92.14,,92,value,
8,facebook,2019-10-08T16:14:10.342+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,-1,0,-1,88,2,-1,-1,31.13.92.14,,92,value,
9,facebook,2019-10-08T16:14:10.347+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,0,-1,96,109,-1,-1,31.13.92.14,,206,value,
10,facebook,2019-10-08T16:14:10.601+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,1,190,85,89,233,0,31.13.92.14,,408,,
11,facebook,2019-10-08T16:14:10.630+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,209,100,1,233,0,31.13.92.14,,336,,
12,facebook,2019-10-08T16:14:10.748+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,0,-1,91,169,-1,-1,31.13.92.14,,261,,
13,facebook,2019-10-08T16:14:10.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,0,-1,82,7,-1,-1,31.13.92.14,,90,,
14,facebook,2019-10-08T16:14:10.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,-1,0,-1,87,1,-1,-1,31.13.92.14,,89,,
15,facebook,2019-10-08T16:14:10.904+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,0,128,93,27,154,0,31.13.92.14,,276,,
16,facebook,2019-10-08T16:14:11.760+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,0,-1,113,180,-1,-1,31.13.92.14,,294,value,
17,facebook,2019-10-08T16:14:12.246+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yC/r/5jknhq0ezH4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9837,,,-1,0,-1,93,5,-1,-1,31.13.92.14,,100,value,
18,facebook,2019-10-08T16:14:12.247+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,2,-1,90,2,-1,-1,31.13.92.14,,94,value,
19,facebook,2019-10-08T16:14:12.250+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,0,-1,103,48,-1,-1,31.13.92.14,,152,value,
20,facebook,2019-10-08T16:14:12.250+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/ye/l/he_IL/ZVuz92lEEOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26707,,,-1,0,-1,101,52,-1,-1,31.13.92.14,,153,value,
21,facebook,2019-10-08T16:14:12.250+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yT/l/he_IL/8600ZvSyCMD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21685,,,-1,0,-1,107,46,-1,-1,31.13.92.14,,154,value,
22,facebook,2019-10-08T16:14:12.346+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yR/l/he_IL/nUDslGkOjz4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10605,,,-1,0,-1,88,6,-1,-1,31.13.92.14,,95,value,
23,facebook,2019-10-08T16:14:12.351+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,0,-1,108,1,-1,-1,31.13.92.14,,110,value,
24,facebook,2019-10-08T16:14:12.379+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,126,0,-1,-1,31.13.92.36,,127,,
25,facebook,2019-10-08T16:14:12.409+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/460HBSAxl8E.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12173,,,-1,2,-1,105,8,-1,-1,31.13.92.14,,116,value,
26,facebook,2019-10-08T16:14:12.412+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/yc/l/he_IL/UMO8BD_AQ4P.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11731,,,-1,0,-1,104,4,-1,-1,31.13.92.14,,109,value,
27,facebook,2019-10-08T16:14:12.413+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/RgSGRI5K3mg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3738,,,-1,0,-1,108,1,-1,-1,31.13.92.14,,110,value,
28,facebook,2019-10-08T16:14:12.445+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yh/l/he_IL/_EbvrHhgb-V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45817,,,-1,0,-1,94,65,-1,-1,31.13.92.14,,160,value,
29,facebook,2019-10-08T16:14:12.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,0,-1,91,3,-1,-1,31.13.92.14,,95,value,
30,facebook,2019-10-08T16:14:12.510+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,129,0,-1,-1,31.13.92.36,,130,,
