,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-09-28T18:52:55.419+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1505,31848,,,2153,1058,2,204,0,183,2282,157.240.1.35,,3731,,
1,facebook,2019-09-28T18:53:00.413+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,4401,12,1,115,0,222,4532,157.240.1.23,,4885,value,
2,facebook,2019-09-28T18:53:00.416+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,4433,14,1,97,0,30,4536,157.240.1.23,,4680,value,
3,facebook,2019-09-28T18:53:00.416+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,4441,16,2,106,0,95,4540,157.240.1.23,,4761,value,
4,facebook,2019-09-28T18:53:00.417+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,4436,13,0,116,0,220,4538,157.240.1.23,,4890,value,
5,facebook,2019-09-28T18:53:00.421+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,4444,18,0,124,0,0,4546,157.240.1.23,,4690,value,
6,facebook,2019-09-28T18:53:00.423+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,4445,15,0,124,0,1,4547,157.240.1.23,,4690,value,
7,facebook,2019-09-28T18:53:00.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,-1,0,144,-1,2,-1,157.240.1.23,,147,value,
8,facebook,2019-09-28T18:53:00.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,-1,0,141,-1,2,-1,157.240.1.23,,144,value,
9,facebook,2019-09-28T18:53:00.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,-1,0,137,-1,7,-1,157.240.1.23,,145,value,
