,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,489,HTTP/1.1,GET,,https://www.tumblr.com/,17827,,,text/html; charset=UTF-8,0,1559,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:40.716+02:00,3675,0,,576,2398,4,1,513,694
1,,,0,,461,HTTP/1.1,GET,value,https://assets.tumblr.com/client/prod/app/header.build.js?_v=59980abd0ab08743f0036dae8cdaa244,2297,,,application/javascript; charset=utf-8,0,584,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:48.993+02:00,7745,0,,597,6879,0,1,469,266
2,,,0,,482,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/global.css?_v=8dbc18d358a6c8b90b475766b8fb40cf,38449,,,text/css,0,560,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.021+02:00,7773,0,,652,6886,31,5,530,197
3,,,0,,471,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/scripts/tumblr/utils/exceptions.js?_v=3d410b42829896943310d6a7e9c9f28e,2476,,,application/javascript; charset=utf-8,0,589,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.023+02:00,7768,0,,653,6875,0,1,517,237
4,,,0,,490,HTTP/1.1,GET,value,https://assets.tumblr.com/client/prod/app/global.build.css?_v=56c7f8a1e4e5daa277085d336fd32850,105245,,,text/css,0,561,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.025+02:00,7858,0,,666,6879,85,18,530,209
5,,,0,,510,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/landing_pages/logged_out_dashboard.css?_v=d934eeabee22d8f5a93bf0f19e491a2d,1273,,,text/css,0,557,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.090+02:00,7785,0,,722,6876,0,1,606,184
6,,,0,,487,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/posts/posts.css?_v=f6324048c30510d44312d031655d2fca,10059,,,text/css,0,559,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.267+02:00,76,-1,,-1,-1,0,0,-1,75
7,,,0,,505,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/dashboard/notes_notifications.css?_v=6f89e843093c5be24b16b0c3f60dd55f,3271,,,text/css,0,558,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.283+02:00,64,-1,,-1,-1,1,0,-1,62
8,,,0,,502,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/dashboard/new_post_buttons.css?_v=a48be79be4422ff38614e45bce3b20cf,767,,,text/css,0,557,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.352+02:00,69,-1,,-1,-1,1,0,-1,66
9,,,0,,499,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/password_strength_meter.css?_v=a63deabd4de89e594eaccaf76220d504,260,,,text/css,0,558,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.354+02:00,62,-1,,-1,-1,0,0,-1,60
10,,,0,,499,HTTP/1.1,GET,value,https://assets.tumblr.com/assets/styles/form_classic_onboarding.css?_v=96af88cefa4fd2e5ce63940a829beb90,5015,,,text/css,0,559,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.356+02:00,67,-1,,-1,-1,1,0,-1,66
11,,,0,,514,HTTP/1.1,GET,value,https://assets.tumblr.com/client/prod/app/context/loginandregister/index.build.css?_v=da4955e01484d4cc9f7265350bfc5985,4625,,,text/css,0,560,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.420+02:00,64,-1,,-1,-1,1,0,-1,61
12,,,0,,438,HTTP/1.1,GET,value,https://assets.tumblr.com/languages/strings/en_US.js?1343,905,,,application/javascript; charset=utf-8,0,586,HTTP/1.1,,200,OK,152.199.21.147,2019-11-01T16:01:49.432+02:00,63,-1,,-1,-1,0,0,-1,61
