,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,https://www.linkedin.com/,,9317,,,text/html; charset=utf-8,0,2561,HTTP/1.1,,200,OK,13.107.42.14,2019-11-01T10:06:29.912+02:00,1068,0,,523,72,11,1,503,460
1,,,0,,375,HTTP/1.1,GET,https://www.gstatic.com/chrome/intelligence/assist/ranker/models/translate/2017/03/translate_ranker_model_20170329.pb.bin,,2407,,,text/html,0,510,HTTP/1.1,,200,OK,216.58.210.3,2019-11-01T10:06:30.974+02:00,721,0,,604,1,7,1,567,107
2,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1mgt5zmqfd6dgkt8vfgxfelun,,25036,,,text/javascript,0,1042,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:06:31.092+02:00,805,0,,604,29,2,2,554,167
3,,,0,,416,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/p0e6qnmi9u2gfspo9jdn5jt4,,14924,,,text/css,0,767,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:06:31.094+02:00,1657,0,,605,31,0,1,556,1018
4,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,,13795,,,text/javascript,0,744,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:06:31.098+02:00,1532,0,,609,32,0,0,561,888
5,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:06:32.130+02:00,89,-1,,-1,-1,0,0,-1,88
6,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:06:32.277+02:00,0,-1,,-1,-1,0,0,-1,0
7,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,,315,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:06:32.283+02:00,39,-1,,-1,-1,1,0,-1,37
8,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:06:32.318+02:00,0,-1,,-1,-1,0,0,-1,0
9,,,0,,694,HTTP/1.1,GET,https://www.linkedin.com/litms/api/metadata/user,No response received,-1,,,,0,-1,unknown,,0,,13.107.42.14,2019-11-01T10:06:32.319+02:00,0,-1,,-1,-1,0,0,-1,0
10,,,0,,458,HTTP/1.1,GET,https://static-exp1.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:06:32.329+02:00,0,-1,,-1,-1,0,0,-1,0
