,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,423,HTTP/1.1,GET,,http://www.shadyurl.com/,1398,,,text/html,0,220,HTTP/1.1,,200,OK,45.55.57.141,2019-10-05T09:55:04.952+03:00,719,0,,54,400,14,11,-1,237
1,,,0,,344,HTTP/1.1,GET,,http://www.shadyurl.com/layout/shady.css,1259,,,text/css,0,282,HTTP/1.1,,200,OK,45.55.57.141,2019-10-05T09:55:05.730+03:00,169,-1,,-1,-1,0,2,-1,166
2,,,0,,366,HTTP/1.1,GET,,http://www.shadyurl.com/images/header.gif,4646,,,image/gif,0,232,HTTP/1.1,,200,OK,45.55.57.141,2019-10-05T09:55:05.757+03:00,306,0,,40,2,1,0,-1,261
3,,,0,,357,HTTP/1.1,GET,,http://pagead2.googlesyndication.com/pagead/show_ads.js,28279,,,text/javascript;charset=UTF-8,0,537,HTTP/1.1,,200,OK,172.217.23.130,2019-10-05T09:55:05.765+03:00,300,0,,25,31,73,2,-1,167
4,,,0,,385,HTTP/1.1,GET,,http://www.shadyurl.com/images/submitbtn.gif,2024,,,image/gif,0,231,HTTP/1.1,,200,OK,45.55.57.141,2019-10-05T09:55:05.925+03:00,167,-1,,-1,-1,0,0,-1,165
5,,,0,,355,HTTP/1.1,GET,,https://www.google.com/recaptcha/api.js,465,,,text/javascript; charset=UTF-8,0,467,HTTP/1.1,,200,OK,172.217.21.228,2019-10-05T09:55:08.289+03:00,2623,0,,2390,37,1,75,2360,119
6,,,0,,417,HTTP/1.1,GET,,https://www.google-analytics.com/ga.js,17168,,,text/javascript,0,541,HTTP/1.1,,200,OK,172.217.22.110,2019-10-05T09:55:08.432+03:00,2343,0,,2069,1,31,131,2025,110
7,,,0,,388,HTTP/1.1,GET,value,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,104,,,application/javascript; charset=UTF-8,0,805,HTTP/1.1,,200,OK,172.217.23.98,2019-10-05T09:55:08.699+03:00,2555,0,,2389,35,10,15,2333,105
8,,,0,,400,HTTP/1.1,GET,,https://pagead2.googlesyndication.com/pagead/js/r20191001/r20190131/show_ads_impl.js,87354,,,text/javascript; charset=UTF-8,0,896,HTTP/1.1,,200,OK,172.217.23.130,2019-10-05T09:55:08.718+03:00,2705,0,,2423,0,86,19,2342,176
9,,,0,,390,HTTP/1.1,GET,value,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,104,,,application/javascript; charset=UTF-8,0,805,HTTP/1.1,,200,OK,172.217.23.98,2019-10-05T09:55:08.739+03:00,2632,0,,2426,44,2,1,2366,157
10,,,0,,918,HTTP/1.1,GET,value,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1809319579&utmhn=www.shadyurl.com&utmcs=UTF-8&utmsr=800x600&utmvp=783x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=ShadyURL%20-%20Don%27t%20just%20shorten%20your%20URL%2C%20make%20it%20suspicious%20and%20frightening.&utmhid=542335098&utmr=-&utmp=%2F&utmht=1570258509062&utmac=UA-11486297-4&utmcc=__utma%3D157738104.223204749.1570258509.1570258509.1570258509.1%3B%2B__utmz%3D157738104.1570258509.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=104786001&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,35,,,image/gif,0,466,HTTP/1.1,,200,OK,172.217.22.110,2019-10-05T09:55:09.094+03:00,120,-1,,-1,-1,2,0,-1,117
11,,,0,,552,HTTP/1.1,GET,,https://googleads.g.doubleclick.net/pagead/html/r20191001/r20190131/zrt_lookup.html,7390,,,text/html; charset=UTF-8,0,895,HTTP/1.1,,200,OK,216.58.207.66,2019-10-05T09:55:09.588+03:00,410,0,,301,0,6,1,272,101
