,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:22:31.304+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,9677,,,2,92,200,1406,0,1447,50,104.24.119.116,,1793,
1,,2019-10-09T17:22:31.583+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,516,19958,,,1,-1,92,-1,-1,-1,42,104.24.119.116,,136,value
2,,2019-10-09T17:22:31.727+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,0,-1,147,-1,-1,-1,0,104.24.119.116,,149,value
3,,2019-10-09T17:22:31.781+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,1,0,95,130,0,160,2,104.24.119.116,,260,value
4,,2019-10-09T17:22:31.785+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,1,0,103,169,0,200,4,104.24.119.116,,310,value
5,,2019-10-09T17:22:31.786+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,1,0,107,170,0,198,39,104.24.119.116,,346,value
6,,2019-10-09T17:22:31.787+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,1,0,97,172,0,207,1,104.24.119.116,,308,value
7,,2019-10-09T17:22:31.790+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,515,1646,,,0,0,95,172,0,202,2,104.24.119.116,,302,value
8,,2019-10-09T17:22:31.928+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,0,-1,97,-1,-1,-1,1,104.24.119.116,,99,value
9,,2019-10-09T17:22:31.930+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,0,-1,102,-1,-1,-1,30,104.24.119.116,,133,value
10,,2019-10-09T17:22:31.932+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,658,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,0,-1,93,-1,-1,-1,2,104.24.119.116,,96,value
