,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:43:16.481+03:00,GET,https://www.pinterest.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2581,32671,,,1183,62,0,750,1138,79,2,212.55.188.219,,2078,,
1,,2019-10-09T17:43:19.241+03:00,GET,https://i.pinimg.com/assets/js/warm.js?_=1570633240538,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,490,0,,,1900,2,0,64,1863,27,0,212.55.188.219,,1996,value,
2,,2019-10-09T17:43:20.090+03:00,GET,https://s.pinimg.com/webapp/style/common_desktop-60a558fbd03cc37851a3.css,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,text/css,,,505,37464,,,2749,29,0,122,2723,27,1,212.55.188.219,,2931,,
3,,2019-10-09T17:43:20.099+03:00,GET,https://s.pinimg.com/webapp/style/gestalt-1eb6cb5ea6b63c92bf18.css,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,text/css,,,504,8497,,,2758,10,0,85,2721,26,0,212.55.188.219,,2882,,
4,,2019-10-09T17:43:20.110+03:00,GET,https://s.pinimg.com/webapp/js/runtime-4d1680eedebdd4c20f8d.mjs,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,17417,,,792,2,0,119,764,0,0,212.55.188.219,,915,,
5,,2019-10-09T17:43:20.112+03:00,GET,https://s.pinimg.com/webapp/js/pjs-ArticlePageDesktop~AuthHomePageDesktop~BusinessAccountConvertPageDesktop~BusinessAccountCreatePageDe~574bde07-bad7092ce6a1cf9c2e68.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,93626,,,2771,95,0,125,2735,27,0,212.55.188.219,,3021,,
6,,2019-10-09T17:43:20.113+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginModal~LoginPageDesktop~LoginPageSterling~Persona~91a2a2d5-b36a355c1a9b505328f0.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,27172,,,2772,7,0,109,2735,27,0,212.55.188.219,,2917,,
7,,2019-10-09T17:43:20.250+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginModal~LoginPageDesktop~LoginPageSterling~UnauthH~ffd0224e-dcc8bfa90841210c25a5.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,19993,,,-1,3,-1,72,-1,-1,0,212.55.188.219,,76,,
8,,2019-10-09T17:43:20.272+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountCreatePageDesktop~UnauthHome-7c07d36cc0fa9831d402.mjs,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,16706,,,-1,16,-1,42,-1,-1,0,212.55.188.219,,59,,
9,,2019-10-09T17:43:20.333+03:00,GET,https://s.pinimg.com/webapp/js/pjs-UnauthHome-5f85dba3a7da119aa185.mjs,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,45313,,,-1,33,-1,42,-1,-1,0,212.55.188.219,,77,,
10,,2019-10-09T17:43:20.336+03:00,GET,https://s.pinimg.com/webapp/js/pjs-locale-en_US-lite-c0c7aca3faad3000a64d.mjs,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,589,4324,,,-1,0,-1,45,-1,-1,0,212.55.188.219,,46,,
11,,2019-10-09T17:43:20.340+03:00,GET,https://s.pinimg.com/webapp/js/pjs-vendors~entryChunk-amp-extension~entryChunk-amp-iframe~entryChunk-analytics~entryChunk-business~entr~a548fe00-4637fe3f20d68b34e623.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,40613,,,-1,21,-1,48,-1,-1,0,212.55.188.219,,70,,
12,,2019-10-09T17:43:20.346+03:00,GET,https://s.pinimg.com/webapp/js/pjs-vendors~vendor-react-8f0e978bf2812955c0b3.mjs,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,38086,,,66,47,0,94,43,0,1,212.55.188.219,,209,,
