,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:40:34.008+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,864,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48560,,,287,0,30,-1,0,4961,0,104.24.18.117,,5279,
1,,2019-10-09T18:40:38.478+03:00,GET,http://cas.criteo.com/delivery/ajs.php?zoneid=287315&nodis=1&cb=38300441334&exclude=undefined&charset=windows-1252&loc=http%3A//shutupandtakemymoney.com/adzonec728.html,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,text/javascript;charset=utf-8,,,748,1065,,,0,0,25,-1,0,133,26,178.250.0.145,,186,value
2,,2019-10-09T18:40:38.532+03:00,GET,https://load.sumo.com/1.b673d503a425732f6368.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,1060,,,43,-1,-1,-1,0,109,-1,89.187.169.79,,153,
3,,2019-10-09T18:40:39.117+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,818,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,3,0,35,-1,0,3193,0,104.24.18.117,,3233,
4,,2019-10-09T18:40:39.120+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/wp-emoji-release.min.js?ver=f93c06892291928e5e70789d6414b9c7,HTTP/1.1,841,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,4382,,,0,0,33,-1,0,28,0,104.24.18.117,,63,value
5,,2019-10-09T18:40:39.120+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.5.4,HTTP/1.1,860,0,,200,OK,HTTP/1.1,0,text/css,,,391,1055,,,0,0,33,-1,0,28,0,104.24.18.117,,62,value
6,,2019-10-09T18:40:39.316+03:00,GET,https://load.sumo.com/76.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,44057,,,71,-1,-1,-1,0,116,-1,89.187.169.79,,187,
7,,2019-10-09T18:40:39.319+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,application/javascript,,,555,18855,,,26,-1,-1,-1,0,116,-1,13.224.132.26,,143,
8,,2019-10-09T18:40:39.460+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/wiener-dog-pool-float-dachschund.jpg,HTTP/1.1,865,0,,200,OK,HTTP/1.1,0,image/jpeg,,,365,130941,,,130,-1,-1,-1,0,54,-1,104.24.18.117,,185,
9,,2019-10-09T18:40:39.461+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/tirecockz-penis-valve-stem.jpg,HTTP/1.1,859,0,,200,OK,HTTP/1.1,0,image/jpeg,,,389,66962,,,103,-1,-1,-1,0,105,-1,104.24.18.117,,208,
10,,2019-10-09T18:40:39.461+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/giant-putting-green.jpg,HTTP/1.1,852,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,163766,,,4451,-1,-1,-1,0,368,-1,104.24.18.117,,4820,
11,,2019-10-09T18:40:39.511+03:00,GET,https://load.sumo.com/78.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,101903,,,129,-1,-1,-1,0,113,-1,89.187.169.79,,243,
12,,2019-10-09T18:40:39.512+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/jon-snow-kanye-west-fresh-prince-air-fresheners.jpg,HTTP/1.1,880,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,95503,,,2455,0,39,-1,0,380,0,104.24.18.117,,2875,
13,,2019-10-09T18:40:39.518+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,506,3851,,,0,-1,-1,-1,0,89,-1,13.224.132.26,,90,
14,,2019-10-09T18:40:39.712+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/starwars-at-at-tape-dispenser.jpg,HTTP/1.1,862,0,,200,OK,HTTP/1.1,0,image/jpeg,,,359,69758,,,47,-1,-1,-1,0,34,-1,104.24.18.117,,82,
15,,2019-10-09T18:40:39.718+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/chicken-swing-suatmm.jpg,HTTP/1.1,853,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,130075,,,3442,-1,-1,-1,0,356,-1,104.24.18.117,,3798,
16,,2019-10-09T18:40:39.831+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/baby-mop-onesie-baby-clothing.jpg,HTTP/1.1,862,0,,200,OK,HTTP/1.1,0,image/jpeg,,,365,131598,,,26,-1,-1,-1,0,42,-1,104.24.18.117,,69,
17,,2019-10-09T18:40:39.937+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/xbox-controller-coffee-table.jpg,HTTP/1.1,861,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,46393,,,833,-1,-1,-1,0,346,-1,104.24.18.117,,1179,
18,,2019-10-09T18:40:39.980+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,29,-1,-1,-1,0,95,-1,216.58.206.14,,124,
