,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T15:58:52.667+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4809,,,3242,2,83,325,0,3283,7,104.18.72.2,,3703,,
1,,2019-10-09T15:58:53.028+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,538,2311,,,-1,1,-1,95,-1,-1,0,104.18.72.2,,98,value,
2,,2019-10-09T15:58:53.130+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,0,-1,113,-1,-1,4,104.18.72.2,,117,,
3,,2019-10-09T15:58:53.289+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,0,-1,101,-1,-1,70,104.18.72.2,,172,value,
4,,2019-10-09T15:58:55.706+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,2643,0,0,115,0,2675,113,172.217.18.98,,2906,,
5,,2019-10-09T15:58:55.864+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,2657,0,32,97,0,2689,34,216.58.206.14,,2855,,
6,,2019-10-09T15:58:55.993+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,0,-1,114,-1,-1,122,172.217.18.98,,237,,
7,,2019-10-09T15:58:56.078+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1029744974&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=1085763160&gjid=1910835992&cid=1166967006.1570625936&tid=UA-26211653-1&_gid=1609258750.1570625936&_r=1&z=2115822001,HTTP/1.1,716,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1166967006.1570625936&jid=1085763160&_gid=1609258750.1570625936&gjid=1910835992&_v=j79&z=2115822001,647,420,,,-1,0,-1,130,-1,-1,0,216.58.206.14,,132,value,
8,,2019-10-09T15:58:56.242+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,0,-1,107,-1,-1,54,172.217.18.98,,161,,
9,,2019-10-09T15:58:57.204+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1166967006.1570625936&jid=1085763160&_gid=1609258750.1570625936&gjid=1910835992&_v=j79&z=2115822001,HTTP/1.1,539,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,913,1,44,99,0,941,0,74.125.140.154,,1087,value,
10,,2019-10-09T15:58:57.910+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,1878,1,1,100,0,1905,0,216.58.205.226,,2009,value,
11,,2019-10-09T15:58:59.289+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20228,,,6076,1,39,224,0,6103,59,172.217.18.14,,6428,,
12,,2019-10-09T15:59:00.547+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,4515,0,1,97,0,4551,0,216.58.205.226,,4652,value,
13,,2019-10-09T15:59:00.949+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,4890,0,0,95,0,4918,4,216.58.205.226,,5019,,
14,,2019-10-09T15:59:00.951+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570625936&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570625935989&bpp=31&bdt=2979&fdt=471&idt=471&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=2099968340770&frm=20&pv=2&ga_vid=1166967006.1570625936&ga_sid=1570625936&ga_hid=1029744974&ga_fc=0&iag=0&icsg=170&dssz=9&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=229739147%2C229739149&oid=3&pvsid=1191249333427858&pem=947&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=1.3eoyw3afyi&xpc=hEEG0ZW4s2&p=https%3A//pokemonshowdown.com&dtd=512,HTTP/1.1,1411,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19837,,,377,1,0,318,0,410,59,216.58.205.226,,789,value,
15,,2019-10-09T15:59:00.954+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,0,-1,94,-1,-1,69,172.217.18.14,,163,,
