,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:34:33.076+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,2,127,1886,79,1931,13,0,188.166.32.155,,2155,,
1,,2019-10-09T17:34:33.267+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,2,115,-1,-1,-1,1,-1,188.166.32.155,,120,,
2,,2019-10-09T17:34:33.401+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,2,102,-1,-1,-1,0,-1,188.166.32.155,,105,,
3,,2019-10-09T17:34:33.512+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,0,102,-1,-1,-1,1,-1,188.166.32.155,,105,,
4,,2019-10-09T17:34:33.635+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,2,107,-1,-1,-1,0,-1,188.166.32.155,,110,,
5,,2019-10-09T17:34:33.647+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,7,98,278,0,318,2,0,188.166.32.155,,427,,
6,,2019-10-09T17:34:35.683+03:00,GET,https://code.jquery.com/jquery-1.4.4.min.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,484,27078,,,1,550,1972,39,1999,61,0,209.197.3.24,,2651,,
7,,2019-10-09T17:34:36.321+03:00,GET,https://www.pointerpointer.com/js/Grid.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,445,,,0,112,-1,-1,-1,0,-1,188.166.32.155,,114,,
8,,2019-10-09T17:34:36.324+03:00,GET,https://www.pointerpointer.com/js/rhill-voronoi-core.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,9539,,,0,128,-1,-1,-1,0,-1,188.166.32.155,,129,,
9,,2019-10-09T17:34:36.324+03:00,GET,https://www.pointerpointer.com/js/VoronoiGrid.js,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,769,,,3,120,285,0,326,0,0,188.166.32.155,,450,,
10,,2019-10-09T17:34:36.444+03:00,GET,https://www.pointerpointer.com/js/colors.js,HTTP/1.1,367,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,2489,,,0,103,-1,-1,-1,0,-1,188.166.32.155,,104,,
11,,2019-10-09T17:34:36.456+03:00,GET,https://www.pointerpointer.com/js/Point.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1423,,,0,97,-1,-1,-1,0,-1,188.166.32.155,,98,,
12,,2019-10-09T17:34:36.459+03:00,GET,https://www.pointerpointer.com/js/Flasher.js,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1611,,,0,94,-1,-1,-1,0,-1,188.166.32.155,,95,,
13,,2019-10-09T17:34:36.553+03:00,GET,https://www.pointerpointer.com/js/Animator.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1505,,,0,111,-1,-1,-1,0,-1,188.166.32.155,,112,,
14,,2019-10-09T17:34:36.560+03:00,GET,https://connect.facebook.net/en_GB/all.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1779,,,1,102,2835,28,2865,2,0,157.240.1.23,,3001,,
15,,2019-10-09T17:34:36.759+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,0,133,3035,27,3066,54,0,93.184.220.66,,3282,,
16,,2019-10-09T17:34:36.869+03:00,GET,https://connect.facebook.net/en_GB/all.js?hash=4655bebffdfdcdbc50d94b4d546b1421&ua=modern_es6,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56394,,,0,109,159,0,190,174,0,157.240.1.23,,474,value,
17,,2019-10-09T17:34:36.976+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.pointerpointer.com,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,0,111,-1,-1,-1,5,-1,93.184.220.66,,117,value,
18,,2019-10-09T17:34:38.473+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,0,219,1297,0,1328,0,0,104.244.42.72,,1550,,
19,,2019-10-09T17:34:39.804+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,89,6072,28,6111,44,0,172.217.23.168,,6274,,
