,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T19:03:39.663+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,0,1977,303,1,1936,314,2,165.227.192.63,,2600,
1,,2019-10-09T19:03:40.296+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,-1,-1,10,-1,-1,178,0,165.227.192.63,,190,
2,,2019-10-09T19:03:40.448+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,0,288,3,0,257,217,0,165.227.192.63,,511,
3,,2019-10-09T19:03:40.465+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,0,290,292,0,261,299,1,165.227.192.63,,883,
4,,2019-10-09T19:03:40.465+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,0,290,37,0,260,299,0,165.227.192.63,,628,
5,,2019-10-09T19:03:40.489+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,0,311,131,0,276,295,0,165.227.192.63,,739,
6,,2019-10-09T19:03:43.381+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,3114,148,0,3070,297,1,104.131.95.55,,3561,
7,,2019-10-09T19:03:43.382+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,3115,141,0,3069,306,0,104.131.95.55,,3565,
8,,2019-10-09T19:03:43.384+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,3116,133,0,3068,315,0,104.131.95.55,,3565,
9,,2019-10-09T19:03:44.032+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,0,344,378,0,315,302,0,104.131.95.55,,1026,
