,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:18:16.198+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,125,48,0,5,304,-1,113,52.216.160.26,,597,
1,,2019-10-11T19:18:16.743+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,5,27,0,1,290,-1,3,52.216.160.26,,328,
2,,2019-10-11T19:18:16.744+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,126,45,0,3,287,-1,2,52.216.160.26,,465,
3,,2019-10-11T19:18:16.745+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,2,38,0,1,301,-1,1,52.216.160.26,,344,
4,,2019-10-11T19:18:16.747+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,120,37,0,1,293,-1,0,52.216.160.26,,452,
5,,2019-10-11T19:18:16.751+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,333,41,0,3,261,-1,0,52.216.160.26,,639,
6,,2019-10-11T19:18:16.825+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,1,-1,-1,1,178,-1,-1,52.216.160.26,,181,
7,,2019-10-11T19:18:17.014+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,7,-1,-1,1,194,-1,-1,52.216.160.26,,202,
8,,2019-10-11T19:18:17.095+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,160,-1,-1,0,170,-1,-1,52.216.160.26,,331,
9,,2019-10-11T19:18:17.102+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,392,-1,-1,0,173,-1,-1,52.216.160.26,,566,
10,,2019-10-11T19:18:17.203+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,12,-1,-1,0,172,-1,-1,52.216.160.26,,185,
11,,2019-10-11T19:18:17.212+03:00,GET,http://weavesilk.com/js/noise.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,8599,,,1,-1,-1,0,178,-1,-1,52.216.160.26,,180,
12,,2019-10-11T19:18:17.235+03:00,GET,http://weavesilk.com/js/detect.js,HTTP/1.1,316,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,2930,,,0,-1,-1,0,177,-1,-1,52.216.160.26,,178,
