,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:04:11.660+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,1,3,105,2981,0,3018,7,45.63.119.229,,3136,
1,,2019-10-12T08:04:11.805+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,-1,1,182,-1,-1,-1,321,45.63.119.229,,504,
2,,2019-10-12T08:04:11.989+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,0,1,175,147,0,179,544,45.63.119.229,,900,
3,,2019-10-12T08:04:13.001+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,0,1,96,610,0,652,2,172.217.23.138,,752,value
4,,2019-10-12T08:04:13.016+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,33,1,99,1152,0,1173,0,172.217.23.138,,1307,value
5,,2019-10-12T08:04:15.745+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,0,1,99,2380,0,2398,0,165.22.204.53,,2500,
6,,2019-10-12T08:04:15.850+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,355,,,-1,0,96,-1,-1,-1,0,165.22.204.53,,98,
7,,2019-10-12T08:04:16.216+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,0,1,91,2734,0,2762,110,172.217.22.3,,2966,
8,,2019-10-12T08:04:16.268+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,22992,,,0,1,108,111,0,139,111,172.217.22.3,,361,
9,,2019-10-12T08:04:16.268+03:00,GET,https://fonts.gstatic.com/s/pacifico/v16/FwZY7-Qmy14u9lezJ-6H6Mk.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,30928,,,0,1,117,111,0,140,110,172.217.22.3,,368,
10,,2019-10-12T08:04:16.394+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3MzI3NjkwMiwiaWF0IjoxNTcwODU3NzAyLCJpc3MiOiJrb3NtaSIsImp0aSI6ImQ5YmFmZDc2LTNjZjAtNDA5NS04MzRjLTYyMjUzNTUyYTg5NCIsIm5iZiI6MTU3MDg1NzcwMSwic3ViIjoiMThlMjc3ZjUtYjYzMi00Zjg2LTlhZTgtNDQ3YjZiZWVlMzNhIiwidHlwIjoiYWNjZXNzIn0.SwgHj1rh62900RDLB9p9cQldc7rYhNN2A36zS9JYX_1iUrIgnKEb7cpHsBn8guBxuyQ3r1XStuUp1lliIhmCLg&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,0,1,94,356,0,393,0,165.22.204.53,,490,value
11,,2019-10-12T08:04:16.513+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,-1,0,98,-1,-1,-1,0,45.63.119.229,,100,
12,,2019-10-12T08:04:16.641+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,0,112,-1,-1,-1,0,45.63.119.229,,113,
13,,2019-10-12T08:04:16.641+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,0,112,-1,-1,-1,0,45.63.119.229,,113,
14,,2019-10-12T08:04:16.918+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,354,,,-1,0,107,-1,-1,-1,0,165.22.204.53,,109,
