,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T08:09:47.939+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,3598,3,0,112,107,2,3556,188.166.32.155,,3825,,
1,,2019-10-12T08:09:48.078+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,-1,0,-1,-1,100,1,-1,188.166.32.155,,102,,
2,,2019-10-12T08:09:48.184+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,-1,0,-1,-1,94,0,-1,188.166.32.155,,95,,
3,,2019-10-12T08:09:48.295+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,-1,0,-1,-1,92,0,-1,188.166.32.155,,93,,
4,,2019-10-12T08:09:48.395+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,-1,0,-1,-1,92,0,-1,188.166.32.155,,93,,
5,,2019-10-12T08:09:48.398+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,273,0,0,0,91,1,238,188.166.32.155,,366,,
6,,2019-10-12T08:09:50.323+03:00,GET,https://connect.facebook.net/en_GB/all.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1778,,,1887,3,0,29,87,1,1854,157.240.1.23,,2008,,
7,,2019-10-12T08:09:50.645+03:00,GET,https://connect.facebook.net/en_GB/all.js?hash=052b20176c28c48fe5c72dea3c141180&ua=modern_es6,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56410,,,214,114,0,0,96,1,194,157.240.1.23,,427,value,
8,,2019-10-12T08:09:51.458+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,3029,42,0,23,102,1,2989,93.184.220.66,,3198,,
9,,2019-10-12T08:09:51.653+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.pointerpointer.com,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,2,-1,-1,90,0,-1,93.184.220.66,,94,value,
