,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T14:58:08.061+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,0,11,1567,149,2,1522,661,217.160.0.94,,2393,
1,,2019-10-12T14:58:08.782+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,-1,7,-1,-1,1,-1,147,217.160.0.94,,155,
2,,2019-10-12T14:58:08.945+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,-1,1,-1,-1,1,-1,151,217.160.0.94,,154,
3,,2019-10-12T14:58:09.116+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,-1,0,-1,-1,1,-1,130,217.160.0.94,,132,
4,,2019-10-12T14:58:09.148+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,0,0,353,0,3,325,121,217.160.0.94,,479,
5,,2019-10-12T14:58:09.179+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,0,0,380,0,2,345,213,217.160.0.94,,596,
6,,2019-10-12T14:58:09.179+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,0,0,386,0,1,352,130,217.160.0.94,,519,
7,,2019-10-12T14:58:09.179+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,0,0,390,0,1,356,144,217.160.0.94,,537,
8,,2019-10-12T14:58:10.569+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,32954,,,0,75,1756,28,0,1725,119,172.217.22.106,,1981,
9,,2019-10-12T14:58:14.559+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,0,1,3719,25,1,3689,106,31.13.92.14,,3854,
10,,2019-10-12T14:58:14.918+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=9d51bcff902739d3ac30731e91cb5f94&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,56409,,,0,100,236,0,0,205,114,31.13.92.14,,451,value
11,,2019-10-12T14:58:15.311+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17168,,,0,31,4376,26,0,4349,95,216.58.205.232,,4530,
12,,2019-10-12T14:58:15.466+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1546419917&utmhn=www.whatshouldireadnext.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=What%20Should%20I%20Read%20Next%3F%20Book%20recommendations%20from%20readers%20like%20you&utmhid=1963351984&utmr=-&utmp=%2F&utmht=1570881495458&utmac=UA-1909811-1&utmcc=__utma%3D146589170.1676993629.1570881495.1570881495.1570881495.1%3B%2B__utmz%3D146589170.1570881495.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1340683687&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,956,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,-1,0,-1,104,216.58.205.232,,106,value
