,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:35:23.275+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4848,,,0,1449,23,86,2,280,1408,104.18.73.2,,1843,
1,,2019-10-12T15:35:23.625+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,537,2311,,,-1,-1,3,-1,1,106,-1,104.18.73.2,,112,value
2,,2019-10-12T15:35:23.742+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,-1,4,-1,2,107,-1,104.18.73.2,,114,
3,,2019-10-12T15:35:23.906+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,-1,74,-1,0,101,-1,104.18.73.2,,176,value
4,,2019-10-12T15:35:26.063+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,2300,27,1,0,97,2265,172.217.22.110,,2427,
5,,2019-10-12T15:35:26.188+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,2529,91,33,0,111,2508,172.217.18.2,,2767,
6,,2019-10-12T15:35:26.220+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1566453188&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=935018325&gjid=1351010420&cid=1902423090.1570883726&tid=UA-26211653-1&_gid=1320954036.1570883726&_r=1&z=950706958,HTTP/1.1,714,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1902423090.1570883726&jid=935018325&_gid=1320954036.1570883726&gjid=1351010420&_v=j79&z=950706958,645,418,,,-1,-1,0,-1,0,104,-1,172.217.22.110,,105,value
7,,2019-10-12T15:35:26.435+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,106,-1,0,117,-1,172.217.18.2,,224,
8,,2019-10-12T15:35:26.667+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,45,-1,0,114,-1,172.217.18.2,,160,
9,,2019-10-12T15:35:29.642+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,3217,0,1,1,100,3184,172.217.18.2,,3321,value
10,,2019-10-12T15:35:31.645+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,5204,0,0,1,100,5173,172.217.21.194,,5307,value
11,,2019-10-12T15:35:31.770+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,0,5277,3,27,0,93,5247,172.217.21.194,,5402,
