,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T16:05:13.923+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4886,,,2,97,0,1668,7,295,1624,104.18.73.2,,2071,
1,,2019-10-12T16:05:14.256+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,538,2311,,,1,-1,-1,-1,2,115,-1,104.18.73.2,,120,value
2,,2019-10-12T16:05:14.385+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,3,-1,-1,-1,3,122,-1,104.18.73.2,,128,
3,,2019-10-12T16:05:14.526+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,0,-1,-1,-1,78,118,-1,104.18.73.2,,197,value
4,,2019-10-12T16:05:15.847+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20147,,,0,29,0,1406,52,233,1375,172.217.21.238,,1722,
5,,2019-10-12T16:05:16.032+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,34,0,1738,74,109,1705,172.217.22.2,,1957,
6,,2019-10-12T16:05:16.135+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,561,41451,,,0,-1,-1,-1,71,84,-1,172.217.21.238,,156,
7,,2019-10-12T16:05:16.233+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,0,0,134,93,81,114,172.217.21.238,,311,
8,,2019-10-12T16:05:16.233+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393512,,,0,0,0,138,346,89,118,172.217.21.238,,575,
9,,2019-10-12T16:05:16.289+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,-1,-1,-1,130,108,-1,172.217.22.2,,239,
10,,2019-10-12T16:05:17.588+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1,1,0,3158,32,93,3135,172.217.22.110,,3286,
11,,2019-10-12T16:05:18.487+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,31,0,2152,0,90,2121,172.217.21.194,,2276,value
12,,2019-10-12T16:05:19.889+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29055,,,0,67,0,3096,58,132,3055,172.217.22.2,,3355,value
13,,2019-10-12T16:05:20.409+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29991,,,0,-1,-1,-1,19,91,-1,172.217.21.238,,111,
14,,2019-10-12T16:05:20.558+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,0,0,0,3603,3,98,3572,172.217.21.194,,3706,
15,,2019-10-12T16:05:20.624+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570885516&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570885516276&bpp=25&bdt=2045&fdt=293&idt=293&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=3602754232486&frm=20&pv=2&ga_vid=912828463.1570885517&ga_sid=1570885517&ga_hid=60160124&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335%2C21064715&oid=3&pvsid=2821173308902392&pem=689&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=a!1&fsb=1&xpc=Of63f781hF&p=https%3A//pokemonshowdown.com&dtd=331,HTTP/1.1,1405,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19734,,,1,0,0,2179,57,288,2136,172.217.21.194,,2527,value
16,,2019-10-12T16:05:20.629+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=9252930937&adk=3933521251&adf=2668242184&w=336&lmt=1570885516&guci=2.2.0.0.2.2.0.0&format=336x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&wgl=1&dt=1570885516302&bpp=10&bdt=2070&fdt=414&idt=414&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280&correlator=3602754232486&frm=20&pv=1&ga_vid=912828463.1570885517&ga_sid=1570885517&ga_hid=60160124&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=342&ady=1076&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335%2C21064715&oid=3&pvsid=2821173308902392&pem=689&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeEbr%7C&abl=CS&pfx=0&fu=16&bc=31&ifi=2&uci=a!2&fsb=1&xpc=Ab8MTkJja0&p=https%3A//pokemonshowdown.com&dtd=451,HTTP/1.1,1379,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,1,0,0,3829,0,321,3789,172.217.21.194,,4153,value
