,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T16:06:32.218+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,6,278,247,-1,43,0,18,45.55.57.141,,593,,
1,,2019-10-12T16:06:32.880+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,4,184,-1,-1,-1,-1,0,45.55.57.141,,189,,
2,,2019-10-12T16:06:32.886+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,1,266,2,-1,33,0,3,45.55.57.141,,306,,
3,,2019-10-12T16:06:32.886+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,537,28219,,,0,157,0,-1,35,0,73,172.217.22.2,,267,,
4,,2019-10-12T16:06:33.104+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,0,176,-1,-1,-1,-1,0,45.55.57.141,,177,,
5,,2019-10-12T16:06:36.358+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2,136,0,3390,3424,0,2,172.217.18.4,,3565,,
6,,2019-10-12T16:06:36.360+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,1,113,0,3084,3113,0,20,172.217.21.194,,3249,,
7,,2019-10-12T16:06:38.489+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,1,110,0,5239,5269,0,0,172.217.21.194,,5382,value,
8,,2019-10-12T16:06:38.818+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,101,33,5483,5517,0,35,216.58.206.14,,5687,,
9,,2019-10-12T16:06:38.986+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1797923505&utmhn=www.shadyurl.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=ShadyURL%20-%20Don%27t%20just%20shorten%20your%20URL%2C%20make%20it%20suspicious%20and%20frightening.&utmhid=2014874975&utmr=-&utmp=%2F&utmht=1570885598968&utmac=UA-11486297-4&utmcc=__utma%3D157738104.1853865790.1570885599.1570885599.1570885599.1%3B%2B__utmz%3D157738104.1570885599.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1243654846&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,921,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,103,-1,-1,-1,-1,0,216.58.206.14,,104,value,
10,,2019-10-12T16:06:40.105+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,131,0,6856,6886,0,160,172.217.22.2,,7179,,
11,,2019-10-12T16:06:40.395+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,116,0,107,152,0,160,172.217.22.2,,430,,
12,,2019-10-12T16:06:40.740+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-4024816092700504&output=html&h=90&slotname=9259435428&adk=3067955866&adf=4213546633&w=728&lmt=1570885600&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fwww.shadyurl.com%2F&flash=0&wgl=1&adsid=NT&dt=1570885593163&bpp=66&bdt=314&fdt=7530&idt=7530&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&correlator=8093330760001&frm=20&pv=2&ga_vid=1853865790.1570885599&ga_sid=1570885599&ga_hid=2014874975&ga_fc=1&iag=0&icsg=648&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=40&ady=481&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064714&oid=3&pvsid=1856423268752972&pem=833&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=16&bc=23&ifi=1&uci=1.3kfkkvjdqkyx&xpc=sNGNs7n8R8&p=http%3A//www.shadyurl.com&dtd=7562,HTTP/1.1,1335,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,12914,,,0,326,-1,-1,-1,-1,19,172.217.21.194,,347,value,
13,,2019-10-12T16:06:43.656+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,125,0,7094,7128,0,164,172.217.22.35,,7419,,
14,,2019-10-12T16:06:43.931+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,103,1,10677,10717,0,0,172.217.21.194,,10823,value,
15,,2019-10-12T16:06:43.989+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Le4BEYUAAAAAF2mu0Ng8c7Xo61rHZjTy5-gc3dW&co=aHR0cDovL3d3dy5zaGFkeXVybC5jb206ODA.&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=invisible&cb=8mbsxz32ui1z,HTTP/1.1,665,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9423,,,0,122,-1,-1,-1,-1,27,172.217.18.4,,151,value,
16,,2019-10-12T16:06:44.129+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,1,85,-1,-1,-1,-1,62,172.217.22.35,,150,,
17,,2019-10-12T16:06:44.285+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,572,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,111,-1,-1,-1,-1,68,172.217.22.35,,181,,
18,,2019-10-12T16:06:44.516+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,0,90,-1,-1,-1,-1,15,172.217.18.4,,106,,
19,,2019-10-12T16:06:44.565+03:00,GET,https://www.gstatic.com/recaptcha/api2/logo_48.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,458,2228,,,0,93,-1,-1,-1,-1,1,172.217.22.35,,95,,
20,,2019-10-12T16:06:44.666+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,119,-1,-1,-1,-1,1,172.217.18.4,,121,value,
21,,2019-10-12T16:06:44.779+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Le4BEYUAAAAAF2mu0Ng8c7Xo61rHZjTy5-gc3dW&cb=9b09s3oqqvlk,HTTP/1.1,605,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1127,,,1,112,0,114,148,0,1,172.217.18.4,,263,value,
22,,2019-10-12T16:06:44.914+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,97,-1,-1,-1,-1,55,172.217.22.35,,153,,
23,,2019-10-12T16:06:45.247+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29055,,,1,147,0,4464,4497,0,59,172.217.22.2,,4706,value,
24,,2019-10-12T16:06:45.705+03:00,POST,https://www.google.com/recaptcha/api2/reload?k=6Le4BEYUAAAAAF2mu0Ng8c7Xo61rHZjTy5-gc3dW,HTTP/1.1,631,4254,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,805,9900,,,0,168,-1,-1,-1,-1,43,172.217.18.4,,212,value,
25,,2019-10-12T16:06:45.934+03:00,GET,https://www.gstatic.com/recaptcha/api2/refresh_2x.png,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,image/png,,,457,600,,,0,103,-1,-1,-1,-1,0,172.217.22.35,,104,,
26,,2019-10-12T16:06:45.935+03:00,GET,https://www.gstatic.com/recaptcha/api2/audio_2x.png,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/png,,,458,530,,,0,102,0,134,158,0,0,172.217.22.35,,261,,
27,,2019-10-12T16:06:45.995+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,693,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,0,105,-1,-1,-1,-1,2,172.217.18.4,,108,,
28,,2019-10-12T16:06:46.043+03:00,GET,https://www.gstatic.com/recaptcha/api2/image_2x.png,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/png,,,458,600,,,0,86,-1,-1,-1,-1,0,172.217.22.35,,87,,
29,,2019-10-12T16:06:46.043+03:00,GET,https://www.gstatic.com/recaptcha/api2/info_2x.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,458,665,,,0,86,-1,-1,-1,-1,0,172.217.22.35,,87,,
30,,2019-10-12T16:06:46.135+03:00,GET,https://www.gstatic.com/recaptcha/api2/undo_2x.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,458,581,,,0,92,-1,-1,-1,-1,0,172.217.22.35,,93,,
31,,2019-10-12T16:06:46.506+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1247,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,14391,,,1,96,35,5330,5365,0,31,172.217.16.129,,5529,,
32,,2019-10-12T16:06:46.506+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1233,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,11455,,,1,87,36,5348,5383,0,10,172.217.16.129,,5519,,
