,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T16:10:57.984+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,35,0,30,3,135,-1,471,52.216.243.123,,677,,
1,,2019-10-12T16:10:58.693+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,0,-1,-1,2,-1,-1,182,52.216.243.123,,185,,
2,,2019-10-12T16:10:58.693+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,5,0,32,2,3,-1,337,52.216.243.123,,381,,
3,,2019-10-12T16:10:58.694+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,136,0,32,2,3,-1,342,52.216.243.123,,517,,
4,,2019-10-12T16:10:58.695+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,1,0,31,2,2,-1,324,52.216.243.123,,362,,
5,,2019-10-12T16:10:58.697+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,362,0,32,1,0,-1,338,52.216.243.123,,735,,
6,,2019-10-12T16:10:58.699+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,135,0,31,1,0,-1,338,52.216.243.123,,506,,
7,,2019-10-12T16:10:58.871+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,23,-1,-1,0,-1,-1,326,52.216.243.123,,351,,
8,,2019-10-12T16:10:59.056+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,177,-1,-1,0,-1,-1,186,52.216.243.123,,364,,
9,,2019-10-12T16:10:59.102+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,417,-1,-1,0,-1,-1,202,52.216.243.123,,619,,
10,,2019-10-12T16:10:59.203+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,15,-1,-1,0,-1,-1,195,52.216.243.123,,211,,
