,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:44:20.703+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4096,,,104,2,313,1836,22,1874,0,104.18.72.2,,2317,
1,,2019-10-08T16:44:21.079+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,568,2040,,,-1,1,110,-1,2,-1,-1,104.18.72.2,,114,value
2,,2019-10-08T16:44:21.191+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,0,95,-1,5,-1,-1,104.18.72.2,,101,
3,,2019-10-08T16:44:21.313+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,0,110,-1,86,-1,-1,104.18.72.2,,197,value
4,,2019-10-08T16:44:23.357+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,0,105,2114,27,2148,0,216.58.206.14,,2283,
5,,2019-10-08T16:44:23.517+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=614748992&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=193736183&gjid=1853395842&cid=1593676139.1570542263&tid=UA-26211653-1&_gid=1515578687.1570542263&_r=1&z=341616919,HTTP/1.1,713,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1593676139.1570542263&jid=193736183&_gid=1515578687.1570542263&gjid=1853395842&_v=j79&z=341616919,645,418,,,-1,0,99,-1,0,-1,-1,216.58.206.14,,101,value
6,,2019-10-08T16:44:25.265+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,0,0,123,4134,92,4185,0,172.217.16.194,,4403,
7,,2019-10-08T16:44:25.559+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,0,111,-1,150,-1,-1,172.217.16.194,,262,
8,,2019-10-08T16:44:28.605+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,1,111,2671,3,2699,0,172.217.16.194,,2816,
9,,2019-10-08T16:44:28.625+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570542265&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570542265534&bpp=31&bdt=4492&fdt=319&idt=319&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=7625862544672&frm=20&pv=2&ga_vid=1593676139.1570542263&ga_sid=1570542266&ga_hid=614748992&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=3047863896909291&pem=186&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=a!1&xpc=yCBBQFCYOn&p=https%3A//pokemonshowdown.com&dtd=348,HTTP/1.1,1390,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19403,,,0,1,297,2985,48,3032,0,172.217.16.194,,3381,value
