,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:22:37.970+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4096,,,0,23,2100,2,529,144,2059,104.18.72.2,,2800,,
1,,2019-10-08T18:22:38.556+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,538,2311,,,-1,2,-1,1,151,-1,-1,104.18.72.2,,156,value,
2,,2019-10-08T18:22:38.725+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,7,-1,1,266,-1,-1,104.18.72.2,,275,,
3,,2019-10-08T18:22:39.019+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,0,229,456,1,296,0,314,104.18.72.2,,983,value,
4,,2019-10-08T18:22:40.783+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,36,2037,0,175,1,1996,172.217.22.110,,2251,,
5,,2019-10-08T18:22:41.022+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=900934048&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=173526792&gjid=1265211625&cid=1473029423.1570548161&tid=UA-26211653-1&_gid=842238633.1570548161&_r=1&z=975073214,HTTP/1.1,712,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1473029423.1570548161&jid=173526792&_gid=842238633.1570548161&gjid=1265211625&_v=j79&z=975073214,644,417,,,-1,0,-1,0,144,-1,-1,172.217.22.110,,145,value,
6,,2019-10-08T18:22:44.238+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,22905,,,0,50,5449,0,222,36,5252,172.217.21.238,,5759,,
7,,2019-10-08T18:22:44.515+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,172,-1,4,197,-1,-1,172.217.21.238,,374,,
8,,2019-10-08T18:22:44.731+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflZdmLhS/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,78,243,1,318,0,210,172.217.21.238,,642,,
9,,2019-10-08T18:22:44.731+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393173,,,0,542,248,0,195,0,216,172.217.21.238,,987,,
10,,2019-10-08T18:22:45.203+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,0,100,6497,0,161,143,6460,172.217.22.2,,6904,,
