,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,466,HTTP/1.1,GET,,https://www.duolingo.com/,2246,,,text/html; charset=UTF-8,0,1007,HTTP/1.1,,200,OK,52.1.236.43,2019-10-09T19:57:04.133+03:00,4334,0,,1505,32,8,3,1193,2784
1,,,0,,390,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,61699,,,text/css,0,523,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:08.258+03:00,1970,0,,596,696,580,1,482,95
2,,,0,,376,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,292564,,,application/javascript,0,539,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:08.259+03:00,3644,0,,598,696,2069,1,474,278
3,,,0,,377,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,25480,,,application/javascript,0,538,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:08.279+03:00,1724,0,,617,694,183,1,508,226
4,,,0,,373,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,314477,,,application/javascript,0,538,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:08.290+03:00,3649,0,,629,696,2054,1,516,267
5,,,0,,702,HTTP/1.1,GET,value,https://www.duolingo.com/2017-06-30/config?_=1570640230933,1206,,,application/json; charset=UTF-8,0,679,HTTP/1.1,,200,OK,52.1.236.43,2019-10-09T19:57:10.940+03:00,172,-1,,-1,-1,0,0,-1,170
6,,,0,,449,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,232,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.008+03:00,170,-1,,-1,-1,0,0,-1,169
7,,,0,,447,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,1333,,,image/svg+xml,0,530,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.011+03:00,173,-1,,-1,-1,0,4,-1,168
8,,,0,,450,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,956,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.011+03:00,166,-1,,-1,-1,0,0,-1,165
9,,,0,,446,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,2184,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.016+03:00,170,-1,,-1,-1,0,0,-1,169
10,,,68,,797,HTTP/1.1,POST,,https://www.duolingo.com/2017-06-30/tracking-status,2,,,application/json; charset=UTF-8,0,1160,HTTP/1.1,,200,OK,52.1.236.43,2019-10-09T19:57:11.117+03:00,327,-1,,-1,-1,0,0,-1,325
11,,,0,,444,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,249,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.198+03:00,92,-1,,-1,-1,0,0,-1,91
12,,,0,,450,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,698,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.201+03:00,92,-1,,-1,-1,0,0,-1,91
13,,,0,,450,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,394,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.207+03:00,89,-1,,-1,-1,2,1,-1,85
14,,,0,,448,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,293,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.210+03:00,88,-1,,-1,-1,0,0,-1,87
15,,,0,,449,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,389,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.317+03:00,101,-1,,-1,-1,1,0,-1,99
16,,,0,,449,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,454,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.321+03:00,98,-1,,-1,-1,0,0,-1,97
17,,,0,,456,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,3190,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.329+03:00,96,-1,,-1,-1,7,0,-1,89
18,,,0,,450,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,463,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.335+03:00,90,-1,,-1,-1,0,0,-1,89
19,,,0,,451,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,618,,,image/svg+xml,0,529,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.380+03:00,457,0,,347,0,0,0,196,108
20,,,0,,447,HTTP/1.1,GET,,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,3419,,,image/svg+xml,0,530,HTTP/1.1,,200,OK,143.204.208.220,2019-10-09T19:57:11.402+03:00,478,0,,374,0,0,0,214,103
