,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:07:59.634+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,32,208,2504,3,0,2541,12,104.154.63.26,,2799,
1,,2019-10-08T16:07:59.894+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,193,-1,2,-1,-1,1,104.154.63.26,,196,
2,,2019-10-08T16:08:00.091+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,196,-1,1,-1,-1,0,104.154.63.26,,198,
3,,2019-10-08T16:08:00.248+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,197,327,1,0,357,0,104.154.63.26,,557,
4,,2019-10-08T16:08:01.248+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,0,114,1333,1,0,1363,2,216.58.207.42,,1482,value
5,,2019-10-08T16:08:01.248+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,1,118,1334,1,0,1364,0,216.58.207.42,,1487,value
6,,2019-10-08T16:08:01.248+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,0,114,1328,0,0,1361,2,216.58.207.42,,1479,value
7,,2019-10-08T16:08:02.060+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,33576,,,1,95,2137,0,0,2169,69,172.217.23.106,,2337,
8,,2019-10-08T16:08:02.260+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,101,-1,0,-1,-1,0,216.58.207.42,,102,value
9,,2019-10-08T16:08:03.163+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19947,,,1,116,881,0,0,916,55,216.58.207.72,,1089,value
10,,2019-10-08T16:08:05.424+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20724,,,26,103,3039,0,0,3067,41,172.217.16.131,,3240,
11,,2019-10-08T16:08:05.424+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20808,,,26,88,3034,1,0,3072,47,172.217.16.131,,3234,
12,,2019-10-08T16:08:05.424+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,25,92,3039,1,0,3075,45,172.217.16.131,,3239,
13,,2019-10-08T16:08:05.502+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,29,93,2090,0,0,2118,30,172.217.22.110,,2273,
14,,2019-10-08T16:08:05.661+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1685218987&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=1224252988&gjid=46975325&cid=221214809.1570540086&tid=UA-146934170-1&_gid=1015457249.1570540086&_r=1&gtm=2wg9p0M2XBJ29&z=1248725949,HTTP/1.1,704,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,98,-1,0,-1,-1,1,172.217.22.110,,100,value
