,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,465,HTTP/1.1,GET,,https://lizardpoint.com/,,22363,,,text/html; charset=UTF-8,0,316,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:33.621+03:00,2517,0,,1934,247,143,6,1884,185
1,,,0,,460,HTTP/1.1,GET,,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,,121200,,,text/css,0,190,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.003+03:00,493,-1,,-1,-1,318,0,-1,173
2,,,0,,431,HTTP/1.1,GET,,https://lizardpoint.com/shared/css/carousel.css,,2586,,,text/css,0,188,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.237+03:00,530,0,,344,0,3,2,294,179
3,,,0,,451,HTTP/1.1,GET,,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,,433,,,text/css,0,187,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.241+03:00,525,0,,348,0,5,1,298,169
4,,,0,,419,HTTP/1.1,GET,,https://lizardpoint.com/shared/js/registration.js?,,45240,,,application/javascript,0,203,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.243+03:00,798,0,,342,1,276,1,297,176
5,,,0,,473,HTTP/1.1,GET,,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,,85763,,,image/png,0,190,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.247+03:00,934,0,,357,0,402,1,306,172
6,,,0,,451,HTTP/1.1,GET,,https://lizardpoint.com/images/laptop500-2.jpg,,59575,,,image/jpeg,0,191,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.344+03:00,784,0,,305,0,305,2,268,170
7,,,0,,469,HTTP/1.1,POST,,https://lizardpoint.com/shared/php/get-session.php,,5,,,text/html; charset=UTF-8,0,252,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.711+03:00,173,-1,,-1,-1,1,2,-1,168
8,,,0,,443,HTTP/1.1,GET,,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,,37045,,,application/javascript,0,203,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:34.905+03:00,313,-1,,-1,-1,134,0,-1,177
9,,,0,,434,HTTP/1.1,GET,,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,,641,,,application/javascript,0,201,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:35.237+03:00,179,-1,,-1,-1,0,0,-1,178
10,,,0,,413,HTTP/1.1,GET,,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,,6663,,,text/css,0,662,HTTP/1.1,,200,OK,104.19.196.151,2019-10-06T17:23:35.309+03:00,1818,0,,1369,39,247,0,1326,160
11,,,0,,456,HTTP/1.1,GET,,https://lizardpoint.com/shared/images/stamps500.gif,,80528,,,image/gif,0,190,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:35.468+03:00,331,-1,,-1,-1,150,0,-1,180
12,,,0,,381,HTTP/1.1,GET,,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,,33951,,,text/javascript; charset=UTF-8,0,618,HTTP/1.1,,200,OK,172.217.16.202,2019-10-06T17:23:35.672+03:00,914,0,,719,27,79,0,669,87
13,,,0,,457,HTTP/1.1,GET,,https://lizardpoint.com/images/olderstudents1200.jpg,No response received,-1,,,,0,-1,unknown,,0,,209.95.52.192,2019-10-06T17:23:35.737+03:00,0,-1,,-1,-1,0,0,-1,0
14,,,0,,458,HTTP/1.1,GET,,https://lizardpoint.com/images/trivia-globe-qmark.gif,,9449,,,image/gif,0,189,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:35.823+03:00,172,-1,,-1,-1,4,0,-1,167
15,,,0,,453,HTTP/1.1,GET,,https://lizardpoint.com/images/globe-search2.gif,,11055,,,image/gif,0,190,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:36.006+03:00,173,-1,,-1,-1,5,0,-1,166
16,,,0,,463,HTTP/1.1,GET,,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,,54980,,,image/gif,0,190,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:36.073+03:00,747,0,,304,0,276,3,258,162
17,,,0,,457,HTTP/1.1,GET,,https://lizardpoint.com/images/olderstudents1200.jpg,,381692,,,image/jpeg,0,192,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:36.081+03:00,1299,0,,318,0,807,1,268,172
18,,,0,,546,HTTP/1.1,GET,,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,,18028,,,font/woff2,0,191,HTTP/1.1,,200,OK,209.95.52.192,2019-10-06T17:23:36.173+03:00,633,0,,321,0,124,1,271,184
19,,,0,,361,HTTP/1.1,GET,,https://www.google-analytics.com/analytics.js,,17803,,,text/javascript,0,540,HTTP/1.1,,200,OK,172.217.22.110,2019-10-06T17:23:36.322+03:00,699,0,,566,1,32,0,519,97
20,,,0,,501,HTTP/1.1,GET,value,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,,77160,,,application/octet-stream,0,674,HTTP/1.1,,200,OK,104.19.196.151,2019-10-06T17:23:36.355+03:00,732,0,,177,0,460,1,141,93
21,,,0,,724,HTTP/1.1,GET,value,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1516039688&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=783x600&je=0&_u=IEBAAEAB~&jid=1374940325&gjid=1822831821&cid=254411318.1570371816&tid=UA-11262935-5&_gid=1360837293.1570371816&_r=1&z=178943374,,418,,,text/html; charset=UTF-8,0,645,HTTP/1.1,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_gid=1360837293.1570371816&gjid=1822831821&_v=j79&z=178943374,302,Found,172.217.22.110,2019-10-06T17:23:36.502+03:00,100,-1,,-1,-1,0,0,-1,98
22,,,0,,533,HTTP/1.1,GET,value,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_gid=1360837293.1570371816&gjid=1822831821&_v=j79&z=178943374,,365,,,text/html; charset=UTF-8,0,673,HTTP/1.1,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_v=j79&z=178943374,302,Found,66.102.1.154,2019-10-06T17:23:37.218+03:00,700,0,,582,24,0,0,556,92
23,,,0,,488,HTTP/1.1,GET,value,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_v=j79&z=178943374,,0,,,text/html; charset=UTF-8,0,740,HTTP/1.1,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_v=j79&z=178943374&slf_rd=1&random=853159059,302,Found,172.217.18.4,2019-10-06T17:23:37.938+03:00,738,0,,611,0,5,1,568,119
24,,,0,,516,HTTP/1.1,GET,value,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=254411318.1570371816&jid=1374940325&_v=j79&z=178943374&slf_rd=1&random=853159059,,42,,,image/gif,0,547,HTTP/1.1,,200,OK,216.58.206.3,2019-10-06T17:23:38.985+03:00,1036,0,,880,29,1,0,852,123
