,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:08:48.001+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,52,0,10,7,74,258,-1,45.55.57.141,,403,,
1,,2019-10-09T18:08:48.457+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,-1,-1,1,5,-1,175,-1,45.55.57.141,,183,,
2,,2019-10-09T18:08:48.465+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,537,28215,,,37,0,58,1,0,163,-1,172.217.23.130,,261,,
3,,2019-10-09T18:08:48.465+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,33,0,1,1,4,269,-1,45.55.57.141,,310,,
4,,2019-10-09T18:08:48.693+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,-1,-1,0,0,-1,170,-1,45.55.57.141,,171,,
5,,2019-10-09T18:08:51.275+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,2462,0,169,2,0,128,2432,172.217.23.130,,2762,,
6,,2019-10-09T18:08:51.589+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,63,0,-1,116,-1,172.217.23.130,,180,,
7,,2019-10-09T18:08:53.708+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,4895,0,1,0,0,101,4865,172.217.18.162,,4999,value,
8,,2019-10-09T18:08:53.909+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,5406,0,0,0,0,101,5372,172.217.21.228,,5510,,
9,,2019-10-09T18:08:55.529+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,6715,0,1,0,0,111,6686,172.217.23.98,,6830,value,
10,,2019-10-09T18:08:55.985+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,1954,0,152,0,0,97,1923,172.217.22.67,,2205,,
11,,2019-10-09T18:08:57.283+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,8423,0,31,0,3,112,8395,216.58.206.14,,8572,,
12,,2019-10-09T18:08:57.283+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,3399,0,3,1,0,107,3366,172.217.18.162,,3511,,
