,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:16:05.917+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,2,625,96,3192,13,0,3232,217.160.0.94,,3970,
1,,2019-10-09T18:16:06.605+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,2,151,-1,-1,6,-1,-1,217.160.0.94,,160,
2,,2019-10-09T18:16:06.779+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,1,127,-1,-1,1,-1,-1,217.160.0.94,,131,
3,,2019-10-09T18:16:06.923+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,1,130,-1,-1,0,-1,-1,217.160.0.94,,133,
4,,2019-10-09T18:16:07.040+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,1,121,0,389,0,0,422,217.160.0.94,,546,
5,,2019-10-09T18:16:07.041+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,1,120,0,389,0,0,424,217.160.0.94,,547,
6,,2019-10-09T18:16:07.042+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,1,224,0,388,0,0,422,217.160.0.94,,649,
7,,2019-10-09T18:16:07.043+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,0,120,0,388,0,0,420,217.160.0.94,,542,
8,,2019-10-09T18:16:08.964+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,32954,,,0,114,43,2275,63,0,2303,172.217.22.10,,2525,
9,,2019-10-09T18:16:10.516+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,731,1780,,,0,110,25,1296,2,0,1315,157.240.1.23,,1454,
10,,2019-10-09T18:16:10.847+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=fc0293336387ac0d8c8f451af1d742f1&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56393,,,0,98,0,176,137,0,208,157.240.1.23,,445,value
11,,2019-10-09T18:16:11.737+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,106,26,2446,32,0,2477,172.217.16.136,,2643,
12,,2019-10-09T18:16:11.905+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1721315648&utmhn=www.whatshouldireadnext.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=What%20Should%20I%20Read%20Next%3F%20Book%20recommendations%20from%20readers%20like%20you&utmhid=1403973567&utmr=-&utmp=%2F&utmht=1570634171899&utmac=UA-1909811-1&utmcc=__utma%3D146589170.718972460.1570634172.1570634172.1570634172.1%3B%2B__utmz%3D146589170.1570634172.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=362263489&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,954,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,94,-1,-1,0,-1,-1,172.217.16.136,,95,value
13,,2019-10-09T18:16:11.914+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102030424666238733056_1570634169161&uss_type=1&uss_session=15706341691670.3222227211690525&uss_anticache=0.24795196642788775&action=uss_getstring&_=1570634169162,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,464,,,0,175,-1,-1,0,-1,-1,217.160.0.94,,176,value
14,,2019-10-09T18:16:12.099+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102030424666238733056_1570634169161&uss_type=2&uss_session=15706341691670.3222227211690525&uss_anticache=0.1672258193222238&action=uss_getstring&_=1570634169163,HTTP/1.1,940,0,,200,OK,HTTP/1.1,0,application/json,,,208,523,,,0,158,-1,-1,0,-1,-1,217.160.0.94,,159,value
15,,2019-10-09T18:16:12.265+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102030424666238733056_1570634169161&uss_type=3&uss_session=15706341691670.3222227211690525&uss_anticache=0.8212202524555277&action=uss_getstring&_=1570634169164,HTTP/1.1,940,0,,200,OK,HTTP/1.1,0,application/json,,,208,423,,,1,153,-1,-1,0,-1,-1,217.160.0.94,,155,value
16,,2019-10-09T18:16:12.771+03:00,GET,https://rcm-na.amazon-adsystem.com/e/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,612,0,,302,Found,HTTP/1.1,0,text/html; charset=iso-8859-1,,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,440,277,,,0,182,138,3430,0,0,3456,52.46.129.238,,3779,value
17,,2019-10-09T18:16:13.396+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,544,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1121,11784,,,0,112,28,2215,19,0,2242,31.13.92.14,,2402,value
18,,2019-10-09T18:16:14.868+03:00,GET,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,614,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,474,45299,,,1,198,105,1777,169,0,1801,54.239.26.81,,2276,value
19,,2019-10-09T18:16:17.689+03:00,GET,https://images-na.ssl-images-amazon.com//images/G/01/rcm/468x60.gif,HTTP/1.1,528,0,,200,OK,HTTP/1.1,0,image/gif,,,603,7079,,,0,105,34,2370,10,0,2409,99.86.250.33,,2561,
20,,2019-10-09T18:16:18.197+03:00,GET,https://ir-na.amazon-adsystem.com/e/ir?l=ez&t=wsirn-20&o=1&cb=1570634175241,HTTP/1.1,536,0,,200,,HTTP/1.1,0,image/gif,,,126,42,,,0,176,31,2877,3,0,2917,52.46.128.194,,3128,value
21,,2019-10-09T18:16:19.015+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/r/json?cb=1570634175240&logType=banner_impressions&p=%7B%22mobile_supported%22%3A%22true%22%2C%22action%22%3A%22onload%22%2C%22adunit_type%22%3A%22banners%22%2C%22adunit_properties%22%3A%7B%22height%22%3A%22%24%7Bheight%7D%22%2C%22width%22%3A%22%24%7Bwidth%7D%22%2C%22category%22%3A%22%24%7Bcampaigns%7D%22%2C%22marketplace%22%3A%22amazon%22%2C%22link_id%22%3A%22%24%7Blinkid%7D%22%2C%22region%22%3A%22US%22%7D%2C%22logType%22%3A%22banner_impressions%22%7D,HTTP/1.1,974,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,1,184,73,3655,0,0,3688,52.94.225.95,,3948,value
22,,2019-10-09T18:16:19.015+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/?cb=1570634175241&p=%7B%22program%22%3A%221%22%2C%22tag%22%3A%22wsirn-20%22%2C%22linkCode%22%3A%22ez%22%2C%22refUrl%22%3A%22https%3A%2F%2Fwww.whatshouldireadnext.com%2F%22%2C%22panda%22%3Atrue%7D,HTTP/1.1,713,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,0,189,73,3655,1,0,3694,52.94.225.95,,3959,value
