,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:11:18.002+03:00,GET,https://www.codecademy.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1228,20983,,,48,2375,0,2,322,78,2334,104.20.26.250,,2828,
1,,2019-10-09T16:11:18.392+03:00,GET,https://www.codecademy.com/webpack/106.b0ca2c49a6d3e4f35cbc.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1973,,,4,-1,-1,0,97,-1,-1,104.20.26.250,,102,
2,,2019-10-09T16:11:18.497+03:00,GET,https://www.codecademy.com/webpack/7.76c67b49e29df656210e.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,208,,,0,-1,-1,0,106,-1,-1,104.20.26.250,,107,
3,,2019-10-09T16:11:18.552+03:00,GET,https://www.codecademy.com/webpack/31.5aef409b13034b8393c0.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,252,,,2,146,0,1,99,0,118,104.20.26.250,,249,
4,,2019-10-09T16:11:18.552+03:00,GET,https://www.codecademy.com/webpack/34.68bde9f8d8e049a57945.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,131,,,2,146,0,1,100,1,118,104.20.26.250,,251,
5,,2019-10-09T16:11:18.561+03:00,GET,https://www.codecademy.com/webpack/36.a5c741a5e238200f94d3.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,1478,,,4,155,0,1,99,0,118,104.20.26.250,,260,
6,,2019-10-09T16:11:18.562+03:00,GET,https://www.codecademy.com/webpack/75.4d78988499577313336d.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,5181,,,5,156,0,1,119,0,119,104.20.26.250,,283,
7,,2019-10-09T16:11:18.563+03:00,GET,https://www.codecademy.com/webpack/77.56a72f875e30b76d4158.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,268,,,2,156,0,0,92,0,120,104.20.26.250,,251,
8,,2019-10-09T16:11:18.609+03:00,GET,https://www.codecademy.com/webpack/93.4a2e66824076c2a0f6ba.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,339,,,0,-1,-1,0,107,-1,-1,104.20.26.250,,109,
9,,2019-10-09T16:11:18.681+03:00,GET,https://www.codecademy.com/webpack/0.834129a31aa84bdadb07.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,325,,,2,-1,-1,1,120,-1,-1,104.20.26.250,,123,
10,,2019-10-09T16:11:18.681+03:00,GET,https://www.codecademy.com/webpack/112.6cc12a1df6b7ccb47bab.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,533,461,,,1,-1,-1,1,115,-1,-1,104.20.26.250,,117,
11,,2019-10-09T16:11:18.683+03:00,GET,https://www.codecademy.com/webpack/2.a758190cc4232e11e584.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,482,,,2,-1,-1,1,122,-1,-1,104.20.26.250,,126,
12,,2019-10-09T16:11:18.684+03:00,GET,https://www.codecademy.com/webpack/1.c2e56ddc298af3dce9de.chunk.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,533,147,,,2,-1,-1,1,117,-1,-1,104.20.26.250,,120,
13,,2019-10-09T16:11:18.694+03:00,GET,https://www.codecademy.com/webpack/24.e061bc32eef55c23c968.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,534,1502,,,3,-1,-1,0,108,-1,-1,104.20.26.250,,112,
14,,2019-10-09T16:11:18.722+03:00,GET,https://www.codecademy.com/webpack/66.45214f5047bee175b0de.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,248,,,2,-1,-1,0,104,-1,-1,104.20.26.250,,107,
15,,2019-10-09T16:11:18.840+03:00,GET,https://www.codecademy.com/webpack/79.35a241d1db754e08fa68.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,684,,,0,-1,-1,1,312,-1,-1,104.20.26.250,,314,
16,,2019-10-09T16:11:18.840+03:00,GET,https://www.codecademy.com/webpack/92.d803e06b6ca2b421f9ad.chunk.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,533,652,,,1,-1,-1,1,109,-1,-1,104.20.26.250,,112,
17,,2019-10-09T16:11:18.840+03:00,GET,https://www.codecademy.com/webpack/111.e96df2b662230d8d1849.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1250,,,1,-1,-1,1,111,-1,-1,104.20.26.250,,114,
18,,2019-10-09T16:11:18.841+03:00,GET,https://www.codecademy.com/webpack/158.ea4a780c80a2b836eaf7.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,533,476,,,1,-1,-1,1,119,-1,-1,104.20.26.250,,122,
19,,2019-10-09T16:11:18.842+03:00,GET,https://www.codecademy.com/webpack/190.517988f27f5ab80c5e96.chunk.css,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css,,,534,1124,,,3,-1,-1,1,106,-1,-1,104.20.26.250,,111,
20,,2019-10-09T16:11:18.843+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.8e123beca1a22926b8a3.chunk.css,HTTP/1.1,597,0,,200,OK,HTTP/1.1,0,text/css,,,534,3052,,,5,-1,-1,1,110,-1,-1,104.20.26.250,,117,
21,,2019-10-09T16:11:18.999+03:00,GET,https://www.codecademy.com/webpack/runtime~corporate.1e2109f4dd6165ec3627.js,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,3336,,,9,-1,-1,1,105,-1,-1,104.20.26.250,,115,
22,,2019-10-09T16:11:18.999+03:00,GET,https://www.codecademy.com/webpack/87.ee03ff32095bbe4b663e.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,133888,,,183,-1,-1,1,111,-1,-1,104.20.26.250,,295,
23,,2019-10-09T16:11:19.132+03:00,GET,https://www.codecademy.com/webpack/106.ec790a160ad6eb612bcb.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,551,30894,,,120,-1,-1,0,91,-1,-1,104.20.26.250,,212,
24,,2019-10-09T16:11:19.188+03:00,GET,https://www.codecademy.com/webpack/91.74bd369ee40ca625ae0b.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,5277,,,47,-1,-1,1,105,-1,-1,104.20.26.250,,153,
25,,2019-10-09T16:11:19.188+03:00,GET,https://www.codecademy.com/webpack/109.f84143c68767ffeb3c59.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,6396,,,3,-1,-1,0,156,-1,-1,104.20.26.250,,160,
26,,2019-10-09T16:11:19.189+03:00,GET,https://www.codecademy.com/webpack/corporate.6a303bdeb753b750c5bd.chunk.js,HTTP/1.1,566,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1503,,,0,-1,-1,0,153,-1,-1,104.20.26.250,,154,
27,,2019-10-09T16:11:19.190+03:00,GET,https://www.codecademy.com/webpack/4.32bcd637ebb94514c9df.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1751,,,1,-1,-1,0,154,-1,-1,104.20.26.250,,156,
28,,2019-10-09T16:11:19.358+03:00,GET,https://www.codecademy.com/webpack/7.965b8ef6423f54872b33.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,586,,,0,-1,-1,0,96,-1,-1,104.20.26.250,,97,
29,,2019-10-09T16:11:19.360+03:00,GET,https://www.codecademy.com/webpack/13.6b221d59632b56ec56fb.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,547,,,0,-1,-1,0,102,-1,-1,104.20.26.250,,103,
30,,2019-10-09T16:11:19.360+03:00,GET,https://www.codecademy.com/webpack/14.12180932dbcb7ad17774.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,15747,,,5,-1,-1,0,96,-1,-1,104.20.26.250,,102,
31,,2019-10-09T16:11:19.362+03:00,GET,https://www.codecademy.com/webpack/15.e8482dffc4ee74eed7c9.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,224,,,0,-1,-1,0,104,-1,-1,104.20.26.250,,105,
32,,2019-10-09T16:11:19.363+03:00,GET,https://www.codecademy.com/webpack/16.526f0aff88f506cf37f7.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,974,,,0,-1,-1,0,101,-1,-1,104.20.26.250,,102,
33,,2019-10-09T16:11:19.363+03:00,GET,https://www.codecademy.com/webpack/17.6d4f2e24c59a0f359930.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,413,,,0,-1,-1,0,100,-1,-1,104.20.26.250,,102,
34,,2019-10-09T16:11:19.474+03:00,GET,https://www.codecademy.com/webpack/10c6b3611734c6f586a233d41c1cdf46.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38752,,,26,-1,-1,0,98,-1,-1,104.20.26.250,,125,
35,,2019-10-09T16:11:19.475+03:00,GET,https://www.codecademy.com/webpack/8f8fbcc4095c37401c638882bc63b21b.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38280,,,60,-1,-1,0,121,-1,-1,104.20.26.250,,182,
36,,2019-10-09T16:11:19.475+03:00,GET,https://www.codecademy.com/webpack/3861e7bced4765ac7456df8ec72e42d5.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,60992,,,105,-1,-1,0,99,-1,-1,104.20.26.250,,206,
37,,2019-10-09T16:11:19.476+03:00,GET,https://www.codecademy.com/webpack/renderer/e44a2755e60f248ec67d963ac2b1af4d.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,230,,,0,-1,-1,0,127,-1,-1,104.20.26.250,,129,
38,,2019-10-09T16:11:19.476+03:00,GET,https://www.codecademy.com/webpack/renderer/daecb491e565bc6b7390756d03fc1ee1.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,141,,,0,-1,-1,0,127,-1,-1,104.20.26.250,,129,
39,,2019-10-09T16:11:19.508+03:00,GET,https://www.codecademy.com/webpack/renderer/1d77ee7d6c14c4a1b3b3737557a71c4a.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,430,,,0,-1,-1,0,102,-1,-1,104.20.26.250,,103,
40,,2019-10-09T16:11:19.603+03:00,GET,https://www.codecademy.com/webpack/renderer/6dbde596705090b98e4012a740c0bedb.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,206,,,0,-1,-1,0,96,-1,-1,104.20.26.250,,97,
41,,2019-10-09T16:11:19.615+03:00,GET,https://www.codecademy.com/webpack/renderer/e908164f059c81faded2866ab983e950.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,668,111808,,,116,-1,-1,0,106,-1,-1,104.20.26.250,,224,
42,,2019-10-09T16:11:19.615+03:00,GET,https://www.codecademy.com/webpack/renderer/d7285ffbbd0ca6d1d2179f7d22ea1f67.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,548,2040,,,1,-1,-1,0,115,-1,-1,104.20.26.250,,117,
43,,2019-10-09T16:11:19.619+03:00,GET,https://www.codecademy.com/webpack/renderer/f059ec67021b3dfeea1b6cb2eb373683.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,148,,,0,-1,-1,0,93,-1,-1,104.20.26.250,,95,
44,,2019-10-09T16:11:19.661+03:00,GET,https://www.codecademy.com/webpack/renderer/5c537833d79f7065497b565eaa7bca64.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,0,-1,-1,0,105,-1,-1,104.20.26.250,,107,
45,,2019-10-09T16:11:19.686+03:00,GET,https://www.codecademy.com/webpack/renderer/3ce816c669e3c8a946f0895049a01e44.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,0,-1,-1,0,98,-1,-1,104.20.26.250,,99,
46,,2019-10-09T16:11:19.704+03:00,GET,https://www.codecademy.com/webpack/renderer/be1606e736b7ae787add1973c386eff6.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,660,492,,,0,-1,-1,0,93,-1,-1,104.20.26.250,,94,
47,,2019-10-09T16:11:19.719+03:00,GET,https://www.codecademy.com/webpack/renderer/009575cb805ae46490ba9b72cf63b22f.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,433,,,0,-1,-1,0,95,-1,-1,104.20.26.250,,96,
48,,2019-10-09T16:11:19.737+03:00,GET,https://www.codecademy.com/webpack/19.b6ab6afa032c61e33267.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,2124,,,1,-1,-1,0,112,-1,-1,104.20.26.250,,113,
49,,2019-10-09T16:11:19.774+03:00,GET,https://www.codecademy.com/webpack/31.1925913e07c75f2cb6bf.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,450,,,0,-1,-1,0,97,-1,-1,104.20.26.250,,98,
50,,2019-10-09T16:11:19.794+03:00,GET,https://www.codecademy.com/webpack/34.5156d52405f4d0dca805.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,370,,,0,-1,-1,0,101,-1,-1,104.20.26.250,,102,
51,,2019-10-09T16:11:19.805+03:00,GET,https://www.codecademy.com/webpack/36.c4f259b4cd289e2b3778.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,45186,,,10,-1,-1,0,108,-1,-1,104.20.26.250,,120,
52,,2019-10-09T16:11:19.847+03:00,GET,https://www.codecademy.com/webpack/55.65f196651968c9919263.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,260,,,0,-1,-1,0,137,-1,-1,104.20.26.250,,138,
53,,2019-10-09T16:11:19.857+03:00,GET,https://www.codecademy.com/webpack/61.fb687b65f5bf8ead643a.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,7538,,,3,-1,-1,0,126,-1,-1,104.20.26.250,,130,
54,,2019-10-09T16:11:19.878+03:00,GET,https://www.codecademy.com/webpack/65.1c7a6966bb1563dfbc83.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,581,,,1,-1,-1,0,107,-1,-1,104.20.26.250,,110,
55,,2019-10-09T16:11:19.901+03:00,GET,https://www.codecademy.com/webpack/75.aa5964c50e3395742de0.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,551,11032,,,5,-1,-1,0,120,-1,-1,104.20.26.250,,126,
