,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T16:20:16.570+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,914,22637,,,144,3789,2,1482,3826,51,0,23.42.193.99,,5507,,
1,,2019-10-09T16:20:18.119+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,976,6862,,,-1,-1,1,107,-1,1,-1,23.42.193.99,,109,,
2,,2019-10-09T16:20:18.234+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,545,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1124,24399,,,-1,-1,0,133,-1,9,-1,23.42.193.99,,144,,
3,,2019-10-09T16:20:18.284+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,22144,,,0,126,3,136,156,3,0,23.42.193.99,,300,,
4,,2019-10-09T16:20:18.297+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,974,738,,,0,139,0,108,175,1,0,23.42.193.99,,285,,
5,,2019-10-09T16:20:18.297+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,21576,,,0,138,1,144,171,3,0,23.42.193.99,,320,,
6,,2019-10-09T16:20:18.299+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,548,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1126,348718,,,0,141,1,134,174,262,0,23.42.193.99,,574,,
7,,2019-10-09T16:20:18.300+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1122,4918,,,0,145,0,105,177,0,0,23.42.193.99,,285,,
8,,2019-10-09T16:20:18.393+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,206694,,,-1,-1,1,130,-1,143,-1,23.42.193.99,,275,,
9,,2019-10-09T16:20:18.434+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,214320,,,-1,-1,0,168,-1,181,-1,23.42.193.99,,350,,
10,,2019-10-09T16:20:19.478+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,977,2035,,,-1,-1,0,105,-1,0,-1,23.42.193.99,,106,,
11,,2019-10-09T16:20:19.591+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/LocationPage.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,976,7724,,,-1,-1,0,130,-1,0,-1,23.42.193.99,,132,,
