,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:03:18.338+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6203,14272,,,27,248,2,1605,0,45,1636,104.244.42.1,,1960,
1,,2019-10-09T17:03:18.655+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2568,,,-1,210,0,-1,-1,1,-1,104.244.42.1,,212,value
2,,2019-10-09T17:03:25.326+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,512,35309,,,31,88,1,6598,0,104,6636,151.101.16.159,,6862,
3,,2019-10-09T17:03:25.334+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,512,43389,,,32,98,1,6603,0,103,6644,151.101.16.159,,6880,
4,,2019-10-09T17:03:25.346+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,512,38631,,,34,96,0,6596,0,91,6654,151.101.16.159,,6878,
5,,2019-10-09T17:03:25.348+03:00,GET,https://abs.twimg.com/k/en/init.en.77c56452e473e94d573f.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,527,180312,,,31,95,0,6621,0,266,6659,151.101.16.159,,7054,
6,,2019-10-09T17:03:25.352+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript,,,527,249858,,,34,104,0,6624,0,259,6660,151.101.16.159,,7058,
7,,2019-10-09T17:03:25.722+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2681,,,-1,203,0,-1,-1,1,-1,104.244.42.1,,206,value
8,,2019-10-09T17:03:25.892+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,526,21560,,,-1,141,0,-1,-1,6,-1,151.101.16.159,,148,
9,,2019-10-09T17:03:25.915+03:00,GET,https://abs.twimg.com/a/1570227539/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,478,25892,,,0,108,0,161,0,51,187,151.101.16.159,,348,
10,,2019-10-09T17:03:27.544+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,33,105,0,1199,0,27,1254,216.58.206.14,,1421,
11,,2019-10-09T17:03:27.644+03:00,GET,https://analytics.twitter.com/tpm/p?_=1570629805792,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,33,201,0,1333,0,0,1363,104.244.42.67,,1599,value
12,,2019-10-09T17:03:27.698+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=809817330&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=1276113977&gjid=336072400&cid=634108076.1570629808&tid=UA-30775-6&_gid=1826610511.1570629808&_r=1&z=1971744230,HTTP/1.1,693,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=634108076.1570629808&jid=1276113977&_gid=1826610511.1570629808&gjid=336072400&_v=j79&z=1971744230,642,415,,,-1,102,0,-1,-1,0,-1,216.58.206.14,,103,value
13,,2019-10-09T17:03:27.806+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,988,4876,,200,OK,HTTP/1.1,0,,,,1043,0,,,-1,204,1,-1,-1,0,-1,104.244.42.1,,206,value
14,,2019-10-09T17:03:28.016+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,988,5087,,200,OK,HTTP/1.1,0,,,,1043,0,,,-1,206,1,-1,-1,0,-1,104.244.42.1,,208,value
15,,2019-10-09T17:03:30.383+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1570629806249%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,0,211,0,4073,0,1,4122,104.244.42.200,,4337,value
