,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:08:16.821+03:00,GET,https://www.onread.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,906,9816,,,184,1,2783,2,26,0,2821,104.24.118.116,,3036,
1,,2019-10-11T19:08:17.070+03:00,GET,https://www.onread.com/assets/3ed9eeed/css/bootstrap.css?v=1434471202,HTTP/1.1,674,0,,200,OK,HTTP/1.1,0,text/css,,,517,19958,,,104,-1,-1,2,30,-1,-1,104.24.118.116,,138,value
2,,2019-10-11T19:08:17.222+03:00,GET,https://www.onread.com/font/lato/lato.css?v=1465990458,HTTP/1.1,659,0,,200,OK,HTTP/1.1,0,text/css,,,516,240,,,95,-1,-1,1,0,-1,-1,104.24.118.116,,97,value
3,,2019-10-11T19:08:17.251+03:00,GET,https://www.onread.com/font/monsterrat/montserrat.css?v=1465990458,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,515,253,,,103,0,138,1,0,1,169,104.24.118.116,,276,value
4,,2019-10-11T19:08:17.252+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,675,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,103,0,139,3,3,0,168,104.24.118.116,,280,value
5,,2019-10-11T19:08:17.260+03:00,GET,https://www.onread.com/css/buttons.css?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/css,,,518,1653,,,107,0,147,2,1,0,175,104.24.118.116,,286,value
6,,2019-10-11T19:08:17.260+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,110,0,148,2,35,0,182,104.24.118.116,,330,value
7,,2019-10-11T19:08:17.265+03:00,GET,https://www.onread.com/css/forms.css?v=1467023433,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1646,,,108,0,153,0,4,0,179,104.24.118.116,,293,value
8,,2019-10-11T19:08:17.335+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,89,-1,-1,0,1,-1,-1,104.24.118.116,,91,value
9,,2019-10-11T19:08:17.365+03:00,GET,https://www.onread.com/css/main.css?v=1485960792,HTTP/1.1,653,0,,200,OK,HTTP/1.1,0,text/css,,,518,18978,,,102,-1,-1,0,33,-1,-1,104.24.118.116,,136,value
10,,2019-10-11T19:08:17.386+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,658,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,95,-1,-1,0,2,-1,-1,104.24.118.116,,98,value
11,,2019-10-11T19:08:17.387+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/css,,,515,545,,,94,-1,-1,0,0,-1,-1,104.24.118.116,,95,value
12,,2019-10-11T19:08:17.387+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,94,-1,-1,0,0,-1,-1,104.24.118.116,,96,value
13,,2019-10-11T19:08:17.415+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,127,-1,-1,0,0,-1,-1,104.24.118.116,,128,value
14,,2019-10-11T19:08:17.491+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,728,,,100,-1,-1,0,0,-1,-1,104.24.118.116,,101,value
15,,2019-10-11T19:08:17.491+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.css?v=1465990458,HTTP/1.1,678,0,,200,OK,HTTP/1.1,0,text/css,,,516,1257,,,94,-1,-1,0,1,-1,-1,104.24.118.116,,96,value
16,,2019-10-11T19:08:17.491+03:00,GET,https://www.onread.com/js/poshytip/tip-basic/tip-basic.css?v=1465990458,HTTP/1.1,676,0,,200,OK,HTTP/1.1,0,text/css,,,516,562,,,94,-1,-1,0,1,-1,-1,104.24.118.116,,95,value
17,,2019-10-11T19:08:17.542+03:00,GET,https://www.onread.com/css/popup.css?v=1465990458,HTTP/1.1,654,0,,200,OK,HTTP/1.1,0,text/css,,,516,1402,,,100,-1,-1,0,1,-1,-1,104.24.118.116,,101,value
18,,2019-10-11T19:08:17.549+03:00,GET,https://www.onread.com/assets/37e991fb/authchoice.css?v=1485418581,HTTP/1.1,671,0,,200,OK,HTTP/1.1,0,text/css,,,516,272,,,92,-1,-1,0,0,-1,-1,104.24.118.116,,94,value
19,,2019-10-11T19:08:18.511+03:00,GET,https://files.onread.com/781655/thumbs/152x264/unlucky-13.jpg,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,29979,,,122,0,1398,0,59,0,1422,104.24.119.116,,1606,
20,,2019-10-11T19:08:18.515+03:00,GET,https://files.onread.com/782982/thumbs/152x264/city-of-heavenly-fire-cover.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,612,161113,,,124,0,1402,0,204,0,1424,104.24.119.116,,1754,
21,,2019-10-11T19:08:18.849+03:00,GET,https://www.onread.com/assets/e031c2e3/jquery.js?v=1463765083,HTTP/1.1,651,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,73205,,,95,-1,-1,0,117,-1,-1,104.24.118.116,,212,value
22,,2019-10-11T19:08:19.068+03:00,GET,https://www.onread.com/assets/c9f2659e/yii.js?v=1483524792,HTTP/1.1,648,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,4646,,,94,-1,-1,0,1,-1,-1,104.24.118.116,,96,value
23,,2019-10-11T19:08:19.169+03:00,GET,https://www.onread.com/js/epub/build/epub.min.js?v=1465990458,HTTP/1.1,651,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,26011,,,97,-1,-1,0,15,-1,-1,104.24.118.116,,113,value
24,,2019-10-11T19:08:19.288+03:00,GET,https://www.onread.com/js/epub/build/libs/zip.min.js?v=1465990458,HTTP/1.1,655,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,548,23186,,,116,-1,-1,0,7,-1,-1,104.24.118.116,,124,value
25,,2019-10-11T19:08:20.447+03:00,GET,https://ws.sharethis.com/button/buttons.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,555,15757,,,100,66,1654,0,31,0,1681,13.225.249.48,,1879,
26,,2019-10-11T19:08:20.586+03:00,GET,https://www.onread.com/js/jquery.mousewheel.js?v=1465990458,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,544,846,,,105,-1,-1,0,0,-1,-1,104.24.118.116,,106,value
27,,2019-10-11T19:08:20.696+03:00,GET,https://www.onread.com/js/jquery.dotdotdot.min.js?v=1465990458,HTTP/1.1,652,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,545,2543,,,98,-1,-1,0,0,-1,-1,104.24.118.116,,99,value
28,,2019-10-11T19:08:20.799+03:00,GET,https://www.onread.com/js/jquery.carouFredSel-6.2.1-packed.js?v=1465990458,HTTP/1.1,664,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,13255,,,111,-1,-1,0,0,-1,-1,104.24.118.116,,112,value
29,,2019-10-11T19:08:20.919+03:00,GET,https://www.onread.com/js/jquery.mobile.custom.min.js?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,545,2735,,,99,-1,-1,0,0,-1,-1,104.24.118.116,,99,value
30,,2019-10-11T19:08:21.023+03:00,GET,https://www.onread.com/js/jquery.textareaAutoResize.js?v=1465990458,HTTP/1.1,657,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,1404,,,88,-1,-1,0,0,-1,-1,104.24.118.116,,89,value
31,,2019-10-11T19:08:21.117+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.min.js?v=1465990458,HTTP/1.1,660,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,1739,,,94,-1,-1,0,0,-1,-1,104.24.118.116,,95,value
32,,2019-10-11T19:08:21.217+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.min.js?v=1465990458,HTTP/1.1,666,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,545,10372,,,114,-1,-1,0,0,-1,-1,104.24.118.116,,115,value
33,,2019-10-11T19:08:21.338+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.js?v=1465990458,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,18001,,,107,-1,-1,0,1,-1,-1,104.24.118.116,,109,value
34,,2019-10-11T19:08:21.455+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.js?v=1465990458,HTTP/1.1,662,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,545,2384,,,113,-1,-1,0,0,-1,-1,104.24.118.116,,115,value
35,,2019-10-11T19:08:21.574+03:00,GET,https://www.onread.com/js/poshytip/jquery.poshytip.js?v=1465990458,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,5146,,,97,-1,-1,0,0,-1,-1,104.24.118.116,,98,value
36,,2019-10-11T19:08:21.652+03:00,GET,https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/css,,,453,8056,,,85,0,2211,0,2,0,2232,209.197.3.24,,2321,
37,,2019-10-11T19:08:21.666+03:00,GET,https://code.jquery.com/ui/1.11.4/jquery-ui.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,509,114093,,,104,37,4517,0,128,0,4542,209.197.3.24,,4813,
38,,2019-10-11T19:08:21.678+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.js?v=1465990458,HTTP/1.1,662,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,13333,,,103,-1,-1,0,0,-1,-1,104.24.118.116,,104,value
39,,2019-10-11T19:08:21.760+03:00,GET,https://www.onread.com/js/popup.js?v=1465990458,HTTP/1.1,637,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,544,187,,,93,-1,-1,2,0,-1,-1,104.24.118.116,,96,value
40,,2019-10-11T19:08:21.761+03:00,GET,https://www.onread.com/js/main.js?v=1483546789,HTTP/1.1,636,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,547,5597,,,113,-1,-1,2,0,-1,-1,104.24.118.116,,116,value
41,,2019-10-11T19:08:21.766+03:00,GET,https://www.onread.com/js/epub/hooks/default/smartimages.js?v=1465990458,HTTP/1.1,662,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,546,794,,,97,-1,-1,0,0,-1,-1,104.24.118.116,,98,value
42,,2019-10-11T19:08:21.773+03:00,GET,https://files.onread.com/781654/thumbs/152x264/the-winners-curse.jpg,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,601,29851,,,93,-1,-1,0,58,-1,-1,104.24.119.116,,152,
