,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T19:14:53.752+03:00,GET,http://www.shutupandtakemymoney.com/,HTTP/1.1,889,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,544,48943,,,-1,0,0,36,70,0,2812,104.24.18.117,,2920,
1,,2019-10-11T19:14:54.738+03:00,GET,http://cat.nl.eu.criteo.com/delivery/lg.php?cppv=3&cpp=nqrHqqaM8sb8oUSi3w8JfFoZBMOFasZl3g1eyVwVy_mczem-uC7zRXJ5RV6rtCEAaQ25JrHHoeL9SbVpe_-JuAhnqmAseZyhKXwjfBS4Q4JIryKJkFYHFMNQoW47vVzW4Vw4Pu1d84XRdpCs2Dr9T4LJfpsGADLNbpDYJHZnSUdQJdkcYsaAFclDjOe6vbf9IPOCKOrOKZV0uPhBOw0J6wWmrZ5_TzIzJAKPsGWDpEZ6MDytkEpeunsmMop0X_xYnUpxig,HTTP/1.1,763,0,,200,OK,HTTP/1.1,0,image/gif,,,289,43,,,-1,52,0,25,0,0,128,178.250.2.148,,207,value
2,,2019-10-11T19:14:54.818+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,509,3851,,,-1,-1,-1,-1,2,0,91,13.225.249.93,,94,
3,,2019-10-11T19:14:56.638+03:00,GET,"https://pagead2.googlesyndication.com/pagead/gen_204?id=plmetrics&cls=0.000&mls=0.000&lcp=0&eid=21064523,368226570",HTTP/1.1,453,0,,204,No Content,HTTP/1.1,0,image/gif,,,768,0,,,5264,0,0,5304,0,0,92,216.58.206.2,,5397,value
4,,2019-10-11T19:14:56.668+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/themes/arras/newstyle1.css,HTTP/1.1,843,0,,404,Not Found,HTTP/1.1,0,text/html;charset=UTF-8,,,467,-1,,,-1,0,0,34,2,0,2472,104.24.18.117,,2509,
5,,2019-10-11T19:14:56.678+03:00,GET,http://www.shutupandtakemymoney.com/wp-includes/js/wp-emoji-release.min.js?ver=f93c06892291928e5e70789d6414b9c7,HTTP/1.1,866,0,,200,OK,HTTP/1.1,0,application/javascript,,,430,4382,,,-1,-1,-1,-1,0,0,96,104.24.18.117,,97,value
6,,2019-10-11T19:14:56.685+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.5.4,HTTP/1.1,885,0,,200,OK,HTTP/1.1,0,text/css,,,415,1055,,,-1,0,0,25,0,0,124,104.24.18.117,,151,value
7,,2019-10-11T19:14:56.822+03:00,GET,https://load.sumo.com/76.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,44057,,,-1,-1,-1,-1,66,0,105,89.187.169.79,,172,
8,,2019-10-11T19:14:56.823+03:00,GET,https://load.sumo.com/78.b673d503a425732f6368.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/javascript,,,886,101903,,,-1,-1,-1,-1,88,0,104,89.187.169.79,,193,
9,,2019-10-11T19:14:56.823+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,-1,-1,-1,24,0,87,172.217.22.110,,112,
10,,2019-10-11T19:14:56.842+03:00,GET,https://www.dwin2.com/init.js?t=1570810496837,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,491,103,,,-1,-1,-1,-1,0,0,94,151.101.18.110,,95,value
11,,2019-10-11T19:14:56.950+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/chicken-purse.jpg,HTTP/1.1,871,0,,200,OK,HTTP/1.1,0,image/jpeg,,,389,48759,,,-1,-1,-1,-1,87,0,119,104.24.18.117,,206,
12,,2019-10-11T19:14:56.952+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/jon-snow-kanye-west-fresh-prince-air-fresheners.jpg,HTTP/1.1,905,0,,200,OK,HTTP/1.1,0,image/jpeg,,,389,95503,,,-1,-1,-1,-1,91,0,118,104.24.18.117,,210,
13,,2019-10-11T19:14:56.953+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/08/starwars-at-at-tape-dispenser.jpg,HTTP/1.1,887,0,,200,OK,HTTP/1.1,0,image/jpeg,,,359,69758,,,-1,0,0,57,163,1,38,104.24.18.117,,260,
