,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T19:17:33.938+03:00,GET,https://snes.party/,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,2876,299,123,3,0,2915,19,45.63.119.229,,3361,,
1,,2019-10-11T19:17:34.123+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,337,511765,,,-1,-1,223,1,-1,-1,273,45.63.119.229,,498,,
2,,2019-10-11T19:17:34.356+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,351,995512,,,186,0,184,3,0,227,454,45.63.119.229,,870,,
3,,2019-10-11T19:17:36.086+03:00,GET,https://fonts.googleapis.com/css?family=Pacifico,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,416,,,1873,42,122,0,0,1916,6,172.217.23.138,,2088,value,
4,,2019-10-11T19:17:36.088+03:00,GET,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic&subset=latin",HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,423,,,1404,0,120,0,0,1436,6,172.217.23.138,,1564,value,
5,,2019-10-11T19:17:38.545+03:00,OPTIONS,https://new.engine.snes.party/,HTTP/1.1,439,0,,204,No Content,HTTP/1.1,0,,,,526,0,,,1858,269,122,0,0,1879,0,165.22.204.53,,2273,,
6,,2019-10-11T19:17:38.672+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,354,,,-1,-1,98,0,-1,-1,0,165.22.204.53,,99,,
7,,2019-10-11T19:17:39.215+03:00,GET,https://new.engine.snes.party/websocket?token=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJrb3NtaSIsImV4cCI6MTU3MzIzMDkwNCwiaWF0IjoxNTcwODExNzA0LCJpc3MiOiJrb3NtaSIsImp0aSI6ImZlYmJmZDkzLTgzZmItNDBhYy04ZDFlLTgxMGFiMTZkNzY5ZiIsIm5iZiI6MTU3MDgxMTcwMywic3ViIjoiMjJhMzk4ODctMjlhNi00OTRlLWJjMDMtMjMwOTRlNTA0NmJlIiwidHlwIjoiYWNjZXNzIn0.EF_k8gXHDMlaigjTKwxmz3ue7EX29NhtxQNJna4YdwHAN4-WKzBqsuSFAFmcB_5LP2f4FY9JA5i41wP5q5xeRQ&vsn=2.0.0,HTTP/1.1,872,0,,426,Upgrade Required,HTTP/1.1,0,,,,122,0,,,378,0,105,1,0,409,0,165.22.204.53,,517,value,
8,,2019-10-11T19:17:39.332+03:00,GET,https://snes.party/,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,310,710,,,-1,-1,109,0,-1,-1,0,45.63.119.229,,110,,
9,,2019-10-11T19:17:39.457+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.css,HTTP/1.1,464,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,115,0,-1,-1,0,45.63.119.229,,117,,
10,,2019-10-11T19:17:39.672+03:00,GET,https://snes.party/kosmi.af6f81542703e47ded54.js,HTTP/1.1,448,0,,304,Not Modified,HTTP/1.1,0,,,,261,0,,,-1,-1,126,1,-1,-1,0,45.63.119.229,,128,,
11,,2019-10-11T19:17:39.855+03:00,POST,https://new.engine.snes.party/,HTTP/1.1,419,127,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,338,351,,,-1,-1,105,0,-1,-1,0,165.22.204.53,,107,,
12,,2019-10-11T19:17:39.892+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,23484,,,3285,0,92,1,0,3313,54,172.217.16.131,,3462,,
13,,2019-10-11T19:17:39.998+03:00,GET,https://fonts.gstatic.com/s/lato/v16/S6u9w4BMUTPHh6UVSwiPGQ.woff2,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,22992,,,860,0,93,1,0,906,69,172.217.16.131,,1069,,
