,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T08:00:20.064+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,921,22849,,,0,1831,33,169,2,1795,1894,104.115.33.124,,3931,,
1,,2019-10-12T08:00:22.007+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,6862,,,-1,-1,0,-1,1,-1,120,104.115.33.124,,122,,
2,,2019-10-12T08:00:22.135+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1133,24399,,,-1,-1,18,-1,0,-1,123,104.115.33.124,,142,,
3,,2019-10-12T08:00:22.172+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,738,,,0,160,0,0,1,128,101,104.115.33.124,,263,,
4,,2019-10-12T08:00:22.172+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,582,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,920,21576,,,0,161,2,0,2,128,115,104.115.33.124,,282,,
5,,2019-10-12T08:00:22.173+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,920,22144,,,0,156,3,0,2,127,127,104.115.33.124,,289,,
6,,2019-10-12T08:00:22.175+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,989,348718,,,0,162,231,0,0,131,119,104.115.33.124,,513,,
7,,2019-10-12T08:00:22.177+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1130,4918,,,0,168,1,0,1,134,99,104.115.33.124,,270,,
8,,2019-10-12T08:00:22.281+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,960,214320,,,-1,-1,251,-1,0,-1,118,104.115.33.124,,371,,
9,,2019-10-12T08:00:22.285+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,567,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,960,206694,,,-1,-1,150,-1,0,-1,112,104.115.33.124,,263,,
10,,2019-10-12T08:00:23.339+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/TheatersPage.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,986,11942,,,-1,-1,0,-1,0,-1,145,104.115.33.124,,146,,
11,,2019-10-12T08:00:23.339+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/AtHomePage.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,986,13244,,,-1,-1,0,-1,0,-1,144,104.115.33.124,,145,,
12,,2019-10-12T08:00:23.489+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/MoviePage.js,HTTP/1.1,557,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,987,33607,,,-1,-1,30,-1,0,-1,102,104.115.33.124,,133,,
13,,2019-10-12T08:00:23.491+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1130,2035,,,-1,-1,0,-1,0,-1,104,104.115.33.124,,106,,
14,,2019-10-12T08:00:23.493+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/LocationPage.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,985,7724,,,-1,-1,0,-1,0,-1,98,104.115.33.124,,99,,
15,,2019-10-12T08:00:25.126+03:00,GET,https://sb.scorecardresearch.com/beacon.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,283,902,,,0,2009,0,34,0,1979,97,104.106.196.99,,2143,,
16,,2019-10-12T08:00:25.235+03:00,GET,https://sb.scorecardresearch.com/b?c1=2&c2=6035083&ns__t=1570856425232&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,HTTP/1.1,510,0,,302,Moved Temporarily,HTTP/1.1,0,,,https://sb.scorecardresearch.com/b2?c1=2&c2=6035083&ns__t=1570856425232&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,663,0,,,-1,-1,0,-1,0,-1,92,104.106.196.99,,94,value,
17,,2019-10-12T08:00:25.334+03:00,GET,https://sb.scorecardresearch.com/b2?c1=2&c2=6035083&ns__t=1570856425232&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,HTTP/1.1,575,0,,204,No Content,HTTP/1.1,0,,,,250,0,,,-1,-1,0,-1,0,-1,87,104.106.196.99,,88,value,
18,,2019-10-12T08:00:26.040+03:00,GET,https://cdnssl.clicktale.net/www12/ptc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,306,11552,,,0,2873,0,85,1,2856,606,104.82.118.247,,3567,,
19,,2019-10-12T08:00:26.889+03:00,GET,https://cdnssl.clicktale.net/www/monitor-latest.js,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,19662,,,0,219,348,0,1,192,801,104.82.118.247,,1371,,
20,,2019-10-12T08:00:26.890+03:00,GET,https://cdnssl.clicktale.net/www12/pcc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js?DeploymentConfigName=Release_20190220&Version=2,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,308,17707,,,0,220,115,0,0,193,831,104.82.118.247,,1168,value,
21,,2019-10-12T08:00:27.842+03:00,GET,https://cdnssl.clicktale.net/www/WR-latest.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,18689,,,-1,-1,445,-1,0,-1,1989,104.82.118.247,,2435,,
22,,2019-10-12T08:00:29.034+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16080020_p_v13_ba.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,32210,,,0,5546,123,265,0,5506,82,143.204.192.99,,6019,,
23,,2019-10-12T08:00:29.039+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16835712_p_v13_ad.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,39685,,,0,5547,136,270,0,5511,96,143.204.192.99,,6052,,
24,,2019-10-12T08:00:29.098+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,439,46011,,,0,5972,63,34,0,5942,130,212.55.188.52,,6201,,
25,,2019-10-12T08:00:29.100+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15724355_p_v13_aa.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,449,9890,,,0,5611,0,267,0,5573,127,143.204.192.99,,6007,,
26,,2019-10-12T08:00:29.100+03:00,GET,https://consent.truste.com/notice?domain=fandango.com&c=teconsent&js=bb&noticeType=bb,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript;charset=ISO-8859-1,,,555,88,,,0,6103,0,90,0,6082,136,143.204.192.32,,6331,value,
27,,2019-10-12T08:00:29.102+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13864403_p_v13_as.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,23404,,,0,5603,3,276,0,5572,167,143.204.192.99,,6051,,
28,,2019-10-12T08:00:29.122+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16356852_p_v13_ax.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,40503,,,0,5633,37,267,0,5594,162,143.204.192.99,,6102,,
29,,2019-10-12T08:00:29.124+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17317566_p_v13_aa.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,44077,,,0,5635,88,266,0,5596,117,143.204.192.99,,6108,,
30,,2019-10-12T08:00:29.238+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16624487_p_v13_aa.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,31556,,,-1,-1,45,-1,0,-1,86,143.204.192.99,,132,,
