,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:26:40.033+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,428,2122,,,0,3509,22,130,2,3475,118,167.99.137.12,,3784,
1,,2019-10-12T08:26:40.217+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,-1,3,-1,2,-1,104,167.99.137.12,,110,
2,,2019-10-12T08:26:40.345+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,1246,,,-1,-1,2,-1,1,-1,104,167.99.137.12,,109,value
3,,2019-10-12T08:26:40.415+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,0,183,0,0,0,150,97,167.99.137.12,,282,
4,,2019-10-12T08:26:41.254+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,997,102,23,0,969,120,172.217.16.194,,1246,
5,,2019-10-12T08:26:42.172+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,0,1941,0,1,0,1916,98,172.217.23.138,,2042,value
6,,2019-10-12T08:26:42.191+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,1960,0,0,0,1927,97,172.217.23.138,,2059,value
7,,2019-10-12T08:26:42.449+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,137,-1,0,-1,106,172.217.16.194,,244,
8,,2019-10-12T08:26:42.716+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,37,-1,0,-1,110,172.217.16.194,,148,
9,,2019-10-12T08:26:44.398+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,1906,0,20,172,1886,105,216.58.208.34,,2205,value
10,,2019-10-12T08:26:44.969+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,0,4655,1,82,294,4632,94,104.24.109.21,,5128,
11,,2019-10-12T08:26:46.933+03:00,GET,https://fonts.gstatic.com/s/josefinslab/v10/lW-5wjwOK3Ps5GSJlNNkMalnqg6v.woff2,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,37264,,,0,1976,84,0,1,1814,107,172.217.21.227,,2170,
12,,2019-10-12T08:26:47.129+03:00,GET,https://fonts.gstatic.com/s/cookie/v11/syky-y18lb0tSbf9kgqS.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,14456,,,-1,-1,11,-1,0,-1,85,172.217.21.227,,96,
13,,2019-10-12T08:26:47.817+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,5337,0,31,0,5306,114,172.217.16.194,,5484,value
14,,2019-10-12T08:26:48.744+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,6394,30,36,1,6365,95,172.217.18.8,,6558,
15,,2019-10-12T08:26:48.918+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1038467405&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=908862428&utmr=-&utmp=%2F&utmht=1570858008910&utmac=UA-35944549-1&utmcc=__utma%3D17164284.81784010.1570858007.1570858007.1570858007.1%3B%2B__utmz%3D17164284.1570858009.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1312419292&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAQAAAAE~,HTTP/1.1,862,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,-1,0,-1,87,172.217.18.8,,88,value
16,,2019-10-12T08:26:48.981+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,537,28700,,,0,6641,58,31,0,6612,91,192.229.233.25,,6824,
17,,2019-10-12T08:26:49.394+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,598,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,-1,2,-1,0,-1,100,192.229.233.25,,103,value
