,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.blocked,timings.receive,timings.connect,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:36:18.899+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,3344,0,12,3385,2,167,118,188.166.32.155,,3687,,
1,,2019-10-12T15:36:19.090+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,-1,-1,1,-1,1,-1,107,188.166.32.155,,111,,
2,,2019-10-12T15:36:19.207+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,-1,-1,0,-1,2,-1,102,188.166.32.155,,105,,
3,,2019-10-12T15:36:19.316+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,-1,-1,0,-1,0,-1,91,188.166.32.155,,93,,
4,,2019-10-12T15:36:19.410+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,-1,-1,0,-1,1,-1,105,188.166.32.155,,107,,
5,,2019-10-12T15:36:19.425+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,261,0,0,298,1,0,102,188.166.32.155,,403,,
6,,2019-10-12T15:36:20.658+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,1158,0,59,1193,1,29,100,93.184.220.66,,1383,,
7,,2019-10-12T15:36:20.856+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.pointerpointer.com,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,-1,9,-1,0,-1,90,93.184.220.66,,101,value,
8,,2019-10-12T15:36:21.573+03:00,GET,https://code.jquery.com/jquery-1.4.4.min.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,484,27078,,,2079,0,50,2109,1,36,96,209.197.3.24,,2294,,
9,,2019-10-12T15:36:21.745+03:00,GET,https://www.pointerpointer.com/js/Grid.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,445,,,-1,-1,0,-1,0,-1,101,188.166.32.155,,102,,
