,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:59:35.488+03:00,GET,https://thisissand.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,250,5447,,,2,227,1,1413,5,0,1463,198.58.116.172,,1700,
1,,2019-10-12T15:59:35.751+03:00,GET,https://thisissand.com/dist/bundle.min.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css,,,235,52817,,,2,382,-1,-1,169,-1,-1,198.58.116.172,,554,
2,,2019-10-12T15:59:36.310+03:00,GET,https://thisissand.com/dist/bundle.min.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,251,976080,,,1,212,-1,-1,757,-1,-1,198.58.116.172,,971,
3,,2019-10-12T15:59:36.363+03:00,GET,https://thisissand.com/assets/images/appStoreBadge.png,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,image/png,,,234,3531,,,0,207,0,572,0,0,613,198.58.116.172,,821,
4,,2019-10-12T15:59:36.363+03:00,GET,https://thisissand.com/assets/images/playStoreBadge.png,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/png,,,235,8120,,,0,210,0,575,0,0,616,198.58.116.172,,827,
5,,2019-10-12T15:59:36.580+03:00,GET,https://thisissand.com/assets/images/instagram.png,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,image/png,,,234,2731,,,0,211,-1,-1,0,-1,-1,198.58.116.172,,212,
6,,2019-10-12T15:59:36.580+03:00,GET,https://thisissand.com/assets/images/facebook.png,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/png,,,234,2236,,,0,204,-1,-1,0,-1,-1,198.58.116.172,,205,
7,,2019-10-12T15:59:36.796+03:00,GET,https://thisissand.com/assets/images/twitter.png,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,image/png,,,234,2605,,,0,204,-1,-1,0,-1,-1,198.58.116.172,,205,
8,,2019-10-12T15:59:36.796+03:00,GET,https://thisissand.com/assets/images/tumblr.png,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/png,,,234,2344,,,0,204,-1,-1,0,-1,-1,198.58.116.172,,205,
9,,2019-10-12T15:59:38.601+03:00,GET,https://d2wy8f7a9ursnm.cloudfront.net/bugsnag-2.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,541,2962,,,0,117,41,2773,1,0,2806,143.204.194.226,,2968,
10,,2019-10-12T15:59:38.738+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,0,204,-1,-1,556,-1,-1,198.58.116.172,,761,
11,,2019-10-12T15:59:38.739+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,0,385,-1,-1,780,-1,-1,198.58.116.172,,1166,
12,,2019-10-12T15:59:39.023+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,1,378,-1,-1,3,-1,-1,198.58.116.172,,382,
13,,2019-10-12T15:59:39.023+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,0,395,0,586,3,0,628,198.58.116.172,,1028,
14,,2019-10-12T15:59:40.032+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,90,31,2682,29,0,2709,172.217.22.110,,2861,
15,,2019-10-12T15:59:40.173+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=748202636&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAAAB~&jid=1364779622&gjid=1161933168&cid=714664730.1570885180&tid=UA-8120964-1&_gid=1080346193.1570885180&_r=1&z=1114093066,HTTP/1.1,667,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,103,-1,-1,0,-1,-1,172.217.22.110,,103,value
