,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T19:10:00.187+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,214,2,163,2157,2322,0,171,209.95.52.192,,2876,
1,,2019-09-28T19:10:00.535+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,1,216,-1,-1,-1,954,209.95.52.192,,1172,
2,,2019-09-28T19:10:00.773+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,2,206,180,355,0,2,209.95.52.192,,566,
3,,2019-09-28T19:10:00.773+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,2,213,180,354,0,409,209.95.52.192,,979,
4,,2019-09-28T19:10:00.773+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,1,208,181,351,0,795,209.95.52.192,,1356,
5,,2019-09-28T19:10:00.774+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,0,213,183,355,0,2,209.95.52.192,,572,
6,,2019-09-28T19:10:00.981+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,0,216,227,443,0,519,209.95.52.192,,1180,
7,,2019-09-28T19:10:01.415+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,0,167,-1,-1,-1,0,209.95.52.192,,168,
8,,2019-09-28T19:10:01.787+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,0,156,-1,-1,-1,163,209.95.52.192,,320,
9,,2019-09-28T19:10:02.113+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,0,157,-1,-1,-1,0,209.95.52.192,,158,
