,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T19:11:33.872+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,4,174,295,-1,7,198,0,45.55.57.141,,681,,
1,,2019-09-28T19:11:34.600+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,4,155,-1,-1,1,-1,-1,45.55.57.141,,161,,
2,,2019-09-28T19:11:34.606+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,538,26581,,,1,89,13,-1,133,67,0,172.217.18.2,,304,,
3,,2019-09-28T19:11:34.607+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,1,159,1,-1,16,160,0,45.55.57.141,,339,,
4,,2019-09-28T19:11:34.802+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,0,155,-1,-1,2,-1,-1,45.55.57.141,,158,,
5,,2019-09-28T19:11:37.906+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,2,89,13,2595,3,2663,0,172.217.18.2,,2772,value,
6,,2019-09-28T19:11:37.941+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,1,73,0,3237,1,3299,0,216.58.205.228,,3377,,
7,,2019-09-28T19:11:38.909+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,1,75,14,3603,17,3667,0,172.217.18.2,,3775,value,
8,,2019-09-28T19:11:40.435+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20190924/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,815,85563,,,1,107,0,5142,315,5209,0,172.217.18.2,,5634,,
9,,2019-09-28T19:11:40.671+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,0,64,0,2519,344,2626,0,172.217.21.195,,3037,,
