,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:05:50.037+03:00,GET,http://youarelistening.to/,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,216,3716,,,45,0,23,797,5,243,-1,69.163.153.84,,1114,,
1,,2019-10-08T16:05:51.234+03:00,GET,http://youarelistening.to/css/style.css,HTTP/1.1,347,0,,200,OK,HTTP/1.1,0,text/css,,,268,2286,,,-1,-1,0,269,4,-1,-1,69.163.153.84,,275,,
2,,2019-10-08T16:05:51.239+03:00,GET,http://code.jquery.com/jquery-2.1.0.min.js,HTTP/1.1,332,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,29288,,,25,0,31,119,2,40,-1,209.197.3.24,,220,,
3,,2019-10-08T16:05:51.240+03:00,GET,http://ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,491,3974,,,23,0,4,106,1,42,-1,172.217.23.106,,179,,
4,,2019-10-08T16:05:51.240+03:00,GET,http://code.jquery.com/ui/1.10.4/jquery-ui.min.js,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,61269,,,26,0,122,128,1,40,-1,209.197.3.24,,318,,
5,,2019-10-08T16:05:51.241+03:00,GET,http://youarelistening.to/js/code.js?random=5d9c8dc1275d9,HTTP/1.1,350,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2956,,,35,0,0,505,2,1,-1,69.163.153.84,,545,value,
6,,2019-10-08T16:05:51.241+03:00,GET,http://code.jquery.com/ui/1.10.4/themes/smoothness/jquery-ui.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,404,7336,,,25,0,5,131,1,39,-1,209.197.3.24,,203,,
7,,2019-10-08T16:05:51.241+03:00,GET,http://connect.soundcloud.com/sdk.js,HTTP/1.1,333,0,,200,OK,HTTP/1.1,0,application/javascript,,,634,11618,,,36,0,2,90,7,162,-1,143.204.192.12,,300,,
8,,2019-10-08T16:05:51.243+03:00,GET,http://youarelistening.to/images/button_back.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,249,906,,,35,0,0,425,1,0,-1,69.163.153.84,,464,,
9,,2019-10-08T16:05:51.243+03:00,GET,http://w.soundcloud.com/player/api.js,HTTP/1.1,328,0,,301,Moved Permanently,HTTP/1.1,0,,,https://w.soundcloud.com/player/api.js,386,0,,,24,0,2,118,1,39,-1,143.204.192.87,,186,,
10,,2019-10-08T16:05:51.308+03:00,GET,http://youarelistening.to/images/button_pause.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,249,680,,,30,0,0,427,1,0,-1,69.163.153.84,,459,,
11,,2019-10-08T16:05:51.515+03:00,GET,http://fonts.googleapis.com/css?family=Fugaz+One,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,486,291,,,30,0,0,118,0,42,-1,216.58.207.42,,192,value,
