,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:39:49.445+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,662,3831,,,16,0,1401,189,3,1360,189,151.101.18.133,,1799,
1,,2019-10-08T16:39:49.714+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,663,14491,,,53,-1,-1,-1,0,-1,177,151.101.18.133,,231,
2,,2019-10-08T16:39:49.862+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,27315,,,79,0,155,0,1,111,91,151.101.18.133,,328,
3,,2019-10-08T16:39:49.877+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,115779,,,181,0,160,0,1,112,169,151.101.18.133,,512,
4,,2019-10-08T16:39:49.877+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,59912,,,150,0,163,0,0,119,96,151.101.18.133,,411,
5,,2019-10-08T16:39:52.584+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,1,0,2871,0,0,2823,109,151.101.194.109,,2984,value
6,,2019-10-08T16:39:52.924+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,2,-1,-1,-1,0,-1,131,151.101.18.133,,134,
7,,2019-10-08T16:39:52.930+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,400,,,0,-1,-1,-1,0,-1,126,151.101.18.133,,127,
8,,2019-10-08T16:39:52.980+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,13964,,,0,-1,-1,-1,0,-1,111,151.101.18.133,,112,
9,,2019-10-08T16:39:53.074+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,14636,,,12,-1,-1,-1,0,-1,120,151.101.18.133,,133,
