,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T18:53:22.464+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,36508,,,1757,0,65,2,625,1712,40,31.13.92.36,,2491,,
1,facebook,2019-10-11T18:53:24.748+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,1480,0,68,1,108,1442,29,31.13.92.14,,1688,value,
2,facebook,2019-10-11T18:53:24.770+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,1501,0,11,0,116,1464,31,31.13.92.14,,1662,value,
3,facebook,2019-10-11T18:53:24.773+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,1505,0,70,0,102,1468,31,31.13.92.14,,1710,value,
4,facebook,2019-10-11T18:53:24.784+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,1517,0,46,0,114,1487,29,31.13.92.14,,1708,value,
5,facebook,2019-10-11T18:53:24.789+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,1521,0,18,0,96,1484,31,31.13.92.14,,1669,value,
6,facebook,2019-10-11T18:53:24.794+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,1526,0,34,0,114,1497,29,31.13.92.14,,1705,value,
7,facebook,2019-10-11T18:53:24.927+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,12,0,108,-1,-1,31.13.92.14,,121,value,
8,facebook,2019-10-11T18:53:24.927+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,-1,133,0,114,-1,-1,31.13.92.14,,249,value,
9,facebook,2019-10-11T18:53:25.184+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,230,0,53,0,113,196,0,31.13.92.14,,398,,
