,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T18:59:02.351+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31738,,,0,60,2345,591,2294,2,40,31.13.92.36,,3040,,
1,facebook,2019-10-11T18:59:04.563+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,0,99,1409,110,1371,1,26,31.13.92.14,,1647,value,
2,facebook,2019-10-11T18:59:04.575+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,25,1420,97,1392,0,28,31.13.92.14,,1572,value,
3,facebook,2019-10-11T18:59:04.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,0,98,1430,93,1393,1,27,31.13.92.14,,1650,value,
4,facebook,2019-10-11T18:59:04.589+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,0,36,1436,115,1398,0,27,31.13.92.14,,1615,value,
5,facebook,2019-10-11T18:59:04.593+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,0,1440,110,1402,0,25,31.13.92.14,,1577,value,
6,facebook,2019-10-11T18:59:04.599+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,30,1446,108,1417,0,27,31.13.92.14,,1612,value,
7,facebook,2019-10-11T18:59:04.730+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,127,-1,100,-1,0,-1,31.13.92.14,,228,value,
8,facebook,2019-10-11T18:59:04.730+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,3,-1,103,-1,0,-1,31.13.92.14,,107,value,
9,facebook,2019-10-11T18:59:05.010+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,66,263,100,231,0,0,31.13.92.14,,431,,
10,facebook,2019-10-11T18:59:05.012+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,262,96,232,0,0,31.13.92.14,,361,,
11,facebook,2019-10-11T18:59:05.114+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,131,-1,95,-1,0,-1,31.13.92.14,,227,,
12,facebook,2019-10-11T18:59:05.183+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,7,-1,102,-1,0,-1,31.13.92.14,,110,,
13,facebook,2019-10-11T18:59:05.213+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,2,153,92,124,1,0,31.13.92.14,,250,,
14,facebook,2019-10-11T18:59:05.213+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,25,153,87,124,0,0,31.13.92.14,,267,,
15,facebook,2019-10-11T18:59:05.273+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yl/l/he_IL/oLXEoP-22nD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348779,,,-1,184,-1,114,-1,0,-1,31.13.92.14,,299,value,
16,facebook,2019-10-11T18:59:05.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y5/l/he_IL/oCzfxaJWeI7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17358,,,-1,35,-1,111,-1,0,-1,31.13.92.14,,148,value,
17,facebook,2019-10-11T18:59:05.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,113,-1,107,-1,0,-1,31.13.92.14,,222,value,
18,facebook,2019-10-11T18:59:05.709+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,-1,78,-1,100,-1,0,-1,31.13.92.14,,179,value,
19,facebook,2019-10-11T18:59:05.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,3,-1,105,-1,0,-1,31.13.92.14,,109,value,
20,facebook,2019-10-11T18:59:05.712+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,-1,36,-1,141,-1,0,-1,31.13.92.14,,178,value,
21,facebook,2019-10-11T18:59:05.832+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,-1,52,-1,120,-1,0,-1,31.13.92.14,,173,value,
22,facebook,2019-10-11T18:59:05.845+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,191,-1,0,-1,31.13.92.36,,193,,
23,facebook,2019-10-11T18:59:05.860+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,-1,2,-1,99,-1,0,-1,31.13.92.14,,102,value,
24,facebook,2019-10-11T18:59:05.891+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,2,-1,92,-1,0,-1,31.13.92.14,,95,value,
25,facebook,2019-10-11T18:59:05.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,-1,34,-1,92,-1,0,-1,31.13.92.14,,127,value,
26,facebook,2019-10-11T18:59:05.936+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,1,-1,90,-1,0,-1,31.13.92.14,,93,value,
27,facebook,2019-10-11T18:59:05.965+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,5,-1,92,-1,0,-1,31.13.92.14,,97,value,
28,facebook,2019-10-11T18:59:05.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,2,-1,92,-1,0,-1,31.13.92.14,,96,value,
29,facebook,2019-10-11T18:59:06.041+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,184,-1,0,-1,31.13.92.36,,186,,
30,facebook,2019-10-11T18:59:06.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,87,-1,0,-1,31.13.92.14,,88,,
31,facebook,2019-10-11T18:59:07.922+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43431,,,0,135,1864,283,1837,0,0,31.13.92.36,,2285,value,
32,facebook,2019-10-11T18:59:08.063+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,2,-1,99,-1,0,-1,31.13.92.14,,102,value,
33,facebook,2019-10-11T18:59:08.113+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,3095,189,3062,0,0,31.13.92.36,,3287,,
34,facebook,2019-10-11T18:59:08.247+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,1,-1,99,-1,0,-1,31.13.92.14,,102,value,
35,facebook,2019-10-11T18:59:08.247+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,101,-1,103,-1,0,-1,31.13.92.14,,206,value,
