,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T15:33:16.658+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32170,,,2,1422,224,30,1466,0,78,31.13.92.36,,1801,,
1,facebook,2019-10-12T15:33:19.224+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,0,2156,95,0,2188,0,15,31.13.92.14,,2299,value,
2,facebook,2019-10-12T15:33:19.224+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,0,2127,104,0,2159,0,34,31.13.92.14,,2299,value,
3,facebook,2019-10-12T15:33:19.224+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,2156,122,0,2191,0,52,31.13.92.14,,2367,value,
4,facebook,2019-10-12T15:33:19.224+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,2173,132,0,2199,0,0,31.13.92.14,,2333,value,
5,facebook,2019-10-12T15:33:19.240+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,0,2163,112,0,2202,0,2,31.13.92.14,,2318,value,
6,facebook,2019-10-12T15:33:19.240+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,0,2180,128,1,2209,0,12,31.13.92.14,,2353,value,
7,facebook,2019-10-12T15:33:19.365+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,0,-1,96,-1,-1,-1,136,31.13.92.14,,234,value,
8,facebook,2019-10-12T15:33:19.365+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,0,-1,103,-1,-1,-1,3,31.13.92.14,,107,value,
9,facebook,2019-10-12T15:33:19.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,207,110,0,246,0,73,31.13.92.14,,431,,
10,facebook,2019-10-12T15:33:19.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,216,105,0,255,0,1,31.13.92.14,,363,,
11,facebook,2019-10-12T15:33:19.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,0,-1,111,-1,-1,-1,144,31.13.92.14,,257,,
12,facebook,2019-10-12T15:33:19.841+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,0,-1,99,-1,-1,-1,8,31.13.92.14,,109,,
13,facebook,2019-10-12T15:33:19.860+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,136,100,0,158,0,1,31.13.92.14,,261,,
14,facebook,2019-10-12T15:33:19.866+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,0,134,95,0,163,0,39,31.13.92.14,,299,,
15,facebook,2019-10-12T15:33:19.919+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,0,-1,110,-1,-1,-1,69,31.13.92.14,,180,value,
16,facebook,2019-10-12T15:33:19.919+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,0,-1,110,-1,-1,-1,171,31.13.92.14,,283,value,
17,facebook,2019-10-12T15:33:19.920+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,0,-1,114,-1,-1,-1,102,31.13.92.14,,217,value,
18,facebook,2019-10-12T15:33:19.922+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/H2indV4tLkk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30462,,,0,-1,121,-1,-1,-1,52,31.13.92.14,,174,value,
19,facebook,2019-10-12T15:33:20.291+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,1,-1,106,-1,-1,-1,10,31.13.92.14,,117,value,
20,facebook,2019-10-12T15:33:20.292+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,111,-1,-1,-1,2,31.13.92.14,,114,value,
21,facebook,2019-10-12T15:33:20.292+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,0,-1,103,-1,-1,-1,3,31.13.92.14,,107,value,
22,facebook,2019-10-12T15:33:20.295+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yU/l/he_IL/4A_AIRvK6i6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35402,,,0,-1,111,-1,-1,-1,19,31.13.92.14,,131,value,
23,facebook,2019-10-12T15:33:20.296+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,0,-1,110,-1,-1,-1,7,31.13.92.14,,119,value,
24,facebook,2019-10-12T15:33:20.393+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y1/l/he_IL/qH31EnYY7Iq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191593,,,1,-1,98,-1,-1,-1,102,31.13.92.14,,203,value,
