,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T15:47:58.994+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32140,,,6216,0,83,2,214,6170,81,31.13.92.36,,6598,,
1,facebook,2019-10-12T15:48:01.025+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,1620,0,40,0,124,1582,25,31.13.92.14,,1812,value,
2,facebook,2019-10-12T15:48:01.041+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,1633,0,18,0,115,1604,26,31.13.92.14,,1794,value,
3,facebook,2019-10-12T15:48:01.041+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,1633,0,72,0,101,1604,31,31.13.92.14,,1839,value,
4,facebook,2019-10-12T15:48:01.041+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,1639,0,0,0,131,1601,25,31.13.92.14,,1797,value,
5,facebook,2019-10-12T15:48:01.056+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,1642,0,0,0,130,1606,27,31.13.92.14,,1802,value,
6,facebook,2019-10-12T15:48:01.056+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,1644,0,21,0,124,1607,27,31.13.92.14,,1817,value,
7,facebook,2019-10-12T15:48:01.213+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,-1,14,0,111,-1,-1,31.13.92.14,,126,value,
8,facebook,2019-10-12T15:48:01.213+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,119,1,130,-1,-1,31.13.92.14,,252,value,
9,facebook,2019-10-12T15:48:01.447+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,232,0,92,0,96,195,0,31.13.92.14,,422,,
10,facebook,2019-10-12T15:48:01.447+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,236,0,1,0,97,199,0,31.13.92.14,,336,,
11,facebook,2019-10-12T15:48:01.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,126,0,106,-1,-1,31.13.92.14,,233,,
12,facebook,2019-10-12T15:48:01.651+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,-1,-1,26,0,96,-1,-1,31.13.92.14,,123,,
13,facebook,2019-10-12T15:48:01.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,175,0,1,1,104,144,0,31.13.92.14,,282,,
14,facebook,2019-10-12T15:48:01.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,176,0,87,0,98,145,0,31.13.92.14,,362,,
15,facebook,2019-10-12T15:48:01.772+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/g20e7k7_9UU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99749,,,-1,-1,73,0,106,-1,-1,31.13.92.14,,180,value,
16,facebook,2019-10-12T15:48:01.772+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yb/l/he_IL/BZ1EVa126Nm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162451,,,-1,-1,202,0,107,-1,-1,31.13.92.14,,310,value,
17,facebook,2019-10-12T15:48:01.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/8iNCynpH6qY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30443,,,-1,-1,65,0,99,-1,-1,31.13.92.14,,165,value,
18,facebook,2019-10-12T15:48:01.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/9Htko6RYJte.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52323,,,-1,-1,105,0,109,-1,-1,31.13.92.14,,215,value,
19,facebook,2019-10-12T15:48:03.035+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,7,0,117,-1,-1,31.13.92.14,,125,value,
20,facebook,2019-10-12T15:48:03.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,-1,-1,10,0,140,-1,-1,31.13.92.14,,151,value,
21,facebook,2019-10-12T15:48:03.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yI/l/he_IL/F538txFikEn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35351,,,-1,-1,62,0,120,-1,-1,31.13.92.14,,183,value,
22,facebook,2019-10-12T15:48:03.038+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yP/l/he_IL/JkTvJW1rrSm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27531,,,-1,-1,47,0,104,-1,-1,31.13.92.14,,153,value,
23,facebook,2019-10-12T15:48:03.039+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,-1,-1,1,0,136,-1,-1,31.13.92.14,,138,value,
24,facebook,2019-10-12T15:48:03.056+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/2RM9LEznOcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23422,,,-1,-1,5,0,131,-1,-1,31.13.92.14,,137,value,
25,facebook,2019-10-12T15:48:03.067+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1549,0,0,0,137,1522,0,31.13.92.36,,1689,,
26,facebook,2019-10-12T15:48:03.188+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y8/l/he_IL/-pTlBAnO2Nx.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191464,,,-1,-1,100,0,122,-1,-1,31.13.92.14,,223,value,
27,facebook,2019-10-12T15:48:03.204+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yE/l/he_IL/y5XzeB9mmta.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6206,,,-1,-1,9,0,99,-1,-1,31.13.92.14,,109,value,
28,facebook,2019-10-12T15:48:03.204+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yc/l/he_IL/5ERr9PHWVEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34093,,,-1,-1,17,0,125,-1,-1,31.13.92.14,,143,value,
29,facebook,2019-10-12T15:48:03.204+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yG/l/he_IL/ZRTZJL9oJ0K.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14265,,,-1,-1,6,0,116,-1,-1,31.13.92.14,,123,value,
30,facebook,2019-10-12T15:48:03.204+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/y6/l/he_IL/bxKiSX0k_FB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31852,,,-1,-1,19,0,105,-1,-1,31.13.92.14,,124,value,
31,facebook,2019-10-12T15:48:03.220+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/-ky5JgleyuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45848,,,-1,-1,86,0,127,-1,-1,31.13.92.14,,214,value,
32,facebook,2019-10-12T15:48:03.238+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,0,125,-1,-1,31.13.92.36,,127,,
33,facebook,2019-10-12T15:48:03.318+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/VBihrNvrMjC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5255,,,-1,-1,4,0,100,-1,-1,31.13.92.14,,105,value,
34,facebook,2019-10-12T15:48:03.336+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,1,0,102,-1,-1,31.13.92.14,,104,value,
35,facebook,2019-10-12T15:48:03.343+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,-1,-1,7,0,101,-1,-1,31.13.92.14,,109,value,
36,facebook,2019-10-12T15:48:03.356+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,-1,-1,2,0,100,-1,-1,31.13.92.14,,102,value,
37,facebook,2019-10-12T15:48:03.370+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,0,121,-1,-1,31.13.92.36,,122,,
38,facebook,2019-10-12T15:48:03.603+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,0,117,-1,-1,31.13.92.14,,118,,
39,facebook,2019-10-12T15:48:05.586+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44512,,,1916,0,107,0,289,1882,0,31.13.92.36,,2314,value,
40,facebook,2019-10-12T15:48:05.895+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,0,0,110,-1,-1,31.13.92.14,,111,value,
41,facebook,2019-10-12T15:48:05.895+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,-1,7,0,106,-1,-1,31.13.92.14,,113,value,
42,facebook,2019-10-12T15:48:05.896+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,-1,74,0,113,-1,-1,31.13.92.14,,188,value,
43,facebook,2019-10-12T15:48:05.902+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,68,0,94,-1,-1,31.13.92.14,,163,value,
44,facebook,2019-10-12T15:48:05.910+03:00,GET,https://cx.atdmt.com/?f=AYwnYzi19Ewip-KEZ9OEPjWdy8X1EMgK7WmsAhukbC5dXPRbe0OyGZYf11avgIfqHBkeuOnGKw_w6kM4jSNWdAR1&c=536689289&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,2202,0,0,0,123,2166,29,31.13.92.2,,2356,value,
45,facebook,2019-10-12T15:48:07.728+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1807,0,4,0,110,1777,36,172.217.18.4,,1959,,
46,facebook,2019-10-12T15:48:07.975+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,101,0,126,-1,-1,31.13.92.14,,228,value,
47,facebook,2019-10-12T15:48:07.975+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,1,0,102,-1,-1,31.13.92.14,,104,value,
48,facebook,2019-10-12T15:48:07.976+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,16,0,110,-1,-1,31.13.92.14,,127,value,
