,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,facebook,0,,421,HTTP/1.1,GET,,https://www.facebook.com/,,21888,,,"text/html; charset=""utf-8""",0,1504,HTTP/1.1,,200,OK,31.13.90.36,2019-10-16T11:28:26.144+03:00,4854,0,,4430,22,146,21,4323,233
1,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",,19927,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.872+03:00,1342,0,,1176,20,41,13,1077,91
2,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",,12847,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.877+03:00,1427,0,,1183,23,39,2,1087,179
3,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",,5364,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.878+03:00,1435,0,,1176,18,10,5,1070,223
4,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/sd8TFWrovXb.css?_nc_x=Ij3Wp8lg5Kz",,39611,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.879+03:00,1544,0,,1178,16,206,4,1081,137
5,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yb/l/0,cross/QzlxInBkjSi.css?_nc_x=Ij3Wp8lg5Kz",,1420,,,text/css; charset=utf-8,0,579,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.902+03:00,1514,0,,1204,17,4,0,1107,286
6,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/v8_Dop494O-.css?_nc_x=Ij3Wp8lg5Kz",,8565,,,text/css; charset=utf-8,0,579,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:27.906+03:00,1572,0,,1210,17,16,1,1103,325
7,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",,4831,,,text/css; charset=utf-8,0,579,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:28.022+03:00,240,-1,,-1,-1,8,2,-1,228
8,,facebook,0,,450,HTTP/1.1,GET,value,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/M8jo7sXxPhE.css?_nc_x=Ij3Wp8lg5Kz",,17888,,,text/css; charset=utf-8,0,580,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:28.103+03:00,337,-1,,-1,-1,63,0,-1,273
9,,facebook,0,,426,HTTP/1.1,GET,value,https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/ylJHkpJQk2M.js?_nc_x=Ij3Wp8lg5Kz,,80961,,,application/x-javascript; charset=utf-8,0,597,HTTP/1.1,,200,OK,31.13.90.6,2019-10-16T11:28:28.123+03:00,1513,-1,,-1,-1,1220,0,-1,293
