,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T14:11:40.061+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31884,,,217,2,4459,36,4500,55,0,157.240.1.35,,4812,,
1,facebook,2019-10-11T14:11:42.502+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,151,1,2007,6,2049,73,0,157.240.1.23,,2283,value,
2,facebook,2019-10-11T14:11:42.508+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,113,0,2012,7,2056,17,0,157.240.1.23,,2196,value,
3,facebook,2019-10-11T14:11:42.508+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,149,0,2021,3,2056,62,0,157.240.1.23,,2273,value,
4,facebook,2019-10-11T14:11:42.512+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,130,0,2024,4,2059,27,0,157.240.1.23,,2223,value,
5,facebook,2019-10-11T14:11:42.516+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,106,0,2021,4,2064,22,0,157.240.1.23,,2198,value,
6,facebook,2019-10-11T14:11:42.521+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,97,0,2027,3,2070,16,0,157.240.1.23,,2188,value,
7,facebook,2019-10-11T14:11:42.683+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,95,0,-1,-1,-1,6,-1,157.240.1.23,,102,value,
8,facebook,2019-10-11T14:11:42.683+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,101,0,-1,-1,-1,125,-1,157.240.1.23,,227,value,
9,facebook,2019-10-11T14:11:42.683+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,91,0,-1,-1,-1,30,-1,157.240.1.23,,123,value,
10,facebook,2019-10-11T14:11:42.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,79,0,156,0,190,69,0,157.240.1.23,,340,,
11,facebook,2019-10-11T14:11:42.894+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,92,0,129,0,154,1,0,157.240.1.23,,249,,
12,facebook,2019-10-11T14:11:43.006+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,86,0,-1,-1,-1,151,-1,157.240.1.23,,238,,
13,facebook,2019-10-11T14:11:43.034+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,81,0,-1,-1,-1,6,-1,157.240.1.23,,89,,
14,facebook,2019-10-11T14:11:43.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,84,0,-1,-1,-1,1,-1,157.240.1.23,,87,,
15,facebook,2019-10-11T14:11:43.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,98,1,117,0,139,19,0,157.240.1.23,,258,,
16,facebook,2019-10-11T14:11:43.253+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yM/l/he_IL/yKDjRJ3j-0V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347826,,,94,0,-1,-1,-1,160,-1,157.240.1.23,,255,value,
17,facebook,2019-10-11T14:11:43.657+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,106,0,-1,-1,-1,7,-1,157.240.1.23,,115,value,
18,facebook,2019-10-11T14:11:43.657+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,92,0,-1,-1,-1,62,-1,157.240.1.23,,155,value,
19,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,120,0,-1,-1,-1,25,-1,157.240.1.23,,147,value,
20,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,114,0,-1,-1,-1,5,-1,157.240.1.23,,120,value,
21,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,110,0,-1,-1,-1,6,-1,157.240.1.23,,117,value,
22,facebook,2019-10-11T14:11:43.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,93,0,-1,-1,-1,18,-1,157.240.1.23,,113,value,
23,facebook,2019-10-11T14:11:43.782+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,101,0,-1,-1,-1,2,-1,157.240.1.23,,104,value,
24,facebook,2019-10-11T14:11:43.788+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,99,0,-1,-1,-1,3,-1,157.240.1.23,,102,value,
25,facebook,2019-10-11T14:11:43.811+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,97,0,-1,-1,-1,23,-1,157.240.1.23,,121,value,
26,facebook,2019-10-11T14:11:43.817+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,81,0,-1,-1,-1,3,-1,157.240.1.23,,84,value,
27,facebook,2019-10-11T14:11:43.819+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,109,0,-1,-1,-1,0,-1,157.240.1.35,,111,,
28,facebook,2019-10-11T14:11:43.892+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,102,0,-1,-1,-1,4,-1,157.240.1.23,,107,value,
29,facebook,2019-10-11T14:11:43.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,100,0,-1,-1,-1,2,-1,157.240.1.23,,104,value,
30,facebook,2019-10-11T14:11:43.935+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,101,0,-1,-1,-1,0,-1,157.240.1.35,,103,,
31,facebook,2019-10-11T14:11:44.018+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,90,0,-1,-1,-1,0,-1,157.240.1.23,,91,,
32,facebook,2019-10-11T14:11:45.742+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,111,0,-1,-1,-1,12,-1,157.240.1.23,,124,value,
33,facebook,2019-10-11T14:11:45.812+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,116,0,2823,0,2852,0,0,157.240.1.35,,2971,,
34,facebook,2019-10-11T14:11:46.064+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43643,,,217,0,2088,0,2109,138,0,157.240.1.35,,2466,value,
