,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T17:49:49.448+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31825,,,2069,0,64,73,2,2028,320,31.13.92.36,,2531,,
1,facebook,2019-10-11T17:49:52.635+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,2658,0,79,27,1,2621,116,31.13.92.14,,2883,value,
2,facebook,2019-10-11T17:49:52.635+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,2659,0,16,25,2,2621,121,31.13.92.14,,2825,value,
3,facebook,2019-10-11T17:49:52.644+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,2668,0,109,25,0,2630,119,31.13.92.14,,2924,value,
4,facebook,2019-10-11T17:49:52.654+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,2678,0,46,31,0,2637,116,31.13.92.14,,2873,value,
5,facebook,2019-10-11T17:49:52.658+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,2681,0,0,26,0,2644,137,31.13.92.14,,2846,value,
6,facebook,2019-10-11T17:49:52.660+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,2684,0,14,24,0,2655,140,31.13.92.14,,2865,value,
7,facebook,2019-10-11T17:49:52.823+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,11,-1,0,-1,105,31.13.92.14,,118,value,
8,facebook,2019-10-11T17:49:52.823+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,-1,122,-1,0,-1,100,31.13.92.14,,223,value,
9,facebook,2019-10-11T17:49:53.053+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,224,0,77,0,0,184,96,31.13.92.14,,399,,
10,facebook,2019-10-11T17:49:53.060+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,231,0,0,0,0,191,94,31.13.92.14,,327,,
11,facebook,2019-10-11T17:49:53.159+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,170,-1,0,-1,106,31.13.92.14,,278,,
12,facebook,2019-10-11T17:49:53.232+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,-1,7,-1,0,-1,91,31.13.92.14,,99,,
13,facebook,2019-10-11T17:49:53.285+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,146,0,1,0,1,123,100,31.13.92.14,,249,,
14,facebook,2019-10-11T17:49:53.289+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,149,0,28,0,0,126,84,31.13.92.14,,263,,
15,facebook,2019-10-11T17:49:53.343+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,-1,190,-1,0,-1,94,31.13.92.14,,286,value,
16,facebook,2019-10-11T17:49:53.798+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,-1,11,-1,0,-1,127,31.13.92.14,,138,value,
17,facebook,2019-10-11T17:49:53.799+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,-1,111,-1,0,-1,137,31.13.92.14,,249,value,
18,facebook,2019-10-11T17:49:53.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,-1,53,-1,0,-1,133,31.13.92.14,,187,value,
19,facebook,2019-10-11T17:49:53.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,-1,4,-1,0,-1,130,31.13.92.14,,135,value,
20,facebook,2019-10-11T17:49:53.803+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,-1,3,-1,0,-1,124,31.13.92.14,,128,value,
21,facebook,2019-10-11T17:49:53.937+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,-1,95,-1,0,-1,105,31.13.92.14,,201,value,
22,facebook,2019-10-11T17:49:53.947+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,-1,-1,2,-1,0,-1,115,31.13.92.14,,118,value,
23,facebook,2019-10-11T17:49:53.948+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,-1,2,-1,0,-1,112,31.13.92.14,,115,value,
24,facebook,2019-10-11T17:49:53.966+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,0,-1,214,31.13.92.36,,216,,
25,facebook,2019-10-11T17:49:53.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17789,,,-1,-1,44,-1,0,-1,111,31.13.92.14,,156,value,
26,facebook,2019-10-11T17:49:54.054+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,2,-1,0,-1,91,31.13.92.14,,94,value,
27,facebook,2019-10-11T17:49:54.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,-1,8,-1,0,-1,102,31.13.92.14,,111,value,
28,facebook,2019-10-11T17:49:54.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,-1,3,-1,0,-1,106,31.13.92.14,,111,value,
29,facebook,2019-10-11T17:49:54.187+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,0,-1,179,31.13.92.36,,180,,
30,facebook,2019-10-11T17:49:54.240+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,0,-1,106,31.13.92.14,,107,,
31,facebook,2019-10-11T17:49:56.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,-1,9,-1,0,-1,114,31.13.92.14,,124,value,
32,facebook,2019-10-11T17:49:56.821+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3722,0,0,0,0,3696,190,31.13.92.36,,3914,,
33,facebook,2019-10-11T17:49:59.368+03:00,GET,https://cx.atdmt.com/?f=AYzT4yC_Sr7171hCa3Iz_-zFuYjcNUZ0PKFO8Ndopb-2FT9ksnKBKeWmO2mHMyY6wbT2VHYH6pMzha9AKJrh0rmf&c=338421101&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,4924,0,0,59,0,4884,156,31.13.92.2,,5140,value,
34,facebook,2019-10-11T17:49:59.607+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43433,,,5331,0,71,0,0,5299,408,31.13.92.36,,5812,value,
35,facebook,2019-10-11T17:50:00.040+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,-1,61,-1,0,-1,105,31.13.92.14,,167,value,
36,facebook,2019-10-11T17:50:00.040+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,1,-1,0,-1,129,31.13.92.14,,131,value,
37,facebook,2019-10-11T17:50:00.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,-1,72,-1,0,-1,99,31.13.92.14,,172,value,
38,facebook,2019-10-11T17:50:00.041+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,-1,111,-1,0,-1,104,31.13.92.14,,216,value,
39,facebook,2019-10-11T17:50:02.075+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2031,0,3,1,0,1997,114,172.217.18.4,,2151,,
