,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-12T16:04:58.549+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21999,,,2,197,1,1592,0,1635,74,31.13.92.36,,1911,
1,facebook,2019-10-12T16:05:01.085+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1,146,0,2148,0,2180,2,31.13.92.36,,2331,
2,facebook,2019-10-12T16:05:01.155+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,1,115,28,2194,0,2230,43,31.13.92.14,,2418,value
3,facebook,2019-10-12T16:05:01.165+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,0,103,27,2210,0,2246,14,31.13.92.14,,2393,value
4,facebook,2019-10-12T16:05:01.167+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,133,27,2211,0,2249,92,31.13.92.14,,2502,value
5,facebook,2019-10-12T16:05:01.167+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,110,29,2214,0,2251,25,31.13.92.14,,2419,value
6,facebook,2019-10-12T16:05:01.167+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,0,112,33,2219,0,2257,2,31.13.92.14,,2406,value
7,facebook,2019-10-12T16:05:01.175+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/ur5R_WRLt-Y.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1271,,,0,127,27,2232,0,2260,0,31.13.92.14,,2416,value
8,facebook,2019-10-12T16:05:01.301+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,3,113,-1,-1,-1,-1,23,31.13.92.14,,140,value
9,facebook,2019-10-12T16:05:01.301+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,0,93,-1,-1,-1,-1,42,31.13.92.14,,136,value
10,facebook,2019-10-12T16:05:01.317+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81238,,,0,128,-1,-1,-1,-1,118,31.13.92.14,,247,value
11,facebook,2019-10-12T16:05:01.548+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,115,0,161,0,226,79,31.13.92.14,,422,
12,facebook,2019-10-12T16:05:01.748+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,0,106,-1,-1,-1,-1,99,31.13.92.14,,207,
13,facebook,2019-10-12T16:05:01.804+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,1,92,0,127,0,164,6,31.13.92.14,,263,
14,facebook,2019-10-12T16:05:01.812+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,0,94,0,136,0,171,1,31.13.92.14,,268,
15,facebook,2019-10-12T16:05:01.816+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yj/l/he_IL/rUEIxrCQsXH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99932,,,0,111,-1,-1,-1,-1,88,31.13.92.14,,200,value
16,facebook,2019-10-12T16:05:01.817+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yQ/l/he_IL/PFlPHti78iz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162900,,,0,137,-1,-1,-1,-1,302,31.13.92.14,,440,value
17,facebook,2019-10-12T16:05:01.818+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,1,113,0,142,0,172,39,31.13.92.14,,327,
18,facebook,2019-10-12T16:05:01.820+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/U9kTI_CTBJa.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52388,,,0,99,-1,-1,-1,-1,109,31.13.92.14,,209,value
19,facebook,2019-10-12T16:05:01.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/U5Lp1skxk7H.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30471,,,0,114,-1,-1,-1,-1,45,31.13.92.14,,160,value
20,facebook,2019-10-12T16:05:02.325+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y9/l/he_IL/zCZaTXa6EOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23546,,,0,112,-1,-1,-1,-1,35,31.13.92.14,,148,value
21,facebook,2019-10-12T16:05:02.325+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,0,100,-1,-1,-1,-1,5,31.13.92.14,,106,value
22,facebook,2019-10-12T16:05:02.326+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,0,102,-1,-1,-1,-1,14,31.13.92.14,,117,value
23,facebook,2019-10-12T16:05:02.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yN/l/he_IL/Qj-pXyTfl25.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35437,,,0,140,-1,-1,-1,-1,13,31.13.92.14,,154,value
24,facebook,2019-10-12T16:05:02.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yT/l/he_IL/TezzCtIAcN7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27565,,,0,99,-1,-1,-1,-1,56,31.13.92.14,,157,value
25,facebook,2019-10-12T16:05:02.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,0,109,-1,-1,-1,-1,28,31.13.92.14,,138,value
26,facebook,2019-10-12T16:05:02.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y3/l/he_IL/5LgeP3eN4h8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191563,,,0,115,-1,-1,-1,-1,124,31.13.92.14,,239,value
27,facebook,2019-10-12T16:05:02.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yq/l/he_IL/Pvo9-g3hWm_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,0,142,-1,-1,-1,-1,4,31.13.92.14,,147,value
28,facebook,2019-10-12T16:05:02.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yG/l/he_IL/C-b9gMT4F4V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34199,,,0,149,-1,-1,-1,-1,86,31.13.92.14,,236,value
