,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-08T18:27:10.900+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31884,,,1,225,1231,2,91,1282,0,157.240.1.35,,1604,
1,facebook,2019-10-08T18:27:12.795+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,25,127,1433,0,57,1467,0,31.13.92.14,,1677,value
2,facebook,2019-10-08T18:27:12.802+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,25,99,1439,0,8,1474,0,31.13.92.14,,1608,value
3,facebook,2019-10-08T18:27:12.810+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,27,118,1447,0,27,1483,0,31.13.92.14,,1657,value
4,facebook,2019-10-08T18:27:12.813+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,23,88,1450,0,63,1486,0,31.13.92.14,,1663,value
5,facebook,2019-10-08T18:27:12.816+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,23,111,1453,1,13,1489,0,31.13.92.14,,1638,value
6,facebook,2019-10-08T18:27:12.816+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,29,122,1454,0,1,1488,0,31.13.92.14,,1642,value
7,facebook,2019-10-08T18:27:12.919+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,90,-1,1,45,-1,-1,31.13.92.14,,137,value
8,facebook,2019-10-08T18:27:12.952+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,87,-1,0,128,-1,-1,31.13.92.14,,216,value
9,facebook,2019-10-08T18:27:12.952+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,-1,101,-1,0,7,-1,-1,31.13.92.14,,108,value
10,facebook,2019-10-08T18:27:13.187+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,93,172,0,76,210,0,31.13.92.14,,380,
11,facebook,2019-10-08T18:27:13.189+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,95,185,0,1,216,0,31.13.92.14,,314,
12,facebook,2019-10-08T18:27:13.292+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,92,-1,0,161,-1,-1,31.13.92.14,,254,
13,facebook,2019-10-08T18:27:13.360+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,97,-1,0,12,-1,-1,31.13.92.14,,109,
14,facebook,2019-10-08T18:27:13.418+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,91,126,1,1,153,0,31.13.92.14,,247,
15,facebook,2019-10-08T18:27:13.434+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,103,143,1,34,171,0,31.13.92.14,,310,
16,facebook,2019-10-08T18:27:13.475+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,102,-1,0,24,-1,-1,31.13.92.14,,127,value
17,facebook,2019-10-08T18:27:13.475+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,-1,114,-1,0,157,-1,-1,31.13.92.14,,272,value
18,facebook,2019-10-08T18:27:13.476+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,104,-1,0,122,-1,-1,31.13.92.14,,228,value
