,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,facebook,2019-09-28T19:22:09.308+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232248&__s=%3An27rwj%3Air9cit&__hsi=6741761805186603643-0&__spin_r=1001232248&__spin_b=trunk&__spin_t=1569688740,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1367,1108,,,117,-1,1,-1,-1,-1,0,157.240.1.35,,118,
1,facebook,2019-09-28T19:22:09.438+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1344,31786,,,460,-1,0,-1,-1,-1,254,157.240.1.35,,715,
2,facebook,2019-09-28T19:22:09.929+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1413,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,112,105,2,0,0,208,0,157.240.1.35,,324,
3,facebook,2019-09-28T19:22:10.026+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,151,-1,1,-1,-1,-1,39,157.240.1.23,,191,
4,facebook,2019-09-28T19:22:10.026+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,692,-1,0,-1,-1,-1,3,157.240.1.23,,696,
5,facebook,2019-09-28T19:22:10.027+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,162,-1,0,-1,-1,-1,15,157.240.1.23,,178,
6,facebook,2019-09-28T19:22:10.028+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,171,-1,0,-1,-1,-1,0,157.240.1.23,,173,
7,facebook,2019-09-28T19:22:10.029+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,169,-1,0,-1,-1,-1,11,157.240.1.23,,182,
8,facebook,2019-09-28T19:22:10.053+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1509,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,733,-1,0,-1,-1,-1,0,157.240.1.35,,734,
9,facebook,2019-09-28T19:22:10.075+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,396,-1,0,-1,-1,-1,208,157.240.1.23,,604,
