,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,response._error
0,facebook,2019-09-28T19:23:50.683+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=%3Ao698ef%3At57axf&__hsi=6741762254871638346-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688845,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1367,1110,,,-1,0,861,-1,-1,1,-1,157.240.1.35,,863,
1,facebook,2019-09-28T19:23:51.553+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1344,31698,,,-1,0,234,-1,-1,418,-1,157.240.1.35,,653,
2,facebook,2019-09-28T19:23:51.863+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,-1,0,351,-1,-1,1129,-1,157.240.1.23,,1482,
3,facebook,2019-09-28T19:23:51.866+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,-1,0,462,-1,-1,192,-1,157.240.1.23,,656,
4,facebook,2019-09-28T19:23:51.866+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,0,755,-1,-1,724,-1,157.240.1.23,,1480,
5,facebook,2019-09-28T19:23:51.869+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,1,968,-1,-1,163,-1,157.240.1.23,,1133,
6,facebook,2019-09-28T19:23:51.870+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,-1,0,942,-1,-1,179,-1,157.240.1.23,,1122,
7,facebook,2019-09-28T19:23:51.871+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,-1,0,1078,-1,-1,21,-1,157.240.1.23,,1101,
8,facebook,2019-09-28T19:23:52.011+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,1,994,-1,-1,8,-1,157.240.1.35,,1004,
9,facebook,2019-09-28T19:23:52.215+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,2894,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,1,1411,-1,-1,0,-1,157.240.1.35,,1414,
