,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,facebook,2019-09-28T19:25:34.120+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=%3A1thlun%3An8n94l&__hsi=6741762680023554160-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688944,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1367,1111,,,247,0,-1,-1,-1,4,-1,157.240.1.35,,252,
1,facebook,2019-09-28T19:25:34.379+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1344,31765,,,191,0,-1,-1,-1,585,-1,157.240.1.35,,777,
2,facebook,2019-09-28T19:25:34.603+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1410,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,882,1,0,176,318,0,0,157.240.1.35,,1202,
3,facebook,2019-09-28T19:25:34.719+03:00,POST,https://fbsbx.com/ajax/bz,HTTP/1.1,,508,904,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,1321,126,,,439,0,-1,-1,-1,2,-1,157.240.1.35,,443,
4,facebook,2019-09-28T19:25:34.770+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,697,0,-1,-1,-1,449,-1,157.240.1.23,,1148,
5,facebook,2019-09-28T19:25:34.771+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,901,0,-1,-1,-1,326,-1,157.240.1.23,,1228,
6,facebook,2019-09-28T19:25:34.772+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,380,0,-1,-1,-1,5,-1,157.240.1.23,,386,
7,facebook,2019-09-28T19:25:35.169+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,218,0,-1,-1,-1,0,-1,157.240.1.23,,219,
8,facebook,2019-09-28T19:25:35.175+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1500,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,212,0,-1,-1,-1,0,-1,157.240.1.35,,214,
9,facebook,2019-09-28T19:25:35.397+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,92,0,-1,-1,-1,2,-1,157.240.1.23,,95,
